,Title,Company Name,Location,Work Type,Description
0,Assistant Software Engineer,"
                  KPMG China
                ","
                Foshan, Guangdong, China
              ",On-site," Responsibilities   Participate in application development for any in-house developed system. Conduct unit testing. Maintain and enhance existing applications to meet business needs. Assist in defining and preparing technical documentation if needed. Provide support to both locally developed and global applications.    Basic Requirements   Bachelor’s degree in Computer Science or equivalent. Good analytical and problem solving skills. Relevant working experience in application or data reporting development is preferred. Good knowledge in HTML, SQL Server, C# and JavaScript programming language are required. Experience in web-based programming and AJAX are preferred, but not essential. Experience in developing mobile application is a plus. Good written and verbal English skills to facilitate communication. Team player and ability to work well in a dynamic work environment. Willingness to learn, proactive and flexible mentality is a must.    工作职责   参与公司内部应用程序的开发； 进行单元测试； 维护及升级现有的应用程序，以满足业务需求； 依据工作需求，协助编写和维护技术文件； 支持本地和全球的应用程序。    基本要求   大学本科学历，计算机科学、信息技术或相关专业； 良好的分析和解决问题的能力； 拥有应用程序和数据报表开发经验尤佳； 熟悉HTML、SQL Server、C#语言和JavaScript编程语言尤佳； 拥有网络编程和AJAX经验尤佳； 拥有移动应用程序开发经验尤佳； 良好的书面和口头英文表达能力； 高度工作责任心与团队合作能力； 乐于学习，工作积极、主动和灵活。  "
1,"Data Engineer, Xi'an","
                  Airwallex
                ","
                Shanghai, Shanghai, China
              ",On-site," 关于我们  ﻿  Airwallex空中云汇是一家全球领先的金融科技公司，通过构建全球金融基础设施，为各类规模的企业提供数字化的金融科技产品。在全球互联的信息化时代，以更高效安全的方式帮助企业在全世界高速发展。   Airwallex空中云汇的使命是构建新一代的数字化金融基础设施并赋能企业在全球的发展，为其提供端到端的金融服务平台：从付款到收款，从本地到跨境，提供实时、安全且高效的金融解决方案，节省客户的时间及成本；并同时提供网页端应用和API解决方案，从而覆盖从大型机构到中小企业的不同需求。   职位描述   负责公司离线数仓建设。包括数仓分层，模型定义，任务调度等，涉及GCP Bigquery，dbt，Apache Airflow等技术, 数仓结构的设计经验优先； 负责公司实时数仓建设。包括实时数仓分层，模型定义，流处理，实时数据访问等。涉及Apache Flink， Kafka，Redis，Clickhouse, Doris, YogaDB等技术，有实时数仓架构设计经验优先； 公司数据能力开放架构建设工作。基于Data Mesh概念，构建一个架构统一，但领域独立的数据平台。包含数据处理, 数据访问，数据对象管理，元数据管理。涉及Kotlin，Springboot，grpc，Webflux等技术；   要求精通以上领域至少一个。   任职资格   本科及以上学历，计算机或相关理工科专业； 掌握数据仓库(DW)建模理论知识； 熟悉至少一种ETL工具； 掌握Kotlin/Java或者某种JVM 栈语言；掌握Python/Shell等一门以上脚本语言； 熟悉Google Cloud（GCP）/AWS/Azure至少一种公有云环境； 具有高度的责任感，英文流利，思路清晰，有良好的沟通能力。   At Airwallex you’ll have the ability to make an impact in a rapidly growing, global fintech. You’ll be offered a competitive salary and we also like to ensure we create the best environment for our people by providing a collaborative open office space with a fully stocked kitchen. We organise regular team building events, encourage flexible/remote working and we give our people the freedom to be creative.   Airwallex is proud to be an equal opportunity employer. We value diversity and anyone seeking employment at Airwallex is considered based on merit, qualifications, competence and talent. We don’t regard colour, religion, race, national origin, sexual orientation, ancestry, citizenship, sex, marital or family status, disability, gender, or any other legally protected status. If you have a disability or special need that requires accommodation, please let us know.   Airwallex does not accept unsolicited resumes from search firms/recruiters. Airwallex will not pay any fees to search firms/recruiters if a candidate is submitted by a search firm/recruiter unless an agreement has been entered into with respect to specific open position(s). Search firms/recruiters submitting resumes to Airwallex on an unsolicited basis shall be deemed to accept this condition, regardless of any other provision to the contrary. "
2,Data Engineer (Remote Possible),"
                  Glints
                ","
                Shanghai, Shanghai, China
              ",Remote," At Glints, we are building the #1 tech-enabled recruitment and career discovery platform in Southeast Asia that helps people and organisations realise their human potential by joining great organisations, learning the right skills and building great teams.   We’re looking for Data Engineers to design and set up data ingestion pipelines into Data Warehouse. Transforming data into consumable dataset for stakeholders, enabling analysts and stakeholders to make critical decisions through automated dashboard reporting and flagging out dataset with poor Data Quality are all crucial scopes for Data Engineers.   What You’ll Be Doing   You will be suggesting and implementing improvements to our existing data pipeline. Day-to-day work includes understanding the requirement from stakeholders and assisting stakeholders in beginning dataset into data warehouse in the shape for stakeholder use for dashboard building. Being part of the Data Engineering Team, you will also be participating in improving the team operation to ensure that the work process is optimized and improved if possible, thus enabling the organisation to achieve a data-driven decision-making culture.    Why You Should Join Us   In this role, you will be exposed to many aspects of Data Warehousing and Data Pipeline to serve stakeholders' requirements. Stakeholders can range from Business Analysts, Product Analysts to Data Scientists who need datasets for model training. As the Data Team grows, depending on your inclination, there is room to develop both technically and also in people management.    Who We Are Looking For   Has experience working with Apache Airflow and/or Apache Kafka Comfortable working with Kubernetes Knowledge in Data Modelling, especially in Database Normalization Experience in writing clear, well-structured and concise documentation that promotes data discoverability Knowledge in SQL, Docker(-compose), Python and/or GoLang Experience in working in Agile/Scrum development    Let’s Realise Human Potential.   We have impacted many lives since we were founded in 2013, but there’s still plenty to be done. If you’re ready to grow and make an impact, you’ve come to the right place.   What is Glints?   Glints is an online talent recruitment and career discovery platform with the enduring purpose of contributing to a world where people and organisations can realize their human potential.   Our tech-enabled approach to recruitment and career discovery connects more than 1.5 million candidates to their next dream opportunities, has supported more than 30,000 companies in finding top talents, doubled recruiter efficiency, and has raised more than US$30M+ from best venture investors in Asia to date.   Our agility and firm hold on our core purpose and values have allowed us to remain resilient and thrive through tumultuous times, and we are proud to be recognised by LinkedIn as one of the Top 10 Startups in Singapore in 2020.   Who We Are   At Glints, personal and professional growth are just as important as business growth. That's why we created the Glints Culture Code: #RIIBCOH. It defines our values, guides our decisions and actions, and is what makes us special.   Relentlessly Resourceful: Whatever it takes, just make it happen (ethically)   Integrity: Have courage, be guided by the truth, don’t be afraid   Impact: Missionaries, not mercenaries   Beginners’ Mindset: Stay humble, don’t be attached to ego   Customer Obsessed: Customers First   Ownership: Care intensely about the mission and take responsibility   High Standards: Dream big and deliver epic outcomes fast   Where We Work   Glints operates in multiple locations across Greater Southeast Asia, including Singapore, Indonesia, Vietnam, Taiwan and Malaysia.   Learn more about Glints and our culture at bit.ly/glintsculture,   Or check out our Careers Page at https://glints.com/careers! "
3,FY22 Junior Software Engineer (ORCL&WD+technical FTE +SH),"
                  PwC Mainland China and Hong Kong
                ","
                Shanghai, Shanghai, China
              ",On-site,"  Line of Service Advisory   Industry/Sector Not Applicable   Specialism Workday   Management Level Specialist   Job Description &amp; Summary A career in our Advisory Acceleration Centre is the natural extension of PwC’s leading class global delivery capabilities. We provide premium, cost effective, high quality services that support process quality and delivery capability in support for client engagements.To really stand out and make us fit for the future in a constantly changing world, each and every one of us at PwC needs to be a purpose-led and values-driven leader at every level. To help us achieve this we have the PwC Professional; our global leadership development framework. It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be successful and progress in our careers, now and in the future.As a Specialist, you'll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution. PwC Professional skills and responsibilities for this management level include but are not limited to:   Conduct self in a professional manner and take responsibility for work and commitments. Flex approach to meet the changing needs of teams and clients. Identify and make suggestions for efficiencies and improvements when performing work. Take action to stay current with new and evolving technology. Use tools, techniques and firm standard methodologies to support research, analysis and problem solving. Handle, manipulate and analyse data and information responsibly. Communicate with empathy and adapt communication style to meet the needs of the situation and audience. Manage expectations of stakeholders effectively. Embrace different points of view and welcome opposing and conflicting ideas. Uphold the firm's code of ethics and business conduct.      Preferred skills  Minimum years experience required  Additional application instructions   Education (if blank, degree and/or field of study not specified) Degrees/Field of Study required:Degrees/Field of Study preferred:   Certifications (if blank, certifications not specified)    Required Skills    Optional Skills     Desired Languages (If blank, desired languages not specified)     Travel Requirements Up to 40%   Available for Work Visa Sponsorship? Yes   Government Clearance Required? No   Job Posting End Date December 16, 2022                        "
4,Data Engineer-Deloitte Analytics Institute(DAI)-Chongqing,"
                  Deloitte
                ","
                Chongqing, Chongqing, China
              ",On-site," Pursue a Career with Impact  At Deloitte China, we are on a mission to nurture and empower our people to become deep subject matter experts. We offer the perfect platform to unleash your full potential and equip you to thrive on challenges, and partner with our clients to solve their most complex problems. A world of opportunities awaits. Start your adventure and journey with us.    About The Business    您是否在寻找一个快节奏、激动人心、充满活力的工作环境来挑战你现有的技能？您是否对使用数据分析解决复杂的业务问题感兴趣？您对数据分析的技术进步有好奇心吗？你是否正在寻找一个既能将所有这些兴趣结合起来又不限制行业的职业？如果是这样，德勤数智研究院正在寻找数据分析师 , 大数据工程师和数据科学家。   德勤数智研究院成立于 2015 年，我们专注于使用数智技术来 “ 赋能 ” 德勤业务，孵化数智产品和平台，并作为行业专家帮助德勤在相关领域打造市场知名度。    Work you'll do    打造、管理企业级数据平台及应用； 研发数据服务产品原型，并与产品团队合作打造数智资产； 结合相关行业背景，与德勤各业务团队合作，应用数据分析技术，解决业务上在数字化转型中面临的实际问题； 调研相关领域前沿的技术发展趋势与应用场景，帮助行业专家提炼商业洞察。    A fit for the role? Let's talk about you.    本科及以上学历，专业范围：计算机科学、软件工程、大数据、数理分析，应用数学等相关专业； 5 年及以上相关领域从业经验； 熟练掌握以下至少一种编程语言 : Python, Java, C/C++, JavaScript, SQL ； 对大数据、数据平台搭建、数据治理有深入理解； 具备快速学习，积极应变的工作态度； 有数据分析或大数据开发相关经验优先； 熟练掌握办公效率相关软件工具； 语言要求：普通话，英语读，写流利。    Why Deloitte China?  Deloitte China delivers a comprehensive range of audit &amp; assurance, consulting, financial advisory, risk advisory and tax services to local, multinational and growth enterprise clients in China.   We are the world's largest professional services firmthat changes the world, we lead with purpose and shared values.  We are the market leader with digital and innovative solutions, we create values for client through our multi-disciplinary services.  We are recognized as Top Employerin China by the Top Employers Institute* for 14th consecutive years, and made the top 3 for the first time this year!  We are certified as one of the ‘Best Workplaces™in Greater China by Great Place to Work® in 2019  "
5,Data Engineer,"
                  Michael Page
                ","
                Beijing, Beijing, China
              ",On-site,"  Work with researchers on pre-processing and analyzing unstructured financial market data, such as news articles, analyst commentary, social sentiment, voice or satellite data, etc. Provide technical support on data related issues for researchers, including diagnosing root causes of technical problems and proposing solutions   Client Details     international head private equity quantification company, managing a large scale of funds. strong technical atmosphere, advocating technology, life and work balance.   Description     Work with researchers on pre-processing and analyzing unstructured financial market data, such as news articles, analyst commentary, social sentiment, voice or satellite data, etc. Provide technical support on data related issues for researchers, including diagnosing root causes of technical problems and proposing solutions   Profile     Proficient in Python or /C++; familiar with Linux/Unix Experience in AI, familiar with Deep Learning/Reinforcement Learning algorithm, and good knowledge in Tensor Flow/Keras is a plus Experience with Natural Language Processing / Machine Learning / SQL Database is a plus   Job Offer    competitve salary, comfortable office environment, dynamic and excellent technical team  To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Stella Wei on +86 10 5969 0479.  "
6,Data Engineer,"
                  Bayer
                ","
                Beijing, Beijing, China
              ",On-site," At Bayer we’re visionaries, driven to solve the world’s toughest challenges and striving for a world where ,Health for all, Hunger for none’ is no longer a dream, but a real possibility. We’re doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining ‘impossible’. There are so many reasons to join us. If you’re hungry to build a varied and meaningful career in a community of brilliant and diverse minds to make a real difference, there’s only one choice.  Data Engineer   Your Tasks And Responsibilities    Develop and implement site data strategies based on site digital roadmap and global guidance, by deep understanding of site operation and collaboration with different functions to investigate machine/process behavior; Design and maintain data processing, analytics, and results visualization systems/platforms in the site under overall structure of gloabl data analytics platform; Lead advanced data analysis in the site and identify improvement opportunities to support efficiency and decision making process; Provide professional data insights to support digital projects implementation, e.g. Machine connectivity, AI technology applications,   Predictive maintenance study;   Intensive collaborationwith data scientists to develop and implement data models. Develop training programs about advanced digital tools, to prepare for digital capabilities of the site;    Who You Are    University degree preferably in computer science, engineering, mathematics or statistics with more than 5 years of experience in dealing with structured and unstructured data from various sources as well as in the development of scripts and tools for faster data processing; Initial professional experience in building data models as well as in the development and introduction of ETL pipelines for data transmission is desirable; experience in pharmaceutical production is a plus; Experience with SQL, cloud platforms and knowledge of decentralized systems and agile software development; Interest in new methods and technologies as well as enthusiasm for data science challenges; Ability to challenge current assumptions by asking the right questions and leading the way by providing the best answers; Being open-minded and challenging the status quo with a can-do attitude; Good communication skill, and good English skill.   YOUR APPLICATION  If your background and personal experience fit this profile, please send us your complete application at www.career.bayer.cn If you have any recommendations, please kindly send mail to cnreferral@bayer.com   L ocation:  China : BeiJing : BeiJing   Division:  Pharmaceuticals   Reference Code:  656270 "
7,Data Engineer,"
                  The Goodyear Tire & Rubber Company
                ","
                Delingha, Qinghai, China
              ",On-site," Location:New Delhi   Goodyear Talent Acquisition Representative: Kavita   Sponsorship Available: No   Relocation Assistance Available: Yes    Responsibilities    Develop, Construct, Test, and Maintain Data Pipeline, ETL and ELT workflows. Automate process including writing test automation, secure adequate documentation, enable sustainability through high quality development. Do Code reviews and be an active contributor in the team deliverables Support Business partners and peers from the Data Engineering and Analytics team as well as member of the Digital &amp; Analytics community in the delivery of Digital Products. Support requirement collection through continuous iteration during the development phases. Constantly improve code quality through refactoring and technical debt reduction activities. Support Pipelines continuum by being active part of the monitoring and support process. Analyze unforeseen process termination and support the business continuity by reviewing and upgrading code and process to be error free and secure lowest maintenance efforts.    Requirements    Bachelor's Degree in Computer Information Science Bachelor's Degree in Engineering, Math. 3+ years’ experience in architecting, designing, and engineering data pipelines including integration topics (API). 3+ years in data exploration, visualization including delivering data driven digital products. 3+ years of experience in building data model and conceptual logical models and converting them into technical application designs 2+ years of experience in integration and interfacing across various systems (legacy and modern) 2+ years of experience in Big Data, Artificial Intelligence (AI) Knowledge and strong skills with SQL and no-SQL databases and application as Teradata, Redshift, MongoDB or equivalent Extensive knowledge and experience of DevOps, Agile practices, CI/CD Extensive knowledge of cloud-native solutions, microservices, cloud computing (AWS and Azure) Extensive knowledge of software development (Python, Scala, Golang, SQL) and Data solutions (Tableau, Cognos, Informatica) Strong knowledge of AI, ML, Cognitive services concepts   Goodyear is one of the world’s largest tire companies. It employs about 64,000 people and manufactures its products in 47 facilities in 21 countries around the world. Its two Innovation Centers in Akron, Ohio and Colmar-Berg, Luxembourg strive to develop state-of-the-art products and services that set the technology and performance standard for the industry. For more information about Goodyear and its products, go to www.goodyear.com/corporate. "
8,"DATA ENGINEER - Dubai, UAE","
                  Cobblestone Energy
                ","
                Beijing, Beijing, China
              ",On-site," Starting salary of 80,000 - 84,000 USD per annum  in a zero-tax environment.   Job Location:  Dubai, UAE    About Cobblestone    Cobblestone Energy is an independent trading firm. Founded in 2017, we are part of the next generation of companies defining the future of global commodity trading. Although we have experienced very strong growth so far, we are still near the start of our journey. We have ambitions to go a lot further.   Energy in one form or another is fundamental to almost all the world's economic activities. By understanding the demand, supply, and logistics of these commodities, we can better understand the world.   We specialise in the proprietary trading of the short-term wholesale electricity markets across Europe. We make use of advanced data analytics and extensive research to drive profitable decision making, trading enough electricity every day to power a small country and growing every day. Technology and risk management form the backbone of our business.   Over the years we have grown organically. As part of our journey to be the best in all markets we enter, we would like to welcome a Data Engineer into our team. They will already be on a successful career path and looking to take the next step with increased responsibility and be a part of our growth story.   Cobblestone Values:   Lifelong learning with continuous reflection Independent thinking through a meritocracy of ideas The team is more important than the individual Being the best in any market we enter Hiring and keeping only the most effective people Others must benefit from our existence.     Job Description    At Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. Being the Data Engineer of our team, you will work on exciting challenges that come with large-scale data processing, automation, and analytics. We work in an agile and highly collaborative environment and challenge the norms of traditional business leadership. We are looking for enthusiastic and resourceful engineers who are passionate about building highly reliable and performance data processing solutions. You want to help the commercial team make data-informed decisions, have a curious mindset, and are motivated to understand our business better. Developing a strong domain knowledge of our industry over time is key to long term success in this role.   This is a rare opportunity to take a leading role in the growth of a major player in the European Electricity Markets. We are looking for someone who would be committed to the long-term success of the business. We operate in the European Energy markets, but our commercial trading operations are in Dubai, UAE.   We are looking for an experienced Data Engineer to join our Tech team at Cobblestone Energy. You will be responsible for building our data pipelines and you will be also participating in setting the right Infrastructure and developing the needed tools for our Analytics.   If you have excellent data engineering skills, strong problem-solving skills, and a passion for developing applications utilizing cutting edge technologies, then we would like to meet you.    What We Offer In This Role    Competitive remuneration, with fast progression for strong performers. A challenging but exciting, open, and fun work environment. An opportunity to work with remarkably talented colleagues. Vast growth potential in every aspect. Performance based bonus. Employee share scheme participation International relocation support Opportunity to be embedded within a commercial team for those with strong commercial interest     Responsibilities    Gather and address technical and design requirements. Architect our data platform &amp; develop real-time apps ingesting large volume of data and processing messages real-time. Handle all our data pipeline and contribute towards our data strategy and its execution. Architecting, building, testing &amp; managing our data platform infrastructure from data collection all the way to data processing &amp; data storage. Develop, customize and manage integration tools, monitoring tools, databases, warehouses, and analytical systems. Support the developers through training and transfer of knowledge. Participate in the entire application life-cycle mainly focusing on coding, debugging, and testing.     Requirements    BSc degree in Computer Science/Computer Engineering. Masters is a plus. Strong competencies in algorithms and software architecture. 3+ years of experience in Python. 2+ years of experience as a Data Engineer. Strong experience in real-time data processing and data ingestion. Strong experience in batch data processing and data pipelines. Strong work experience in AWS Kinesis Services and building apps utilizing it is a must. 3+ years of experience in developing APIs (REST &amp; SOAP protocols). 2+ years of experience in using AWS cloud and its resources/services. Strong experience in Relational Databases (MySQL, SQL Server or PostgreSQL) and non-relational databases (Mongo DB or Cassandra. etc.) Strong knowledge in Continuous Integration &amp; Continuous Deployment (CI/CD) utilizing Docker containers. Strong knowledge in Pandas &amp; NumPy libraries is a big plus. Strong knowledge in workflow orchestration tools (Airflow …etc.) is a plus. Experience in Java is a plus. Previous experience in automated testing including unit testing &amp; UI testing is a plus. Strong in-depth understanding of the entire web development process (design, development, and deployment) Excellent analytical, time management and teamwork skills.    Some videos for your reference:  Who is Elexon? For the UK market, they are the system administrator.   https://www.youtube.com/watch?v=A5j-S6VGqpw#action=share   Some general information about electricity trading arrangements in the UK   https://youtu.be/UDv04q3U6e0   Elexon sushi video. Tries to explain the balancing of the UK's electricity grid   https://vimeo.com/65768597   The videos above are UK centric, but our current interest is Europe wide. Feel free to research the other markets. This is a longer video that to me explains why there is such large opportunity going forward for the electricity traders who are able to efficiently analyse supply and demand fundamentals and move power between countries, for the benefit of all.   https://youtu.be/gacGuWjqKco .  Once Europe is conquered, we do genuinely intend on going global. The American power markets look next on the plate, followed by the Australian and Japanese. "
9,data engineer,"
                  CLPS LIMITED
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
