,Title,Company Name,Location,Work Type,Description
0,Data Engineer (m/d/f) FinTech,"
                  Jobs via eFinancialCareers
                ","
                Berlin, Berlin, Germany
              ",On-site," One of the most successful FinTech companies in Berlin is looking for Data Engineers. If you like to work in a driven, fun and ambitious work atmosphere, this is your chance.   Benefits   An attractive base salary Participation in our virtual Stock Options Programs A fun and driven atmosphere office in the heart of Berlin A great diverse team Flexible working hours Work closely with our CEO/founder and Chief of Staff and seasoned industry experts with a rich network    Task:   Designing and building fault-tolerant, horizontally scalable systems using a Microservice architecture powered by Docker and Kubernetes Building event-driven applications using Kafka Developing data cleaning, data transformation, data aggregation, and schema management components Working on improving the reliability of the data infrastructure Establishing or developing innovative tooling to facilitate low-maintenance data pipelines, rich data tooling for product and operations, and user-focused dashboarding. Working with an agile methodology with flexible processes Working with the cutting edge technologies (Go, Kafka, Looker) without a legacy codebase    Your Profile:   Prior experience with distributed systems and data pipelines Love for clean and structured data and experience with schema management Experience in Go (or willingness to make Go your day-to-day language) Fluency in analytical SQL and other data languages (e.g., LookML, numpy/pandas, Airflow DAGs, GraphQL, etc.) Fluency with event-driven architecture and concurrent algorithms Being proactive in learning new stacks and having a high sense of ownership Being able to present your work and enjoying to teach your newly learned skills and technologies to your colleagues It's nice if you have: Experience with Investment products or the Fintech domain, in general, is a big plus Experience with managing end-to-end data pipelines (from the creation of an event to making it visible as a KPI to the CEO) Experience in event-driven architectures and event sourcing systems. Experience with ETL/ELT tools and technologies Experience with Kafka Streams, KSQL, or related streaming aggregation technologies. Experience with Docker, Kubernetes, and modern monitoring and tracing tools    If you are interested in discussing this role in a little more detail click apply. Even if you are not actively looking at this time but interested in other opportunities we may have, please reach out to Eva Sassnick "
1,Data Engineer (Remote),"
                  ConsenSys
                ","
                Berlin, Berlin, Germany
              ",Remote," About ConsenSys  ConsenSys is the leading Ethereum software company. We enable developers, enterprises, and people worldwide to build next-generation applications, launch modern financial infrastructure, and access the decentralized web. Our product suite, composed of Infura, Quorum, Codefi, MetaMask, and Diligence, serves millions of users, supports billions of blockchain-based queries for our clients, and has handled billions of dollars in digital assets. Ethereum is the largest programmable blockchain in the world, leading in business adoption, developer community, and DeFi activity. On this trusted, open source foundation, we are building the digital economy of tomorrow. To explore our products and solutions, visit http://consensys.net/.   About ConsenSys Quorum  ConsenSys Quorum is an open source protocol layer that provides developers with the flexibility and reliability needed to make their blockchain applications successful. ConsenSys Quorum comprises a suite of configurable components and APIs, enabling you to customize your use case and production environment. Confidently join the hundreds of enterprises already running reliable, production applications on Quorum.   About The Role  As a Software Engineer at ConsenSys you will: build core blockchain and enterprise technologies; optimize blockchain data structures, write crypto algorithms and protocol specifications; Design, develop and implement blockchain protocol packages for Ethereum; Craft and maintain interfaces for API and Storage teams; Use formal methods to test the correctness of Ethereum Protocols.   Required Skills   Deep understanding of OOD/OOP distributed systems; designing and developing large scale, high availability software preferably in Java Experience analyzing data structures and algorithms and issues related to scale, security and availability Experience working with language and compiler design or crypto engineering Experience with and/or interest in some of the following areas: Distributed Systems Database and Large-scale Storage Systems Big Data Processing Systems Operating Systems Performance Analysis and Optimization Cryptography Blockchains Ethereum Comfortable operating in an Agile environment Collaborative by nature; willing to give and receive feedback Open to learning Understanding we are a globally distributed, remote-first team; Comfortable with handling uncertainty and ambiguity    Don't check all of the boxes? Don't sweat it. We’re passionate about building a diverse team of humans and as such, if you think you've got what it takes for our chaotic-but-fun, remote-friendly, start-up environment—apply anyway. While we have a pretty good idea of what we need, we're ready for you to challenge our thinking on who needs to be in this role.   Why join ConsenSys?  Here are some of the perks of being part of a unique organization like ConsenSys   One of the most recognized tech companies in the blockchain ecosystem globally. A work experience at ConsenSys is a tremendous reference for your future career. ConsenSys alumni have moved on to become tech entrepreneurs, CEOs, and team leads at tech companies. The forefront of a revolution. We fundamentally believe blockchain is a next generation of technology that can lay the foundation for a more just and equitable society. You can be a part of building the digital economy of tomorrow and radically transforming our society for the better. A dynamic startup environment with deep roots. We are one of the earliest blockchain companies and a leader in the space. You’ll join a network of entrepreneurs and technologists that reaches the edge of our ecosystem. Deep technical challenges. Blockchain technology is just over 10 years old. Ethereum itself is still a toddler. There is much to be done before these platforms can scale to the order of millions or billions of users. We are building the tools, infrastructure and applications l that are pushing the technology forward. Continuous learning and improvements. You’ll be constantly exposed to new concepts, ideas and frameworks from your peers and as you work on different projects — challenging you to stay at the top of your game.    ConsenSys is an equal opportunity employer. We encourage people from all backgrounds to apply. We are committed to ensuring that our technology is made available and accessible to everyone. All employment decisions are made without regard to race, color, national origin, ancestry, sex, gender, gender identity or expression, sexual orientation, age, genetic information, religion, disability, medical condition, pregnancy, marital status, family status, veteran status, or any other characteristic protected by law.  ConsenSys is aware of fraudulent recruitment practices and we encourage all applicants to review our best practices to protect yourself which can be found  here.  "
2,Software Engineer (m/w/d),"
                  Wikimedia Deutschland e. V.
                ","
                Berlin, Berlin, Germany
              ",Hybrid," We are looking for a Software Engineer (m/f/d)(Full time / Part time min. 30 hour per week) to join and support one of our agile development teams.     About the position:    You will be working with the team that develops and improves the software in the Fundraising project. This includes developing and maintaining the existing Fundraising app and infrastructure, as well as supporting the annual fundraising campaign (e.g. implementing banner designs). The position is full-stack (including backend and devops tasks), but has a focus on Frontend development  .  You will be developing open source software that puts user needs first and increases users’ satisfaction. Our Fundraising efforts fuel our continued work for the Wikipedia community, our large-scale software projects such as Wikidata and Wikibase, and our efforts to help secure access to free knowledge around the globe, to name but a few examples.     What we offer:     Flexible working hours adjusted to the team and people needs A diverse and inclusive bi-lingual organisation where people are the first priority Work in cross-functional teams towards a common goal A working culture that supports releasing a good product over releasing in order to meet a deadline We dedicate one day per quarter in the department to work on any non-work-related project you want A yearly learning budget that you choose how to spend to support you in your personal and professional development You can attend local user groups during working hours Opportunity to go to conferences, both as participants and contributors The possibility of working from home as well as a modern and centrally located office space in Berlin 30 days of holidays, public transport allowance, access to complementary pension benefits, continued salary in the event of ill children, free-of-cost external life coaching; This is a permanent contract     We are looking for the following profile:     You are passionate and care about software You have some experience with object oriented programming and web development You like being in a team working towards a common goal, learning together, and supporting and lifting up your peers You are interested in learning about our software architecture and how we maintain code quality You are happy to work on legacy code just as much as on new projects You like to participate in technical discussions and are open to new ideas You want to keep learning and developing yourself You are able to communicate fluently in English     Technologies we use:    Knowledge and experience in the following technologies (except for PHP and JavaScript) is not a requirement. We believe they all can be learned on the job and WMDE, your team, and your line manager will support you in this learning. We list only a few of them here.  Most of our server side code is written in PHP and the Symfony Framework. We use Vue.js and TypeScript for our modern frontends, but have some Vanilla JavaScript and Preact code as well. For version control we use Git and GitHub. We use Ansible for deployment.  We also keep migrating our legacy code into these and newer technologies. Also, testing is important to us; we use testing frameworks and practice continuous integration across our projects.     Why Wikimedia Deutschland?    Wikimedia Deutschland promotes these ideals even beyond the free encyclopaedia; it is our aim to establish and advocate for the creation, collection, and distribution of free knowledge in all parts of society. The Wikimedia vision is to create a world in which the sum of all human knowledge is freely accessible for everyone. The main focus of our activities is the support of volunteers, the development of technology and software, and the cooperation with cultural and scientific institutions. Furthermore, we advocate on both the national and EU-level a legal framework which allows for free knowledge to become part of our everyday life.       Interested?  Then apply now! Send us your detailed application documents (resume and motivational letter (yes, we read them) via our job portal. We kindly ask you to refrain from application photos and information on date of birth, marital status and parents. We look forward to hearing from you!    Wikimedia Germany is committed to equal opportunities and does not discriminate on the basis of, for example, ethnic origin, citizenship, religion or belief, political or other convictions, gender, age, disability or sexual identity or orientation.    We very much welcome a broad range of candidates, to continuously support diversity in our teams.    "
3,Data Engineer (Remote),"
                  ConsenSys
                ","
                Germany
              ",Remote," About ConsenSys  ConsenSys is the leading Ethereum software company. We enable developers, enterprises, and people worldwide to build next-generation applications, launch modern financial infrastructure, and access the decentralized web. Our product suite, composed of Infura, Quorum, Codefi, MetaMask, and Diligence, serves millions of users, supports billions of blockchain-based queries for our clients, and has handled billions of dollars in digital assets. Ethereum is the largest programmable blockchain in the world, leading in business adoption, developer community, and DeFi activity. On this trusted, open source foundation, we are building the digital economy of tomorrow. To explore our products and solutions, visit http://consensys.net/.   About ConsenSys Quorum  ConsenSys Quorum is an open source protocol layer that provides developers with the flexibility and reliability needed to make their blockchain applications successful. ConsenSys Quorum comprises a suite of configurable components and APIs, enabling you to customize your use case and production environment. Confidently join the hundreds of enterprises already running reliable, production applications on Quorum.   About The Role  As a Software Engineer at ConsenSys you will: build core blockchain and enterprise technologies; optimize blockchain data structures, write crypto algorithms and protocol specifications; Design, develop and implement blockchain protocol packages for Ethereum; Craft and maintain interfaces for API and Storage teams; Use formal methods to test the correctness of Ethereum Protocols.   Required Skills   Deep understanding of OOD/OOP distributed systems; designing and developing large scale, high availability software preferably in Java Experience analyzing data structures and algorithms and issues related to scale, security and availability Experience working with language and compiler design or crypto engineering Experience with and/or interest in some of the following areas: Distributed Systems Database and Large-scale Storage Systems Big Data Processing Systems Operating Systems Performance Analysis and Optimization Cryptography Blockchains Ethereum Comfortable operating in an Agile environment Collaborative by nature; willing to give and receive feedback Open to learning Understanding we are a globally distributed, remote-first team; Comfortable with handling uncertainty and ambiguity    Don't check all of the boxes? Don't sweat it. We’re passionate about building a diverse team of humans and as such, if you think you've got what it takes for our chaotic-but-fun, remote-friendly, start-up environment—apply anyway. While we have a pretty good idea of what we need, we're ready for you to challenge our thinking on who needs to be in this role.   Why join ConsenSys?  Here are some of the perks of being part of a unique organization like ConsenSys   One of the most recognized tech companies in the blockchain ecosystem globally. A work experience at ConsenSys is a tremendous reference for your future career. ConsenSys alumni have moved on to become tech entrepreneurs, CEOs, and team leads at tech companies. The forefront of a revolution. We fundamentally believe blockchain is a next generation of technology that can lay the foundation for a more just and equitable society. You can be a part of building the digital economy of tomorrow and radically transforming our society for the better. A dynamic startup environment with deep roots. We are one of the earliest blockchain companies and a leader in the space. You’ll join a network of entrepreneurs and technologists that reaches the edge of our ecosystem. Deep technical challenges. Blockchain technology is just over 10 years old. Ethereum itself is still a toddler. There is much to be done before these platforms can scale to the order of millions or billions of users. We are building the tools, infrastructure and applications l that are pushing the technology forward. Continuous learning and improvements. You’ll be constantly exposed to new concepts, ideas and frameworks from your peers and as you work on different projects — challenging you to stay at the top of your game.    ConsenSys is an equal opportunity employer. We encourage people from all backgrounds to apply. We are committed to ensuring that our technology is made available and accessible to everyone. All employment decisions are made without regard to race, color, national origin, ancestry, sex, gender, gender identity or expression, sexual orientation, age, genetic information, religion, disability, medical condition, pregnancy, marital status, family status, veteran status, or any other characteristic protected by law.  ConsenSys is aware of fraudulent recruitment practices and we encourage all applicants to review our best practices to protect yourself which can be found  here.  "
4,Junior Data Infrastructure Engineer (f/m/d),"
                  Kaufland e-commerce
                ","
                Cologne Bonn Region, North Rhine-Westphalia, Germany
              ",Remote," Anstellungsdetails  Permanent contract, full-time or part-time, Cologne / Darmstadt / Düsseldorf / Remote   Info   Who We Are    We operate Kaufland.de: Several thousand sellers and millions of products make us one of the fastest growing online marketplaces. Our work is characterised by a dynamic corporate culture, with a start-up mentality and the opportunities offered by a large corporation in the background. We combine knowledge and many years of experience in e-commerce with flat hierarchies and a highly motivated team. Whether you are an intern or a team lead: We take every idea seriously, because we want to work together in shaping the future of e-commerce!   We love flexibility! We offer you the best environment to work in a flexible and focused way: You decide whether you want to work in our office in Cologne // Darmstadt // Düsseldorf while at the same time having the opportunity to work remotely (Germany). We want to offer you the most attractive workplace in e-commerce and a maximum of flexibility for your personal work-life balance.   Day-by-day, our development team of about 250 experts pursues the goal of creating the best-possible customer shopping experience for the Kaufland.de marketplace. We are here to inspire millions of customers, to help them find, purchase and get the things they love. To enrich the lives of our customers, we collaborate in cross-functional teams, in which product owners, product designers, frontend and backend engineers, data scientists and lean managers join forces. Details regarding the challenges of the respective product areas can be found here: https://kaufland-ecommerce.com/team/tech/.   Detail   Your Tasks – This Is What Awaits You In Detail    You find the right solution, whether it's data exchange between microservices, processing vast amounts of data for recommender models, or interactive business intelligence applications You are the interface between our DevOps, Business Intelligence and software development teams You develop and maintain scalable systems for processing structured and unstructured data You use and (learn to) administrate technologies like Kafka, Kubernetes, Debezium and BigQuery    Your Profile – This Is What We Expect From You    You have a university degree in computer science, business informatics or a comparable degree of qualifications You are interested in learning to use and manage the following technologies: Container Orchestration, like Kubernetes Continuous integration &amp; continuous deployment, like GitLab CI Message brokers, like Apache Kafka Public Cloud Providers, like Google Cloud Platform SQL and Data Warehouses, like Google BigQuery You have worked with an object-oriented language, ideally Python or Go You have excellent communication skills, are willing to embrace our company culture and values and enjoy working in an international, English-speaking team    What We Offer    Create your own work-life! We offer you the best possible flexibility in terms of working hours and location A highly-motivated and qualified team from different fields and numerous nations The future is digital - Develop the e-commerce of the future with us and work on a product with millions of users with a broadly-based technology stack Power meets dynamic - flat hierarchies and start-up mentality meet and the power of a big corporate group and offers you an agile and secure working environment at the same time Free choice of hardware – we provide you with the development environment of your choice Personal &amp; team growth: We love to have flexibility in terms of working location, but we also believe that personal interactions are important. That’s why we organize company events, and cover the costs to bring you there and to other (approved) get togethers with your peers. The same applies to conferences and other learning opportunities. We want everybody to grow personally and professionally, as a team and as a company Top conditions at the Urban Sports Club for fitness, team sports, yoga and more   Check out our Principles &amp; our blog for even more insights into our company culture!   Refer an Engineer Program  You want to work for us, but not without your dearest colleague? Join us as a team and earn money by referring your buddy for one of our open Tech positions! Depending on the level we offer a bonus up to 1.300,- € per referral, which will be paid after successful recruitment (the first part with your first salary, the second part after your buddy passes the trial period).   Bewerben  Why are you the perfect fit for this position? Don't bother with cover letters - we're interested in facts and figures!   Ansprechpartner  Your contact person: Kristina Heymann  Kaufland e-commerce   Kaufland e-commerce Services GmbH   Postal address:   Habsburgerring 2   50674 Köln   We are looking forward to your application! "
5,JUNIOR DATA ENGINEER (m/f/d),"
                  SPORTFIVE
                ","
                Frankfurt Rhine-Main Metropolitan Area
              ",Hybrid," There’s nothing quite like the pulsating and emotional power of sport. At SPORTFIVE, we are delivering pioneering partnerships in sports. We believe in the responsible commercialization of sports and connect brands, rights-holders, media platforms and fans by leveraging a global network paired with decades of experience and innovative spirit.  We operate as one team of over 1,200 local experts based in 15 countries around the world, active in Football, Golf, Esports, Motorsport, Handball, Tennis, American Football, Basketball, Ice Hockey, multi-sport events and many more. As market leader and with customer centricity and data intelligence at our core, we aim to be the most progressive and respected partner in sports. Because as sport continues to evolve and grow, so do we.  As a global data team, we support the digital transformation of SPORTFIVE. One topic of great importance is currently the establishment of a self-service / reporting infrastructure. The team is multifunctional and works according to agile principles. It is particularly important to us that each team member takes responsibility in their own work area and has the necessary creative freedom. If you see yourself as growing into this team, then we are looking for you as a       JUNIOR DATA ENGINEER (m/f/d)  In fulltime, at Hamburg or Frankfurt Office       Your Responsibilities   You develop data pipelines (ETL/ELT) for our analytics and data science applications You work closely with our internal and external stakeholders to translate their business requirements into dimensional data models Together with our other data engineers you further develop our cloud-based Big Data and data warehouse architecture       Your Profile   The foundation of your professional profile is a degree in computer science, business informatics, business mathematics or a comparable qualification. You have first practical experiences with databases, data warehousing and ETL development. Experience in cloud computing would be a plus. You have good knowledge in SQL and/or Python You have an analytical mindset as well as a structured and target-oriented way of working You are a team player and have a good sense of humor Your very good written and spoken English skills enable you to work in international teams       This is what you can expect from us   Your new environment: an exciting task in the sports business, a committed team with short communication and decision-making paths Our onboarding: You will start with a position-specific induction and as part of our 'Welcome on Board' initiative you will receive a comprehensive overview of the entire organization Your development opportunities: Freedom for personal and topic-related development, supported by individual development planning with complementary, further training measures and ""training on the job” Work-life balance: support for work-life balance, including flexible working hours and mobile working, and a free family service for support in all situations Many corporate benefits: discounted partner offers as well as a wide range of additional benefits, e.g., company pension scheme Our culture: we demand a culture of diversity and ""live"" our values - regular training courses and clear internal processes form the formal basis for our open, respectful, and appreciative interaction with one another       SPORTFIVE values the diversity of its employees as an enrichment and is expressly committed to the goal of gender equality.    SOUNDS GOOD? Then apply directly to Kristina with your CV. Also, let us know briefly in two or three points why the position should be the next step for you.      We are looking forward to your application.       SPORTFIVE Germany GmbH  Kristina Rübsam | Business Partner People Operations  GER - Barcastrasse 5  22087 Hamburg  "
6,Associate Software Engineer*,"
                  Tecan
                ","
                Wiesbaden, Hesse, Germany
              ",On-site,"  Join Tecan!   Join the market leader!   Work in an international and dynamic environment, share our success!    Join our Research &amp; Development Team in Wiesbaden, Germany as an     Associate Software Engineer*     Join the Tecan Software Team and contribute to our empowering solutions at Tecan, a world leader in laboratory automation.With projects that support the treatment and diagnosis of cancer and other diseases, we make the world a healthier place and positively impact people's lives. We have thousands of customers and a global team of engineers. Join us and contribute to our mission to make the world a better place.     Your role:  Your team is committed to developing the best software applications for our instrumentsand to making a significant impact on a laboratory worker daily life by both making new features available that give easy access to results and by improving their user experience. Our quality is not negotiable and always meets the requirements for the development of medical devices.  We strive to improve the accessibility and simplicity of automation in every lab.You will work in a cross-functional team of Software and Verification Engineers, Usability and Regulatory Experts, Project Leads and Quality Engineers.     You have:   A bachelor's or master's degree in Computer Science, Engineering or a related technical field of study, or vocational training as a Fachinformatiker Anwendungsentwicklung (m/f/d) or a related field Starting experience within object-oriented software development using C# / C++ or Java Ability to work with multi-functional (global) and remote teams Good communication in English and German, both written and verbal The passion to learn and grow with us     You will:   Develop products in the region of laboratory automation systems, either as cloud services or desktop applications Be responsible for implementing, optimizing and documenting new software functionalities using Microsoft technologies Full stack/backend development with recent technologies (e.g., .NET Core, C# and AngularJS) Improve and expand modular platforms in our project and develop new products building upon that Work alongside our experienced software engineers on different projects in a Scrum team     Why Tecan?   Great product with purpose.  Help improve Life Sciences and Diagnostics, and empower the healthcare industry to become even more innovative and productive Secure job:  We are a proven business and a leading global provider of automated laboratory instruments and solutions Welcoming company culture:  We live team spirit and work together to achieve bigger goals Work-Life-Balance:  Flexible working hours, remote work, trust-based working hours You are more than a number to us:  Work in long-term, sustainable projects and have an impact in your daily work Career development:  Career plans, in-house trainings and personal development budget; work internationally and have the opportunity to grow with a worldwide-operating holding     Look no further and apply now!  Join Tecan, a great place to work! Read about our recent certification from Great Place to Work:   https://www.en.greatplacetowork.ch/workplace/item/3358/Tecan  We are looking forward to receiving your application online.  For questions, please contact Lena Weyers: lena.weyers@tecan.com    *We welcome applications from people of all genders.     We care about people – Join the market leader  People every day all around the world will benefit from more personalized healthcare. The promise of better, faster, more cost efficient solutions is now within our grasp. And that's the world in which Tecan plays a vital role – helping advance healthcare – through advanced life science research and diagnostic solutions. We constantly seek new ways to steer innovation.     Every lab. Every day. Empowered.  Our vision is to empower every laboratory, every day, around the world with Tecan technology, products and support. We will help shape the future of automated workflows in life sciences and clinical diagnostics through unrivaled expertise, products and customer support.     We care about our culture.  Our values – trust, highest standards and ambition – are the cornerstones of our business, and give us the framework for the Tecan culture. We foster a positive and empowering environment, which allows us to bring our passion and energy to work. This helps us deliver on our customer promise – ’Always there for you‘.     Tecan Software Competence Center GmbH  Peter-Sander-Straße 41 a, 55252 Mainz-Kastel   www.tecan.com  "
7,Data Engineer,"
                  Frontiers
                ","
                Germany
              ",Remote," We are on a mission to make science open so everyone can live healthy lives on a healthy planet  Who We Are  Frontiers is an award-winning open science platform and leading open access scholarly publisher.   We are one of the largest and most cited publishers globally. To date, our 200,000 freely available research articles have received more than 1 billion views and downloads and 2 million citations. Our journals span science, health, humanities and social sciences, engineering, and sustainability. And we continue to expand into new academic disciplines so more researchers can publish open access.   Be part of the publishing revolution and help us transform the way research is published, evaluated, and communicated to the world.   Key Responsibilities:   Work in a team of data engineers, cloud architects, and software engineers to implement solutions, pipelines, and integrations over our Cloud Data Warehouse. Understand the ecosystem of applications, services, data storage devices, and synchronization mechanisms in our platform and how they interact between them. Collaborate with data scientists, machine learning engineers, and other data engineers to design scalable, reliable, and maintainable ETL processes that ensure data scientists and automated ML processes have the necessary data available Research and be aware of IT Trends, technicals, and methodological innovations, suggesting the best use of them to follow Frontiers' IT Strategy. Provide support to the development teams to build data-intensive applications and design flexible solutions for data-oriented products.    Requirements:   Degree in Computer Science or similar Proven experience as a Data Engineer Proficiency in Python Experience with Hadoop &amp; Spark Experience with SQL and NoSQL (e.g. MongoDB) databases Great communication, teamwork, problem-solving, and organizational skills.    Nice To Have:   Experience with a Cloud Platform (e.g. Azure, AWS, GCP) Experience with a workflow engine (e.g. Data Factory, Airflow) Stream-processing frameworks (e.g. Kafka)    Benefits  With more than 50 nationalities represented in our global team, you will work regularly with teammates in other countries, and with our community of researchers, editors, and authors from around the globe.   Our mission to create solutions for healthy lives also extends to the working environment we provide for our employees.   This includes:  100% remote working  Employees now have the flexibility to choose where they want to work, with remote working available on a part- or full-time basis.   Learning and development  All employees have access to LinkedIn Learning (and Pluralsight for our technology team), an annual personal learning budget, and dedicated L&amp;D time.   Wellbeing  We offer free online yoga classes, an employee assistance plan, access to the Headspace app, and four wellbeing days on top of your annual leave allowance.   Volunteering opportunities  Employees can dedicate three days each year to volunteer for a personal cause or through our volunteering partner platform, Alaya.   Frontiers actively embraces diversity and is a safe and welcoming workplace. Recruitment is free from discrimination – including based on race, national or ethnic origin, age, religion, disability, sex, gender identity or sexual orientation. With over 600 employees from more than 50 different nations, our diversity creates vibrant teams and constantly challenges us to appreciate multiple perspectives.  "
8,Data Engineer,"
                  Frontiers
                ","
                Germany
              ",Remote," We are on a mission to make science open so everyone can live healthy lives on a healthy planet  Who We Are  Frontiers is an award-winning open science platform and leading open access scholarly publisher.   We are one of the largest and most cited publishers globally. To date, our 200,000 freely available research articles have received more than 1 billion views and downloads and 2 million citations. Our journals span science, health, humanities and social sciences, engineering, and sustainability. And we continue to expand into new academic disciplines so more researchers can publish open access.   Be part of the publishing revolution and help us transform the way research is published, evaluated, and communicated to the world.   Job Role  We are looking for a Data Engineer to help us build and maintain scalable and resilient pipelines that will ingest, process, and deliver the data needed for predictive and descriptive analytics. These data pipelines provide different stakeholders with the necessary resources to improve our user-centric platform and create the best visibility for our open access research.   Key Responsibilities   Work in a team of software engineers and data engineers responsible for developing, maintaining, and improving our cloud data platform to ingest and process raw and structured data coming from different sources Collaborate with data scientists, machine learning engineers, and other data engineers to design scalable, reliable, and maintainable ETL processes that ensure data scientists and automated ML processes have the necessary data available Research and adopt the best DataOps &amp; MLOps standards to design and develop scalable end-to-end data pipelines. Identify opportunities for data process automation. Establish and enforce best practices (e.g. in development, quality assurance, optimization, release, and monitoring).    Requirements   Proven experience as a Data Engineer Proficiency in Python Experience with a Cloud Platform (e.g. Azure, AWS, GCP) Experience with Google BigQuery and Google Dataflow Experience with Orchestration Frameworks (e.g. Airflow, Composer) Experience with Databricks or Spark Great communication, teamwork, problem-solving, and organizational skills.    Benefits  With more than 50 nationalities represented in our global team, you will work regularly with teammates in other countries, and with our community of researchers, editors, and authors from around the globe.   Our mission to create solutions for healthy lives also extends to the working environment we provide for our employees.   This includes:  100% remote working  Employees now have the flexibility to choose where they want to work, with remote working available on a part- or full-time basis.   Learning and development  All employees have access to LinkedIn Learning (and Pluralsight for our technology team), an annual personal learning budget, and dedicated L&amp;D time.   Wellbeing  We offer free online yoga classes, an employee assistance plan, access to the Headspace app, and four wellbeing days on top of your annual leave allowance.   Volunteering opportunities  Employees can dedicate three days each year to volunteer for a personal cause or through our volunteering partner platform, Alaya.   Frontiers actively embraces diversity and is a safe and welcoming workplace. Recruitment is free from discrimination – including based on race, national or ethnic origin, age, religion, disability, sex, gender identity or sexual orientation. With over 600 employees from more than 50 different nations, our diversity creates vibrant teams and constantly challenges us to appreciate multiple perspectives.  "
9,Data Engineer (m/f/d),"
                  ecotrek
                ","
                Berlin, Berlin, Germany
              ",On-site," Are you passionate about moving the B2B world to a more sustainable future? Are you comfortable working in an agile, fast-paced environment? Then you've come to the right place! At Ecotrek, you will help companies to achieve sustainable procurement through sustainability data mining.   Tasks  Your opportunity to make an impact   Participate in the overall design, architecture, and integration of our data systems Build, maintain and run secure cloud-native data collection, ETL and analytics pipelines Provide APIs in our ecosystem to help build user-facing applications on top of our data backends Be an example and a guard for our company culture and values    Requirements    3+ years experience as a data engineer or backend engineer with a focus on data pipelines; Fluency in python or an equivalent language for modern data engineering; Experience with industrial-grade relational and non-relational data storage (e.g. Postgres SQL, Elastic search) as well as writing and optimising complex SQL queries and transformations; Experience with API frameworks (e.g. FastAPI, Django); Experience building robust ETL processes, data pipelines and orchestrators (e.g. Airflow, dvc); Experience with Deployment technologies (e.g. Docker, Kubernetes); Comfortable with git and building CI/CD pipelines (e.g. github, github Actions); Experience with Agile Methodologies and working in Sprints; You are curious, pragmatic, quickly learn new domains and can bring a new perspective to our team; You are fluent in English (German not required)    Benefits    Vacation: 30 paid vacation days Working time: 40h per week Place of work: flexible, hybrid or completely remote working culture with an easily accessible office in Berlin-Mitte Bahncard 50 Work from abroad 12 weeks per year Community days Team-Workations ""We love to create"" To create a significant positive impact in the world we want work to be fulfilling, engaging and fun. As a group, we value constructive feedback. Authentic, honest and fair communication is important to us. We hope to welcome more nationalities, genders, sexual orientations, ages, races, physical/mental abilities to our team - Fighting with us for a meaningful cause. ""Push &amp; Pull"" Work here is about ownership and solving problems together. Ask questions and receive answers - no black holes in the communication chain. We like to keep communication and deep focus in a natural balance. ""We trust and care for each other"" Every contribution is valuable and everyone's impulse is important. We adapt work to individual needs and priorities and let everyone decide if remote work is suitable and what day plan fits best to their work-life balance. We trust and care about each other and want everyone to be engaged with passion. Help us define new tasks for the greatest impact! ""Idea to realization in one day"" We set our goals high! That’s why we need to be ambitious, have courage, and move fast, whilst staying healthily grounded in a strong team. Thinking big leads to great opportunities, making mistakes and overcoming doubts along the way is part of it - good thing, we are all one team.  "
