,Title,Company Name,Location,Work Type,Description
0,Backend Data Engineer,"
                  Randstad Japan
                ","
                Tokyo, Tokyo, Japan
              ",On-site,"  Summary    You will be part of the Agile Development team in this global insurance organization that will help in designing and implementation of the web app architecture    Responsibilities    Gather requirements with analysis and translate them into development for new and current systems Implementation and management of coding, unit testing, integration testing, user acceptance testing support, etc.    Requirements    Business Level of English and Japanese 3+ years of programming experience Experience working on Cloud platforms likes Azure, AWS or GCP Data processing experience with SQL / Spark / Python Node.js or Java / Go / Ruby on Rails / Python / Web API development experience with PHP Agile development experience (preferred) CI/CD knowledge    【求められる経験・スキル / Required Experience And Skills】    Backend engineering experience Business Level of English and Japanese   【学歴】  大学卒業以上   【職種 / type of occupation】  システム開発（組み込み・ファームウェア・制御系）   【給与 / salary】  年収 700 〜 1,000万円   【賞与】  14-20%   【雇用形態 / employment status】  正社員   【就業時間 / working hours】  09:00～18:00   【休日休暇 / holiday】  日曜日,土曜日,祝日   【保険 / social insurance】  健康保険,雇用保険,労災保険   【待遇・福利厚生】  食堂   受動喫煙防止措置   敷地内禁煙   【特長 / features】  外資系企業, 上場企業, 女性活躍中, 土日祝休み, 完全週休2日制, 月平均残業時間20時間以内, フレックスタイム制, 語学力を活かす   【業種 / industry】  【保険 / social insurance】  Job ID: VAC-235441/ "
1,Backend Engineer - IT Startup,"
                  en world group
                ","
                Tokyo, Tokyo, Japan
              ",On-site,"  ☑Japanese Global Company ☑English Language Required    [Position]   Backend Engineer   [Company Description]   Japanese IT Company   [Responsibilities]   We are looking for a Backend Engineer who can accelerate product development and backend architecture improvements.   Over 4 years after we launch, our product has reached a stage where we are continuously improving the product and reviewing the architecture in parallel.   We are looking for an engineer who will enjoy this change with us.   We have 2 major expectations about this position.   ・Capability to tackle and improve our existing products(Python).   To maintain or replace our existing products require persevering efforts. In some cases, our documentation is not perfect, or to resolve issues, engineers need to dig into code deeply.   We are looking for a person who is willing to make an effort. We don't underrate this kind of effort. Some legacy products are our business core.   And as a startup, it is also expected to continue to provide new value to users. From this perspective, we also need to modify and improve our existing products.   We also expect to use Python on an ongoing basis for data integration and specific purposes. Therefore, we are looking for an engineer with strong knowledge of Python.   ・Continuously learn new technologies and find ways to solve issues and requirements(mainly go).   In addition to that, we would like to recreate architecture from the existing app into modern ones for expanding our business and realizing our mission.   For contributing to the new architecture, we are also expecting a person who continuously learns new technologies and finds ways to solve issues and requirements.   From about programming language perspective, we are planning to use golang mainly. But we are a very flat organization and team.   So you can also suggest architecture and tech stacks as you want.   We think a person who can realize the above 2 expectations can accelerate product development and backend architecture improvements.   [Requirements]    Technical Skills/ Experiences    3+ years of building web applications professionally Experiences of development by Python Experiences of framework development by Python(Flask) Knowledge of web API development Knowledge of Database design Knowledge of CI/CD tools such as Jenkins, Github Actions, Gitlab CI/CD Motivation to learn new techniques such as Golang   Soft Skills   English communication skills (80% of engineers are non-Japanese. We are a very international team) Highly organized person Have motivation for team development Be able to weigh several and often conflicting constraints and make decisions in a fast-moving and quickly-growing company Continuously learn new technologies and find ways to solve issues and requirements   Preferable Requirements   Experience about Apache Airflow Experiences of development by PHP, Ruby, Scala, Node Communication by Japanese (not required) Experience working in the real estate or Fintech industry Experience about Event-Driven Architecture Experience with GraphQL   [Language Requirement]   English Language level: Business level   [Salary]   6〜10 million JPY    (Experiences And Skills Will Be Considered)    [Evaluation system]   Evaluation: twice a year   Please click ""apply"" if you are interested in the job.   We will review your profile and contact you within five business days should we find that you satisfy the requirements of the hiring company.   Further details about the company and position will be notified at a later date.   Reference: JO-2202-468198   Seniority Level: Mid-Senior level   Job Function: Information Technology "
2,Software Engineer,"
                  Randstad Japan
                ","
                Tokyo, Tokyo, Japan
              ",On-site," 2021年秋よりフィンテック領域の新規事業を開始します。高いオーナーシップを持ってプロダクト開発を担っていただける方にチームに加わっていただきたいです。   【業務内容詳細】   ・各チーム（プロダクトマネージャー、デザイナー、バックエンドエンジニア、フロントエンドエンジニア）と連携してのプロダクト開発全般   ・システム運用業務全般   ・運用作業の自動化・システム化の積極的な推進   ・既存製品（主にPython・Django）のメンテナンス及び改善   ・既存ドメイン・機能のAPI化、API Platform化の推進    【求められる経験・スキル / Required Experience And Skills】    必要要件   【技術、経験スキル】   ・Python及びDjangoを使用したソフトウェア開発経験：3年以上   ・API開発の実務経験   ・ビジネスやプロダクトへの理解を深め、知識を習得することに興味がある方   ・必要に応じて、コードリーディングを率先して行うことができる方   【ソフトスキル】   ・日本語スキル：ビジネスレベル以上   ・変化や動きや成長のはやい環境への適応力   ・スピード感と正確性のある意思決定ができる方（いくつかの相反する制約を秤にかけた状況下 等）   ・新しい技術を継続的に学び、課題や要件を解決する方法を自ら見つけられる方   歓迎要件   ・HTML/CSS/Javascriptを利用したフロントエンドの開発実務経験   ・AWSを中心とした、各種クラウドインフラの運用・保守経験   ・コンテナ、Docker、Kubernetesなどのオーケストレーションツールの利用経験   ・Golang / RubyによるAPI開発経験   ・フィンテック関連事業に携わった経験   ・英語スキル（現状の英語が完璧でなくとも仕事を通じて英語力を向上させたいと考えている方）   【学歴】  不問   【給与 / salary】  年収 800 〜 1,100万円   【賞与】  【賞与】  年2回   【雇用形態 / employment status】  正社員   試用期間   有り   3 months   【休日休暇 / holiday】  日曜日,土曜日,祝日   ・Saturday and Sunday ・Public holiday ・Summer vacation ・New-year / Year-end holiday ・Annual paid leav   転勤   無し   諸手当   [Welfare] ・Welcome lunch (with CEO, Division and Department), Welcome drinking ・Internal events (Yea   【保険 / social insurance】  労災保険   【待遇・福利厚生】  [Welfare]   ・Welcome lunch (with CEO, Division and Department), Welcome drinking   ・Internal events (Year-end party etc.)   ・Free drink (Water server and instant coffee and tea)   ・Installation of vending machines   [Other]   ・ PC: Mac or MacBook Pro + 1 monitor   ・ No   【業種 / industry】  ソフトウェア・情報処理   Job ID: VAC-179117/ "
3,Data Engineer,"
                  Computer Futures
                ","
                Tokyo, Tokyo, Japan
              ",On-site," A leader in Big Data, this cloud-based data platform provides a fast, powerful, scale-able, multi-channel, and multi-connected analytics solution for customers.   They are looking for a Data Engineer to join one of their largest teams and support customers in their big data needs. You will be given the opportunity to participate in projects handling big data, and work alongside Data Scientist to utilize this data for ML / AI.   Providing world-class training, you are able to build your career path in the direction you want, whether it be Consulting, Project Management, Machine Learning, or Data Science.   Take this opportunity to build your career at a leader in Big Data.   As a Data Engineer you will be supporting for the infrastructure construction, data processing, and implementation of big data utilization systems.   There will be opportunities to participate in projects utilizing large-scale big data for ML and AI with clients across Automotive, FSI, Healthcare, and more.   In addition to Fluent (JLPTN1) or Native Japanese  , you should have experience in the following areas:    SQL Database design and implementation Experienced in DWH / Analytics / Data management / ETL Software design and implementation skills Web/Cloud knowledge Basic Statistics *Client-facing experience is not required    For more information, please apply or contact Perry Chung on LinkedIn, or by email as soon as possible.   Computer Futures is part of the larger SThree K.K group   To find out more about Computer Futures, please visit www.computerfutures.com | Computer Futures についてもっと詳しく知りたい方はこちらへ→ www. computerfutures.com    Award Winner Of    Great Place to Work 2019 | Growth Company of the Year by TALint Recruitment Awards 2019 | Best IT &amp; Technology Recruitment Company of the Year by Recruitment International Awards 2018  "
4,Data Engineer,"
                  Morgan McKinley
                ","
                Tokyo, Japan
              ",On-site,"  Roles/Responsibilities     Be a member of the data engineering team primarily focused on developing / maintaining reporting and reporting services. Understand business needs, perform data analysis.     Required Skills     More than 3 years of software development or data processing experience. Experience in various storage technologies. Including RDBMS and ElasticSearch and sufficient knowledge of SQL. Experience using Scala and Kafka.     Preferred Skills     Experience with financial / accounting products or services, with particular implications for aspects and aspects of technical implementation.     About Our Client    A well-recognized financial services company that has built an impressive portfolio of business partners through their platform.   Morgan McKinley Asia Pac is acting as an Employment Business in relation to this vacancy. "
5,Software Systems Engineer,"
                  PERSOL CAREER BRS (Bilingual Recruitment Solutions)
                ","
                Tokyo, Tokyo, Japan
              ",On-site," 会社概要：   Our client is a European start-up robotics company based in Tokyo. They're creating a whole new generation of multi-agent aerial and ground-based mobile robotic platforms with access to an inexhaustible supply of data and processing capabilities, that is the Cloud. Their units will be capable of working autonomously and collaboratively, learning from their own experiences and with each other in order to continuously improve themselves. Their founders come from excellent computer science and robotics background with great passion for advanced technologies that change the world.   業務内容：   In this role, the Software Systems Engineer will be responsible for:   Designing, implementing, testing, and enhancing warehouse automation software Acting as a liaison between 3rd party vendors, customers, and other external stakeholders and the engineering team Preparing and maintaining system requirements and specifications documents Translating customer and vendor requirements into technical deliverables Work alongside project management to successfully monitor progress and implementation of initiatives   応募条件：   Bachelor’s degree in Computer Science or a similar technical field of study, or equivalent practical experience with an outstanding track record At least 1 years of relevant work experience or a strong academic background (e.g. relevant academic projects) Experience in Python Understanding of traditional RDBMS technologies Understanding of HTTP and experience in designing and implementing RESTful APIs Good knowledge and understanding of algorithms, data structures, complexity analysis, and software design Excellent verbal and written English communication skills Native level Japanese skills Preferred qualifications Master’s degree in Computer Science or a related technical field Experience with docker and cloud platforms such as GCP, AWS, Azure Experience in at least one of C++, Java, Go, or similar language Contributions to open-source projects Fundamental understanding and experience with one or more Agile methodologies Experience with warehouse automation systems, inventory management systems, order processing systems, and warehouse management systems  "
6,Data Engineer - アルコールメーカー,"
                  en world group
                ","
                Tokyo, Tokyo, Japan
              ",Remote," ☑外資系企業   ☑英語力が必要   ☑リモートワーク可能   While collaborating with newly established Japan data team with multicultural environment, you will help in developing and examining data platform that are utislied by sales and marketing teams to further expand the business of a global leading company.   [ポジション]  Data Engineer   [事業内容・会社の特徴]  アルコールメーカー   [仕事内容]  Within the Data &amp; Analytics, this position is responsible to lead the management of our data platform and be the relay in Japan of HQ and Asia Data Centre of Excellence, comprising of data scientists, data engineers, deployment leads etc.   This position will be responsible for developing and supporting data pipelines, data structures, data models and associated ETL to provide data to Group and local projects in an efficient/optimized manner.    Principal Accountabilities    Lead Japan Data Engineering for Group &amp; Local Data Projects:   Responsible for support and new development of efficient and reliable ETL processes between our Local systems and Key Digital Programs systems with which it interacts. Will work in tandem with HQ Data COE, business, and IT subject matter experts to design &amp; build data transformations between new and Group Data lake. Understanding functional requirements and translating them into data feeds. Developing data pipeline to feed the different data models/data hubs. Ensuring stability around the data pipelines being built. Utilizing Azure technologies for building robust/reusable ETL processes, allowing faster data provision from Japan data warehouse to HQ's data hubs (KDPs) Ensuring the data quality of the inputs and outputs. Ensuring all data structures, pipelines and models built are consistent with HQ's Data COE and Asia data &amp; reporting standards. Responsible for documenting new applications, reviewing, and updating existing documentation in conjunction with ongoing changes.    Data Platform Management    Coordinate with different stakeholders (Data CoE, Asia IT, Japan IT, operations) for implementation of Japan Data Platform based on Group recommended technologies (Azure, Databricks, Snowflake etc.) Ensure seamless integration with our Power BI environment and coordinate data ingestion by Power BI reports in cooperation with Data Analysts. Ensure maintenance of the data platform and availability of data to business users for the different data projects. Coordinate with Data Governance specialist to ensure proper management and integration of our data sources into our Data platform Contributing to the group product roadmap as well as our Data community, promoting best practices and optimizations.   [応募資格]  Background &amp; Experience   Minimum 2-3 years of relevant professional experience in data projects Working experience in a multi-national corporation and/or overseas (working or studying) experience is a plus Previously demonstrated below data skills in significant data projects is a must    Key Competencies &amp; Skills    Programming Languages   Python and/or Spark SQL   Data Skills   Azure Cloud Technologies (Datalake, Data Factory, LogicApp etc.) Power BI Databricks Snowflake DevOps/ DataOps principles   Soft Skills   Detail-oriented attitude / rigorous attitude for structured reporting based on large volume of data sources Autonomous, proactive and naturally curious Able to interact and communicate well with all business partners in Japan and in other affiliates (other countries) Flexible working attitude to work on a dynamic/fast moving company environment. Excellent communication and interpersonal skills Team player    Career Path    Possibility to evolve in other positions within the Data &amp; Analytics team. Possibility to managerial position as Data &amp; Analytics teams grows. Also, possibilities to evolve in other Group affiliates   [語学力]   Excellent Business Level of both Japanese and English (able to lead projects and meetings in both languages) Japanese Language level: Fluent - Native (Equivalent to JLPT N1) Work permission in Japan required   [給与]  5-8 million JPY   [待遇・福利厚生]  社会保険完備   [休日休暇]  完全週休二日制（土曜、日曜、祝日）、年末年始休暇、年次有給休暇   [選考プロセス]  書類選考、面接数回を予定   ※ご興味をおもちいただけましたら、まずはエントリーをお願いいたします。   ご紹介できる場合は、5営業日以内に担当コンサルタントよりご連絡いたします。   詳細はその際に別途明示いたします。   Reference: JO-2206-471390   Seniority Level: Associate   Job Function: Information Technology   "
7,Data Engineer,"
                  Randstad Japan
                ","
                Tokyo, Tokyo, Japan
              ",On-site,"  【who You'll Work With】    You will be based in Tokyo and will be part of a global data engineering community and you will work in cross-functional and Agile project teams alongside project managers, data scientists, machine learning engineers, other data engineers, and industry experts.   You will work hands in hands with our clients, from data owners and users to C-level executives.    【what You'll Do】    ・Partner with our clients, from data owners and users to C-level executives, to understand their needs and build impactful analytics solutions   ・Design and build data pipelines to support data science projects following software engineering best practices   ・Use state of the art technologies to acquire, ingest and transform big datasets   ・Design and build Data/Analytcs platform   ・Map data fields to hypothesis, curate, wrangle and prepare data to be used in advanced analytics models   ・Create and manage data environments in the cloud or on premise   ・Ensure information security standards are maintained at all time   ・Contribute to cross-functional problem-solving sessions with your team and deliver presentations to colleagues and clients   ・Be flexible to travel to our clients' offices to deliver presentations, gather information or share knowledge   ・Have the opportunity to contribute to R&amp;D and internal asset development projects    【求められる経験・スキル / Required Experience And Skills】    Experienced on Big Data platforms and tools like AWS, Azure, GCP and tools like Spark, Kafka, Snowflake, GCS Data Proc, Azure DataFactory, AWS Glue, Apache Beam/Flink, Python/PySpark. etc.   【学歴】  大学卒業以上   【職種 / type of occupation】  データベースエンジニア   【給与 / salary】  年収 800 〜 4,000万円   【賞与】  有   【雇用形態 / employment status】  正社員   試用期間   有り   【就業時間 / working hours】  09:00～17:30   【休日休暇 / holiday】  日曜日,土曜日,祝日   転勤   無し   諸手当   【保険 / social insurance】  健康保険,厚生年金保険,介護保険,雇用保険,労災保険   【特長 / features】  外資系企業, 土日祝休み, 完全週休2日制, 年間休日120日以上, フレックスタイム制, 語学力を活かす, 未経験可   【業種 / industry】  その他 コンサルティング   Job ID: VAC-235270/ "
8,Data Engineer,"
                  Randstad Japan
                ","
                Greater Tokyo Area
              ",On-site,"  Who You Are    Someone for a love of Digital Transformation and challenging yourself Someone with a strong understanding and ability to work in a LInux based environment Someone who likes to help in managing projects    What You Are Responsible For    Designing &amp; Modeling   (with minimal supervision)   ・Build the first iterations of high quality and sustainable data pipelines and ETL processes to extract data from a variety of APIs and relational databases and ingest into AWS services.   ・Efficiently draft complex SQL queries and data models to aggregate and transform data for reporting and analytics teams.   Execution and Maintenance   (with minimal supervision)   ・Monitor existing solutions and work proactively to rapidly resolve errors and identify future problems before they occur.   ・Own and keep the system design and operations documents up to date.   Others   ・ Consult with a variety of stakeholders to gather new project requirements and transform these into well-defined tasks and targets.   ■Relations with other departments   Mainly IT teams (Enterprise Data, Data Strategy, Architecture), Finance, Marketing etc.    【求められる経験・スキル / Required Experience And Skills】    3 years of practical experience in data / analytics with at least 1 year working in an engineering / BI role. At least 1 year of practical experience working on data pipelines or analytics projects with Python and SQL.   Python and SQL skills are absolute must have requirements for this position.   5 years of practical experience in data / analytics with at least 2 years working in an engineering / BI role. Experience with NoSQL databases (DynamoDB, MongoDB, Elasticsearch, Redis, Neo4j, etc.) Strong knowledge and practical experience working with at least 3 of the following AWS services: S3, EMR, ECS/EC2, Lambda, Glue, Athena, Kinesis/Spark Streaming, Step Functions, CloudWatch, DynamoDB. Strong experience working with data processing and ETL systems such as Oozie, Airflow, Azkaban, Luigi, SSIS. Experience developing solutions inside a Hadoop stack using tools such as Hive, Spark, Storm, Kafka, Ambari, Hue, etc. Ability to work with large volumes of both raw and processed data in a variety of formats (JSON, CSV, Parquet, ORC, etc.). Ability to work in a Linux/Unix environment (predominantly via EMR &amp; AWS CLI / HDFS). Experience with DevOps tools (Jenkins, GitHub, Ansible, Docker, Kubernetes). English (mandatory): Basic English skills for communication especially writing skill. It will be the main working language. Japanese (nice to have, but not mandatory)   【学歴】  不問   【給与 / salary】  年収 700 〜 900万円   【賞与】  【賞与】  年2回   【雇用形態 / employment status】  正社員   試用期間   有り   6 months   【休日休暇 / holiday】  日曜日,土曜日,祝日   ※年間休日：121日（2022年） 、有給休暇、リフレッシュ休暇、慶弔休暇ほか   転勤   有り   諸手当   退職金制度、財形貯蓄制度、持株制度   【保険 / social insurance】  労災保険   【待遇・福利厚生】  退職金制度、財形貯蓄制度、持株制度   【特長 / features】  外資系企業, ベンチャー企業, 女性活躍中, 年間休日120日以上, 月平均残業時間20時間以内, フレックスタイム制, 語学力を活かす   【業種 / industry】  【保険 / social insurance】  Job ID: VAC-181524/ "
9,Fullstack Data Integration Engineer,"
                  Streamhub
                ","
                Tokyo, Japan
              ",Hybrid,"  Job Type: Contractor (12 month project with the potential to becoming fulltime)   Industry:Audience measurement, DMP, Analytics, Ad Tech, Streaming, Data APIs   Salary: from JPY7,000,000   Company size: 15-50   Company type: Startup from London, UK with offices in Tokyo    Our purpose is to understand how video shapes our everyday life, and our mission to make people's everyday better by being the most actionable data platform for the video streaming business. Working at Streamhub will bring unparalleled access to cutting-edge challenges in the complex adtech / media industry working within an international and open startup culture. We value people and innovation across all areas of the business to achieve goals both as a team and individual. We are at an exciting growth phase making a number of key hires who will fuel the growth globally through our Tokyo office! www.streamhub.co.uk     The Team   The Engineering team is responsible for designing, integrating and implementing analytics features of our enterprise saas product. As part of the Data Integration team you will be in a cross-functional role collaborating with the various engineering teams, the business teams and on occasion with the diverse customers using the Streamhub products. You and the team will contribute to the product vision and support its evolution through the customer and engineer's eyes. At the same time you will have unparalleled access to cutting edge big data technologies and martech / media-tech exposure where your opinion and experience really counts as part of a fast-paced, international and diverse team.     The Role   1) Client data integrations:   Understand the diverse data sets coming from different clients and design a generalised system to work for a SaaS setup Integrate, transform and automate client data into our data pipeline using singer.io and similar open source technologies Develop self-monitored data in and data out systems that connects to the global ad and marketing ad ecosystem    2) Data pipeline / feature development:   Design and develop scalable data pipeline with Java/Scala/Python Monitor data pipelines and troubleshoot Design and develop features / write accompanying tests including the creation of self-service portals for data integration    3) Technical support:   Troubleshoot client-facing technical issues related to data pipeline optimisation and integrations Communicate with clients on technical requirements with a view to standardise and productize the needs across the saas platform     Technical skills Required:    2+ Experience in Scala or Java in production applications. 3+ experience in Python 3+ Experience in SQL     Preferred    1+ Experience in Angular / Javascript Experience with data pipelines and REST APIs. Exposure to or interest in big-data technologies (e.g. Spark) Experience with AWS will be a plus but is not mandatory. You will learn this on the job. Understanding of containerized applications (e.g. Docker) and container services (e.g. Kubernetes or ECS) Experience with any NoSQL database (e.g. MongoDB and Cassandra) Experience with Singer.io or similar       Languages required    Japanese - Native English - Business     ﻿Interviews will be in both Japanese and English. Only bilinguals must apply.   Internal communications are all in English but this is a position where Japanese will also be frequently used.     Job Type  :   Fulltime contract 4 month probation period Mainly remote with 1 day at office as needed (Tokyo) Online training provided and potential training/workshop trips to London or Bangalore offices Top of the range Macbook Pro or PC for your work laptop 28 days holiday including public holidays Eligible for bonus scheme Health insurance and pension cover  "
