,Title,Company Name,Location,Work Type,Description
0,Junior Software Engineer (Proficient in Vietnamese),"
                  Experis Singapore
                ","
                Singapore, Singapore
              ",On-site,"  Job Summary    The position will be based in Singapore, working closely with the Vietnamese Education Marketing team and performing coding for Vietnamese education programme.   Key Tasks   Support Vietnam marketing team in modifying the education program for localization for Vietnam education market Be involved in related projects for the initiative and communicate effectively between cross-functional teams as well as third-party vendors Track and provide progress reports on key projects and programme metrics   Key Competencies   At least a Bachelor's Degree in Computer Science/Computer Engineering /related discipline Familiar with at least 1 coding language such as Python or Javascript Knowledge of Swift is a plus Good communication skills to collaborate with other teams Advanced proficiency in Vietnamese (oral &amp; written) to liaise with the marketing team based in Vietnam, and to process Vietnamese content and data, etc. Able to read and write fluently in English Knowledge in education and marketing industry is a plus but not required   Claudia Kueh Kee Jinq EA License No.: 02C3423 Personnel Registration No.:R1880247   Please note that your response to this advertisement and communications with us pursuant to this advertisement will constitute informed consent to the collection, use and/or disclosure of personal data by ManpowerGroup Singapore for the purpose of carrying out its business, in compliance with the relevant provisions of the Personal Data Protection Act 2012. To learn more about ManpowerGroup's Global Privacy Policy, please visit https://www.experis.com.sg/privacy-policy  "
1,Data Engineer,"
                  ST Engineering
                ","
                Singapore, Singapore
              ",On-site,"  Able to extract, transform and load data into databases. Able to generate analytics results from the data collected to answer questions from customers' business use cases. Able to interpret and write technical documents.    Key Requirements:   Minimum Educational Qualification (&amp; discipline): Degree in Electronics &amp; Electrical Engineering or related fields At least 2 years of relevant experience Familiar with C# (DotNet and DotNetCore Framework) and MSSQL Knowledge of NGINX and REACTJS is a plus.  "
2,Data Engineer - Data Warehouse (Campus Hire),"
                  Shopee
                ","
                Singapore, Singapore
              ",On-site,"  Job Description    Design and manage Data warehouse plan for a product, such as: design data model, define data metric, data governance Collaborate with Business Intelligence, Business and Product Management teams Use data to solve problems, identify needs and opportunities Design, build and maintain the batch or real time data pipeline in production using Hadoop big data technology Define and manage service level agreement, data quality for all data sets in allocated areas of ownership     Requirements    Bachelor Degree in Computer Science or a related technical field. Less than 1 year of experience welcomed Working experience with programming languages,such as Java,Scala,Python Ability to write efficient SQL statements Familiar with Hadoop, Spark and Flink data processing, experience of TB data processing experience is a plus Familiar with data warehouse modeling, such as dimensional data modeling and schema design Understand data mining or machine learning Excellent communication skills including the ability to identify and communicate data driven insights Strong logical thinking and analysis abilities Passionate, self-motivated, and takes ownership  "
3,Data Engineer,"
                  Novelship
                ","
                Southeast Asia
              ",Remote," Novelship is Asia’s fastest growing online marketplace for authentic, limited edition sneakers, apparel, and collectibles from the world's most-exclusive brands including Air Jordan, Yeezy, Supreme, Palace, Bearbrick, and more! Every item purchased or sold on Novelship is guaranteed to be 100% authentic.    We are seeking a Data Engineerto be based in India or Remote in South East Asia to join our Tech Team.     Brief Description of the Role:  As a Data Engineer, you will be responsible for Building &amp; Maintaining our Analytics Infrastructure, Data Taxononmy, Data Ingestion and aggregation to provide Business Intelligence to different teams and support Data Dependent tools like ERP and CRM.     In this role you will:   Analyze and design ETL solutions to store/fetch data from multiple systems like Postgres, Airtable, Google Analytics and Mixpanel. Drive the implementation of new data management projects such as Finance ERP and re-structure of the current data architecture. Participate in the building of a single source of Data Sytems and Data Taxonomy projects. Engage in problem definition and resolution and collaborate with a diverse group of engineers and business owners from across the company. Work with stakeholders including the Strategy, Product and Marketing teams to assist with data-related technical issues, support their data analytics needs and work on data collection and aggregation solutions. Act as a technical resource for the Data team and be involved in creating and implementing current and future Analytics projects like data lake design and data warehouse design. Ensure quality and consistency of the data in the Data warehouse and follow best data governance practices. Analyze large amounts of information to discover trends and patterns to provide Business Intelligence. Mine and analyse data from databases to drive optimization and improvement of product development, marketing techniques and business strategies. Design and build reusable components, frameworks and libraries at scale to support analytics data products Build and maintain optimal data pipeline architecture and data systems. Assemble large, complex data sets that meet functional / non-functional business requirements. Identify, design, and implement internal process improvements: automating manual processes, optimising data delivery, re-designing infrastructure for greater scalability, etc. Streamline existing and introduce enhanced reporting and analysis solutions that leverage complex data sources derived from multiple internal systems     Requirements:   Bachelor's or Master's education in Computer Science 2 to 4 years of professional experience as a Data Engineer. Proficiency in either Python, Scala or R.  Proficiency in SQL, Relational &amp; Non-Relational Databases  . Excellent analytical and problem-solving skills. Experience with Business Intelligence tools like Data Studio, Power BI and Tableau. Experience in Data Cleaning, Creating Data Pipelines, Data Modelling, Storytelling and Dashboarding.  "
4,Database Engineer (Campus Hire),"
                  Shopee
                ","
                Singapore, Singapore
              ",On-site,"  About The Team    Database Engineers take care of all database servers in Shopee and help to deliver large scale applications of e-commerce. We are looking for people with a passion for database, programming, and architecture design. High-potential fresh graduates with no prior experience are welcome.    Job Description    Responsible for MySQL and other relational database administrations and management (capacity planning, installation, backup, recovery, monitoring, optimisations, troubleshooting, etc) Support development teams and production teams for database designs and implementations Review existing system architecture and contribute to improve on the future architecture for database stability and a maximum of performance Define and develop projects that reduce database operational costs and automate regular tasks Research and develop new technologies and approaches for building highly available data persistence systems     Requirements    Bachelor's or higher degree in Computer Science or related fields Less than 1 year of experience welcomed Familiar with SQL and relational database theory and knowledge Experienced with online production MySQL database operations Familiar with scripting languages (at least one of Shell/Python) Familiar with Linux systems, good system troubleshooting skills Functional English (written and oral) communication skills Strong analytical and problem-solving skills, at critical situations under pressure as well as day-to-day operations Detail oriented, agile, flexible Ability to manage multiple tasks with shifting priorities Experience in system administration or development (Preferred)  "
5,Frontend Software Engineer - Data Product (Campus Hire),"
                  Shopee
                ","
                Singapore, Singapore
              ",On-site,"  Job Description    Design, architect and implement a big data computing platform for efficient data exploration and processing, etc. Focus on the user experience and continuously improve the ease of use of the product. Build visualised data products that will help our business team, senior executives, sellers gain deep insight into their business and make decisions, explore the beauty of data visualisation. Participate in designing and implementing data tracking system, building tracking libraries for Shopee products including PC web and mobile web     Requirements    Minimum B.S. degree in Computer Science or a related technical field Less than 1 year of experience welcomed Working experience in frontend development Strong knowledge in JavaScript and CSS fundamentals Good sense in user experience Well versed in various browser technologies Hands-on experience in at least one frontend framework, understanding how it works Love technologies and embrace changes Enjoy teamwork Experience in data visualisation preferred Experience in event tracking and web analytics preferred  "
6,Data Engineer,"
                  Kpler
                ","
                Singapore, Singapore
              ",Remote," In a world where trades are happening faster than ever to answer our needs, where sustainability is not just an option anymore, clarity and trust in the information we trade with are a must.   So, say hello to Kpler! We exist to facilitate sustainable and efficient trade to meet the changing needs of our world. To do so we've built a Data-as-a-Service solution that does exactly that across the lifecycle of a trade.   Our solution aggregates data from hundreds of sources including radar and satellite imagery as well as logistics, governmental, shipping databases and more. Intelligently connecting the dots across fragmented information landscapes, we bring to our clients a unique, real-time understanding of the trades happening all over the world, by giving them access to live information about the movement of cargos, the availability of vessels as well as the commodity storage.   To support this endeavor we have teams in more than 7 countries and 8 key locations (Brussels, Paris, London, Vienna, Dubai, Singapore, Houston and New York). With individuals of various backgrounds, diverse skills, and international experiences, being global &amp; inclusive is in our DNA!   Our values   Be humble - We always place the interests of the collective before your own. Respect and care for others - We make every person feel comfortable in their own beliefs, decisions, and perspectives. Take responsibility - We take ownership of our actions Act with integrity -We are honest and transparent in all your dealings. Be bold - We push the boundaries in order to improve and grow.    You’ll get to work in a truly global environment, with more than 30 nationalities speaking more than 15 languages.   What you’ll do:   You will participate in the evolution of our platform app.kpler.com (code, test, deployment, support) and derived applications with the aim of extracting (API, scraping), consolidating, (ETL), and applying algorithms (data-mining, business rules) on large data sets, and make them available (Postgres, ElasticSearch).   For example, you will improve our vessel destination forecast algorithm.   You will be tested on, and expected to work with the following stack :   Python, Posgresql, SQLAlchemy, ElasticSearch, AWS...   The technical team works in lean mode to continually improve our SaaS applications and API.   You could be a good fit if...   Python and ideally with a first experience in startups Knowledge in Scala could be a plus Crafty, handy and pragmatic, you code on Linux / Mac and are both comfortable with CLI and graphical interfaces You commit on Open source projects and you are present on GitHub    Our People Pledge   Kpler is committed to providing a fair, inclusive and diverse work-environment. We believe that different perspectives lead to better ideas, and better ideas allow us to better understand the needs and interests of our diverse, global community. We welcome people of different backgrounds, experiences, abilities and perspectives and are an equal opportunity employer.   "
7,Data Engineer (Remote Possible),"
                  Glints
                ","
                Singapore, Singapore
              ",Remote," At Glints, we are building the #1 tech-enabled recruitment and career discovery platform in Southeast Asia that helps people and organisations realise their human potential by joining great organisations, learning the right skills and building great teams.   We’re looking for a Data Engineer to design and set up data ingestion pipelines into Data Warehouse. Transforming data into consumable dataset for stakeholders, enabling analysts and stakeholders to make critical decisions through automated dashboard reporting and flagging out dataset with poor Data Quality are all crucial scopes for Data Engineers.   What You'll Be Doing   You will be suggesting and implementing improvement to our existing data pipeline. Day to day work include understanding the requirement of stakeholder and assisting stakeholder in beginning dataset into data warehouse in the shape for stakeholder use for dashboard building. Being part of the Data Engineering Team, you will also be participating in the improvement of the team operation to ensure that the work process is optimized and improved if possible, thus enabling the organisation to achieve a data-driven decision making culture.    Why You Should Join Us   In this role, you will be exposed to many aspects of Data Warehousing and Data Pipeline to serve stakeholders requirements. Stakeholders can range from Business Analysts, Product Analysts to Data Scientists who need datasets for model training. As the Data Team grows, depending on your inclination, there is room to develop both technically and also in people management.    Who We Are Looking For   Has experience working with Apache Airflow and/or Apache Kafka Comfortable working with Kubernetes Knowledge in Data Modelling, especially in Database Normalization Experience in writing clear, well-structured and concise documentation that promotes data discoverability Knowledge in SQL, Docker(-compose), Python and/or GoLang Experience in working in Agile/Scrum development    Let’s Realise Human Potential.   We have impacted many lives since we were founded in 2013, but there’s still plenty to be done. If you’re ready to grow and make an impact, you’ve come to the right place.   What is Glints?   Glints is an online talent recruitment and career discovery platform with the enduring purpose of contributing to a world where people and organisations can realize their human potential.   Our tech-enabled approach to recruitment and career discovery connects more than 1.5 million candidates to their next dream opportunities, has supported more than 30,000 companies in finding top talents, doubled recruiter efficiency, and has raised more than US$30M+ from best venture investors in Asia to date.   Our agility and firm hold on our core purpose and values have allowed us to remain resilient and thrive through tumultuous times, and we are proud to be recognised by LinkedIn as one of the Top 10 Startups in Singapore in 2020.   Who We Are   At Glints, personal and professional growth are just as important as business growth. That's why we created the Glints Culture Code: #RIIBCOH. It defines our values, guides our decisions and actions, and is what makes us special.   Relentlessly Resourceful: Whatever it takes, just make it happen (ethically)   Integrity: Have courage, be guided by the truth, don’t be afraid   Impact: Missionaries, not mercenaries   Beginners’ Mindset: Stay humble, don’t be attached to ego   Customer Obsessed: Customers First   Ownership: Care intensely about the mission and take responsibility   High Standards: Dream big and deliver epic outcomes fast   Where We Work   Glints operates in multiple locations across Greater Southeast Asia, including Singapore, Indonesia, Vietnam, Taiwan and Malaysia.   Learn more about Glints and our culture at bit.ly/glintsculture,   Or check out our Careers Page at https://glints.com/careers! "
8,"Data Engineer - Search, Recommendation and Ads (Campus Hire)","
                  Shopee
                ","
                Singapore, Singapore
              ",On-site,"  Job Description    Design, build and maintain the ingestion system to support various types of data (e.g. User behavior, RDS, NoSQL db and others) to be ingested to the data warehouse more timely and accurately Translate data requirements into scalable technical data service with low latency and high concurrency Design, build and maintain the batch or real time data pipeline in production using Hadoop big data technology Analyse and improve efficiency, scalability, and stability of the system Define and manage service level agreement and data quality for all data sets in allocated areas of ownership     Requirements    Minimum B.S. degree in Computer Science or a related technical field Candidates with 0 to 1 year of experience are welcomed to apply Working experience in programming languages, such as Java, Scala, Python, Golang &amp; C++ SQL is optional Familiar with Hadoop, Spark and Flink data processing, experience of TB data processing experience is a plus Familiar designing and operating of a robust distributed system is a plus Understand data mining or machine learning Excited to work with data Passionate, self-motivated, and takes ownership  "
9,[C#] Software Engineer,"
                  Experis Singapore
                ","
                Singapore, Singapore
              ",On-site,"  Nearest MRT: Haw Par Villa Salary will commensurate with relevant experience, plus AWS &amp; Variable bonus Training provided for entry level candidates    Job Scope    Incremental development of software modules Analyse customer issues and implement solutions within the existing machine application Investigate and implement engineering change requests Testing of new releases by unit testing, simulating processes and on actual equipment Work with version control tools and issue tracking tool for software release management Ensure fast response to customer issues Install &amp; (beta)test new software release @customer site within Asia region    Job Requirements    Min Degree in Automation/ Computer Science/ Mechatronics Engineering related With experience in automation/ equipment industries is a plus Proficiency in Microsoft .NET framework (C#, WCF, WPF) using Microsoft Visual Studio Knowledge of UML and state machines Experience with version control in Mercurial / GIT Experience with PLC language ST (IEC 6-1131) Shortlisted candidates will be informed.   Interested applicants please send in your updated resume to jeffrey.koh@experis.com.sg with the subject ""Software Engineer C#""   Jeffrey Koh Kok Ann   Registration No.: R1770345   EA License No.: 02C3423 "
