,Title,Company Name,Location,Work Type,Description
0,Data Engineer,"
                  RemoteWorker UK
                ","
                London, England, United Kingdom
              ",On-site," Data EngineerMake sure to read the full description below, and please apply immediately if you are confident you meet all the requirements. Fully Remote (UK/Europe) £65,000-£75,000 + Progression + Training + Remote Working + 33 Days Holiday + Training and Development Budget + BenefitsExcellent opportunity for a Data Engineer to join a high-growth Scale-Up offering excellent progression and training opportunities, a brilliant work/life balance, and chance to play a major part in the development of a brand-new Artificial IPlease click on the apply button to read the full job description "
1,"Junior Software Engineer - £35,000 DOE - Fully Remote","
                  RemoteWorker UK
                ","
                East Goscote, England, United Kingdom
              ",Remote," Junior Software Engineer (PHP) - 100% Remote - up to £35K + company benefits including remote working, flexible working hours, career progression, excellent training, free gifts, annual company retreat &amp; more!A software development company is looking for a skilled Junior Software Engineer to join their successful and fast-growing team. This opportunity will see you build an established career by uFind out more about this role by reading the information below, then apply to be considered.Please click on the apply button to read the full job description "
2,Software Engineer - Mental Health/Fitness - Fully remote,"
                  RemoteWorker UK
                ","
                London, England, United Kingdom
              ",Remote," Software Engineer (React, Node)Fully remote - access to co-working spaces in your areaSalary: £55,000-£75,000A UK Mental Fitness/Health start-up are currently looking to hire Software Engineers to join their existing team of 4 (3 x Engineers + the HoE).You'll be joining a rapidly growing tech-for-good start-up focused on managing and improving the mental health of their users, via their consumer aBelow covers everything you need to know about what this opportunity entails, as well as what is expected from applicants.Please click on the apply button to read the full job description "
3,Software Engineer - Remote Optional,"
                  RemoteWorker UK
                ","
                Bristol, England, United Kingdom
              ",Remote," Signup on Hired to find your dream job (remote work available) as a Software Engineer at one of 10,000 companies looking for jobseekers just like you.Skills, Experience, Qualifications, If you have the right match for this opportunity, then make sure to apply today.Companies on Hired apply to you You'll receive salary and compensation details up front- before the interview.By crafting a profile on Hired, we're confident that you'll find a job you'll love Software Engineers continue to be one of the most exciting and sought after developer jobs available.Engineers code websites or applications on both the server and the user-facing side.It is a role that fuses both creative and practical concerns, as these engineers are responsible for everything the website user encounters, including scrolling functions and graphics, as well as crafting the logic, database interactions and server configuration on the application's Backend.In addition to programming the various features of server-side and user-side applications, software engineers are encouraged to upgrade and maintain both the Backend and Front-end as needed.As new technologies emerge and platforms are expanded, the role will likely transform to suit these changes.We need Software Engineering jobseekers on Hired who are results-oriented, multifaceted and can work independently or in a team environment, to get the job done.Common Responsibilities The development and maintenance of client-side and server-side applications.Working with a team of web developers, marketing teams and engineers to ensure the right look and vital features are included in your work.Crafting tests that will be implemented to keep software functional.Stay on top of growing technologies and engineering trends.Skills &amp; Experiences Our Employers Need 4 Years of experience with Backend web development.4 Years experience with Frontend web development.Proficiency with HTML and CSS.Code using languages such as JavaScript, Core MVC, and ASP.NET.An adroitness with SQL, Ruby, Ruby on Rails, Java for Front-End and Backend programming, Go Language, Swift, Docker, Azure, AngularJS and Angular 2.Building and accessing databases with NoSQL and Node.js.Understanding the ins-and-outs of HTTP protocols, developer tools, SSL certificates and web application architecture.Keeping track of changes made to code with Git version control system.These Would Also Be Nice Good communication skills.Thriving as a member of a team.Understanding the needed technology for web development.Keeping business needs in mind.Are you ready to find your next opportunity with Hired? "
4,Software Engineer - Remote Optional,"
                  RemoteWorker UK
                ","
                Comberton, England, United Kingdom
              ",Remote," Signup on Hired to find your dream job (remote work available) as a Software Engineer at one of 10,000 companies looking for jobseekers just like you.Skills, Experience, Qualifications, If you have the right match for this opportunity, then make sure to apply today.Companies on Hired apply to you You'll receive salary and compensation details up front- before the interview.By crafting a profile on Hired, we're confident that you'll find a job you'll love Software Engineers continue to be one of the most exciting and sought after developer jobs available.Engineers code websites or applications on both the server and the user-facing side.It is a role that fuses both creative and practical concerns, as these engineers are responsible for everything the website user encounters, including scrolling functions and graphics, as well as crafting the logic, database interactions and server configuration on the application's Backend.In addition to programming the various features of server-side and user-side applications, software engineers are encouraged to upgrade and maintain both the Backend and Front-end as needed.As new technologies emerge and platforms are expanded, the role will likely transform to suit these changes.We need Software Engineering jobseekers on Hired who are results-oriented, multifaceted and can work independently or in a team environment, to get the job done.Common Responsibilities The development and maintenance of client-side and server-side applications.Working with a team of web developers, marketing teams and engineers to ensure the right look and vital features are included in your work.Crafting tests that will be implemented to keep software functional.Stay on top of growing technologies and engineering trends.Skills &amp; Experiences Our Employers Need 4 Years of experience with Backend web development.4 Years experience with Frontend web development.Proficiency with HTML and CSS.Code using languages such as JavaScript, Core MVC, and ASP.NET.An adroitness with SQL, Ruby, Ruby on Rails, Java for Front-End and Backend programming, Go Language, Swift, Docker, Azure, AngularJS and Angular 2.Building and accessing databases with NoSQL and Node.js.Understanding the ins-and-outs of HTTP protocols, developer tools, SSL certificates and web application architecture.Keeping track of changes made to code with Git version control system.These Would Also Be Nice Good communication skills.Thriving as a member of a team.Understanding the needed technology for web development.Keeping business needs in mind.Are you ready to find your next opportunity with Hired? "
5,Software Engineer - Remote Optional,"
                  RemoteWorker UK
                ","
                Reading, England, United Kingdom
              ",Remote," Signup on Hired to find your dream job (remote work available) as a Software Engineer at one of 10,000 companies looking for jobseekers just like you.Skills, Experience, Qualifications, If you have the right match for this opportunity, then make sure to apply today.Companies on Hired apply to you You'll receive salary and compensation details up front- before the interview.By crafting a profile on Hired, we're confident that you'll find a job you'll love Software Engineers continue to be one of the most exciting and sought after developer jobs available.Engineers code websites or applications on both the server and the user-facing side.It is a role that fuses both creative and practical concerns, as these engineers are responsible for everything the website user encounters, including scrolling functions and graphics, as well as crafting the logic, database interactions and server configuration on the application's Backend.In addition to programming the various features of server-side and user-side applications, software engineers are encouraged to upgrade and maintain both the Backend and Front-end as needed.As new technologies emerge and platforms are expanded, the role will likely transform to suit these changes.We need Software Engineering jobseekers on Hired who are results-oriented, multifaceted and can work independently or in a team environment, to get the job done.Common Responsibilities The development and maintenance of client-side and server-side applications.Working with a team of web developers, marketing teams and engineers to ensure the right look and vital features are included in your work.Crafting tests that will be implemented to keep software functional.Stay on top of growing technologies and engineering trends.Skills &amp; Experiences Our Employers Need 4 Years of experience with Backend web development.4 Years experience with Frontend web development.Proficiency with HTML and CSS.Code using languages such as JavaScript, Core MVC, and ASP.NET.An adroitness with SQL, Ruby, Ruby on Rails, Java for Front-End and Backend programming, Go Language, Swift, Docker, Azure, AngularJS and Angular 2.Building and accessing databases with NoSQL and Node.js.Understanding the ins-and-outs of HTTP protocols, developer tools, SSL certificates and web application architecture.Keeping track of changes made to code with Git version control system.These Would Also Be Nice Good communication skills.Thriving as a member of a team.Understanding the needed technology for web development.Keeping business needs in mind.Are you ready to find your next opportunity with Hired? "
6,Software Engineer - Remote Optional,"
                  RemoteWorker UK
                ","
                Woolstone, England, United Kingdom
              ",Remote," Signup on Hired to find your dream job (remote work available) as a Software Engineer at one of 10,000 companies looking for jobseekers just like you.Skills, Experience, Qualifications, If you have the right match for this opportunity, then make sure to apply today.Companies on Hired apply to you You'll receive salary and compensation details up front- before the interview.By crafting a profile on Hired, we're confident that you'll find a job you'll love Software Engineers continue to be one of the most exciting and sought after developer jobs available.Engineers code websites or applications on both the server and the user-facing side.It is a role that fuses both creative and practical concerns, as these engineers are responsible for everything the website user encounters, including scrolling functions and graphics, as well as crafting the logic, database interactions and server configuration on the application's Backend.In addition to programming the various features of server-side and user-side applications, software engineers are encouraged to upgrade and maintain both the Backend and Front-end as needed.As new technologies emerge and platforms are expanded, the role will likely transform to suit these changes.We need Software Engineering jobseekers on Hired who are results-oriented, multifaceted and can work independently or in a team environment, to get the job done.Common Responsibilities The development and maintenance of client-side and server-side applications.Working with a team of web developers, marketing teams and engineers to ensure the right look and vital features are included in your work.Crafting tests that will be implemented to keep software functional.Stay on top of growing technologies and engineering trends.Skills &amp; Experiences Our Employers Need 4 Years of experience with Backend web development.4 Years experience with Frontend web development.Proficiency with HTML and CSS.Code using languages such as JavaScript, Core MVC, and ASP.NET.An adroitness with SQL, Ruby, Ruby on Rails, Java for Front-End and Backend programming, Go Language, Swift, Docker, Azure, AngularJS and Angular 2.Building and accessing databases with NoSQL and Node.js.Understanding the ins-and-outs of HTTP protocols, developer tools, SSL certificates and web application architecture.Keeping track of changes made to code with Git version control system.These Would Also Be Nice Good communication skills.Thriving as a member of a team.Understanding the needed technology for web development.Keeping business needs in mind.Are you ready to find your next opportunity with Hired? "
7,Software Engineer - Remote Optional,"
                  RemoteWorker UK
                ","
                Oldham, England, United Kingdom
              ",Remote," Signup on Hired to find your dream job (remote work available) as a Software Engineer at one of 10,000 companies looking for jobseekers just like you.Skills, Experience, Qualifications, If you have the right match for this opportunity, then make sure to apply today.Companies on Hired apply to you You'll receive salary and compensation details up front- before the interview.By crafting a profile on Hired, we're confident that you'll find a job you'll love Software Engineers continue to be one of the most exciting and sought after developer jobs available.Engineers code websites or applications on both the server and the user-facing side.It is a role that fuses both creative and practical concerns, as these engineers are responsible for everything the website user encounters, including scrolling functions and graphics, as well as crafting the logic, database interactions and server configuration on the application's Backend.In addition to programming the various features of server-side and user-side applications, software engineers are encouraged to upgrade and maintain both the Backend and Front-end as needed.As new technologies emerge and platforms are expanded, the role will likely transform to suit these changes.We need Software Engineering jobseekers on Hired who are results-oriented, multifaceted and can work independently or in a team environment, to get the job done.Common Responsibilities The development and maintenance of client-side and server-side applications.Working with a team of web developers, marketing teams and engineers to ensure the right look and vital features are included in your work.Crafting tests that will be implemented to keep software functional.Stay on top of growing technologies and engineering trends.Skills &amp; Experiences Our Employers Need 4 Years of experience with Backend web development.4 Years experience with Frontend web development.Proficiency with HTML and CSS.Code using languages such as JavaScript, Core MVC, and ASP.NET.An adroitness with SQL, Ruby, Ruby on Rails, Java for Front-End and Backend programming, Go Language, Swift, Docker, Azure, AngularJS and Angular 2.Building and accessing databases with NoSQL and Node.js.Understanding the ins-and-outs of HTTP protocols, developer tools, SSL certificates and web application architecture.Keeping track of changes made to code with Git version control system.These Would Also Be Nice Good communication skills.Thriving as a member of a team.Understanding the needed technology for web development.Keeping business needs in mind.Are you ready to find your next opportunity with Hired? "
8,Software Engineer - Remote Optional,"
                  RemoteWorker UK
                ","
                Stockport, England, United Kingdom
              ",Remote," Signup on Hired to find your dream job (remote work available) as a Software Engineer at one of 10,000 companies looking for jobseekers just like you.Skills, Experience, Qualifications, If you have the right match for this opportunity, then make sure to apply today.Companies on Hired apply to you You'll receive salary and compensation details up front- before the interview.By crafting a profile on Hired, we're confident that you'll find a job you'll love Software Engineers continue to be one of the most exciting and sought after developer jobs available.Engineers code websites or applications on both the server and the user-facing side.It is a role that fuses both creative and practical concerns, as these engineers are responsible for everything the website user encounters, including scrolling functions and graphics, as well as crafting the logic, database interactions and server configuration on the application's Backend.In addition to programming the various features of server-side and user-side applications, software engineers are encouraged to upgrade and maintain both the Backend and Front-end as needed.As new technologies emerge and platforms are expanded, the role will likely transform to suit these changes.We need Software Engineering jobseekers on Hired who are results-oriented, multifaceted and can work independently or in a team environment, to get the job done.Common Responsibilities The development and maintenance of client-side and server-side applications.Working with a team of web developers, marketing teams and engineers to ensure the right look and vital features are included in your work.Crafting tests that will be implemented to keep software functional.Stay on top of growing technologies and engineering trends.Skills &amp; Experiences Our Employers Need 4 Years of experience with Backend web development.4 Years experience with Frontend web development.Proficiency with HTML and CSS.Code using languages such as JavaScript, Core MVC, and ASP.NET.An adroitness with SQL, Ruby, Ruby on Rails, Java for Front-End and Backend programming, Go Language, Swift, Docker, Azure, AngularJS and Angular 2.Building and accessing databases with NoSQL and Node.js.Understanding the ins-and-outs of HTTP protocols, developer tools, SSL certificates and web application architecture.Keeping track of changes made to code with Git version control system.These Would Also Be Nice Good communication skills.Thriving as a member of a team.Understanding the needed technology for web development.Keeping business needs in mind.Are you ready to find your next opportunity with Hired? "
9,Software Engineer - Remote Optional,"
                  RemoteWorker UK
                ","
                Witney, England, United Kingdom
              ",Remote," Signup on Hired to find your dream job (remote work available) as a Software Engineer at one of 10,000 companies looking for jobseekers just like you.Skills, Experience, Qualifications, If you have the right match for this opportunity, then make sure to apply today.Companies on Hired apply to you You'll receive salary and compensation details up front- before the interview.By crafting a profile on Hired, we're confident that you'll find a job you'll love Software Engineers continue to be one of the most exciting and sought after developer jobs available.Engineers code websites or applications on both the server and the user-facing side.It is a role that fuses both creative and practical concerns, as these engineers are responsible for everything the website user encounters, including scrolling functions and graphics, as well as crafting the logic, database interactions and server configuration on the application's Backend.In addition to programming the various features of server-side and user-side applications, software engineers are encouraged to upgrade and maintain both the Backend and Front-end as needed.As new technologies emerge and platforms are expanded, the role will likely transform to suit these changes.We need Software Engineering jobseekers on Hired who are results-oriented, multifaceted and can work independently or in a team environment, to get the job done.Common Responsibilities The development and maintenance of client-side and server-side applications.Working with a team of web developers, marketing teams and engineers to ensure the right look and vital features are included in your work.Crafting tests that will be implemented to keep software functional.Stay on top of growing technologies and engineering trends.Skills &amp; Experiences Our Employers Need 4 Years of experience with Backend web development.4 Years experience with Frontend web development.Proficiency with HTML and CSS.Code using languages such as JavaScript, Core MVC, and ASP.NET.An adroitness with SQL, Ruby, Ruby on Rails, Java for Front-End and Backend programming, Go Language, Swift, Docker, Azure, AngularJS and Angular 2.Building and accessing databases with NoSQL and Node.js.Understanding the ins-and-outs of HTTP protocols, developer tools, SSL certificates and web application architecture.Keeping track of changes made to code with Git version control system.These Would Also Be Nice Good communication skills.Thriving as a member of a team.Understanding the needed technology for web development.Keeping business needs in mind.Are you ready to find your next opportunity with Hired? "
