,Title,Company Name,Location,Work Type,Description
0,"Intern, Software Engineer (AEC Design-AutoCAD)","
                  Autodesk
                ","
                Shanghai, Shanghai, China
              ",On-site," Job Requisition ID #  22WD57186    Position Overview    AutoCAD is the world-leading 2D &amp; 3D CAD software, which provides a complete solution for design and documentation. AutoCAD product team is looking for a software development engineer to help with the improvement and renovation on this industry leading product. The intern in this role will partner with senior developers or architects on AutoCAD feature research and implementation. They will experience a variety of different technology and learn a matured development process of Agile.    Responsibilities    Design and implementation of Windows Desktop features. Research and improve user’s experience of using this product. Develop a variety of development tools internally used. Develop Cloud based services and meet security requirement.    Minimum Qualifications    Must be at least 18 and enrolled in college or non-traditional education, such as coding boot camps or industry-related vocational classes. Proficiency in C++ or C#. Knowing JavaScript and NodeJS. Good writing and oral English.    Preferred Qualifications    Pursuing a Master’s or PhD in Computer Science, Information Science, Data Science, Analytics, Machine Learning or a related field Previous projects relating to desktop or cloud development Machine Learning and Pattern Recognition project experience.    About The APAC-China Internship Program    Our China Engineering program runs from May through Oct for 6 months and will be onsite in Shanghai office. As an intern, you will have the opportunity to contribute to meaningful projects, be mentored by industry leaders, work alongside peers from universities all over the country and participate in tech talks and other activities designed to support your personal and professional development. China recruiting begins now and concludes in March 2022.    About Autodesk    Autodesk is changing how the world is designed and made. Our technology spans architecture, engineering, construction, product design, manufacturing, media, and entertainment, empowering innovators everywhere to solve challenges big and small. From greener buildings to smarter products to more mesmerizing blockbusters, Autodesk software helps our customers to design and make a better world for all. For more information visit autodesk.com or follow @autodesk.   At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.   Are you an existing contractor or consultant with Autodesk? Please search for open jobs and apply internally (not on this external site). If you have any questions or require support, contact Autodesk Careers.  With Autodesk software, you have the power to Make Anything. The future of making is here, bringing with it radical changes in the way things are designed, made, and used. It’s disrupting every industry: architecture, engineering, and construction; manufacturing; and media and entertainment. With the right knowledge and tools, this disruption is your opportunity. Our software is used by everyone - from design professionals, engineers and architects to digital artists, students and hobbyists. We constantly explore new ways to integrate all dimensions of diversity across our employees, customers, partners, and communities. Our ultimate goal is to expand opportunities for anyone to imagine, design, and make a better world. "
1,Prototype Engineer,"
                  Bayer
                ","
                Shanghai, Shanghai, China
              ",On-site," At Bayer we’re visionaries, driven to solve the world’s toughest challenges and striving for a world where ,Health for all, Hunger for none’ is no longer a dream, but a real possibility. We’re doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining ‘impossible’. There are so many reasons to join us. If you’re hungry to build a varied and meaningful career in a community of brilliant and diverse minds to make a real difference, there’s only one choice.  Prototype Engineer   Your Tasks And Responsibilities    Responsible to work with sensor, smart wearable, and data science team to build MVP (minimal viable product) to support product manager on agile user needs validation and feasibility assessment Through user/design centric approach, explore new use cases and opportunities, develop user journey map, and drive prototyping Take responsibility of functional design and iteration of the products, participate in the whole process of product planning, demand definition, development, testing and launch, and be responsible for the final product effect Work with product team and growers/value chain partners to identify use case and product specifications, and to build working prototypes and demos Be an internal coach to the entire product and engineering team on scrum, agile development, and DevOps    Who You Are    Bachelor degree or above in software engineering, computer science, or related fields Be able to independently manage thewhole loop of the project, with experience in the whole process product project management of demand research-design-review-technical scheduling-development-testing-acceptance-data 5+ years working experience in software development or similar capacity, with deep understanding in data structure and algorithm foundation Programing proficiency in modern front-end development (e.g.,HTML, CSS, JavaScript, Node.js, React/Vue) Hands-on experience in relational database design and access (e.q. MySQL, Amazon Aurora, Oracle, etc.) Strong analytical and communication skills, self-driven, highly motivated and fast learner Be able to have high-frequency business trips   YOUR APPLICATION  If your background and personal experience fit this profile, please send us your complete application at www.career.bayer.cn If you have any recommendations, please kindly send mail to cnreferral@bayer.com   L ocation:  China : ShangHai : ShangHai   Division:  Crop Science   Reference Code:  571041 "
2,H5 Engineer,"
                  KPMG China
                ","
                Nanjing, Jiangsu, China
              ",On-site," Responsibilities  ：   Analyse, design and develop financial industry frontend systems Be responsible for development of product core structure and function Preparing monthly Internal Data Management report Resolve main technical issues in the process of development Diagnose and solve the problems existing in the current system    Requirements  ：   Degree in Computer Science or equivalent Excellent skills in JavaScript with demonstrated practical experience. Experience in mobile application development is a plus Experienced in HTML5 and other web technologies such as React/Angular/Vue/Webpack Solid understanding and practical experience in HTML &amp; CSS, experience in responsive design is a plus 1-3+ years of development experience Good team player, willing to learn and share the ambition to aim for the same goals Good communication and presentation skills  "
3,"JUNIOR DEVELOPER - Dubai, UAE","
                  Cobblestone Energy
                ","
                Shanghai, Shanghai, China
              ",On-site," Starting salary of 55,000 USD per annum  in a zero-tax environment.   Fast progression for strong performers.   Job location:  Dubai, UAE   About us:  Cobblestone Energy is a proprietary trading firm that specializes in the wholesale electricity market across Europe. Electricity is fundamental to the world's economic activities. We trade enough electricity every day to power a small country, and in doing so, we help to address the mismatch between electricity generation and consumption.    Job Description    At Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. We are looking for enthusiastic and resourceful developers who are passionate about building exceptionally reliable and performance data processing solutions. You want to help the commercial team make data-informed decisions, have a curious mindset, and are motivated to understand our business better. Developing a strong domain knowledge of our industry over time is key to long term success in this role.   If you have excellent programming skills, strong problem-solving skills, and a passion for developing and improving applications utilizing cutting edge technologies, then we would like to meet you.   What we offer in this role    Competitive remuneration, with fast progression for strong performers. A challenging but exciting, open, and fun work environment. An opportunity to work with remarkably talented colleagues. Vast growth potential in every aspect. 15% target bonus with further upside. Employee share scheme participation International relocation support Opportunity to be embedded within a commercial team for those with strong commercial interest    Responsibilities    Write software applications and programs for backend/frontend purposes. Analyse programs and apps to improve their features and functionalities. Test &amp; debug programs and fix any reported bugs. Collaborate with the tech team to improve the performance, efficiency, and scalability of our tools.    Requirements    BS/BE in Computer Science/Computer Engineering. Programming experience of 1 to 2 years in Python language. Expertise in at least one popular Python framework (like Django, Flask ...). Experience of 1 to 2 years in front-end technologies such as HTML5, CSS, JQuery, JS, ...etc. Knowledge of APIs and webservices. Knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server ...) and SQL language. Knowledge of NoSQL databases is a plus. Knowledge of AWS is a plus / Knowledge of data visualization tools, mainly Tableau, is a plus. Ability to work in a team environment. Strong problem-solving skills and analytical skills. Resilience and a determination to succeed. Independent thinkers with growth mindset. Must be passionate, self-motivated, and able to learn quickly. Strong sense of integrity. Personal values that match our company values.  "
4,"Software Engineer, Backend","
                  Grab
                ","
                Beijing, Beijing, China
              ",On-site," Job Description:   Life at Grab  At Grab, every Grabber is guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles - the 4Hs: Heart, Hunger, Honour and Humility. These principles guide and help us make decisions as we work to create economic empowerment for the people of Southeast Asia.   Get to know the Team  When you're an engineer at Grab, you are part of the heart and soul of the company. Our passion is anchored in the work that we do, and this is reflected in the impact we make on millions of lives on a daily basis. Our team is empowered by creating amazing services and tools that serve millions of passengers, driving partners, and fellow grabbers.   Get to know the Role   Design and write with the state of the art Go language to improve the availability, scalability, latency, and efficiency of Grab's range of services   The Day-to-Day Activities:   Work with engineering team on designs/architectures geared towards scale, performance and high availability. Design and write with the cutting edge GO language to improve the availability, scalability, latency, and efficiency of Grab's range of services Participate in code and design reviews to maintain our high development standards Engage in service capacity and demand planning, software performance analysis, tuning and optimization Collaborate with product and experience teams to define and prototype feature specifications Process real-time transaction and telematics data at scale to build new Safety features Work with Data Scientist team to implement models in real-time, testing and monitoring the system Build technologies to test and validate insights via rapid experimentation and deployment   The Must Haves:   A degree in Computer Science, Software Engineering, Information Technology or related fields Strong Computer Science fundamentals in algorithms and data structures Familiarity with running large scale web services; understanding of systems internals and networking are a plus Strong understanding of system performance and scaling Possess excellent communication, sharp analytical abilities with proven design skills, able to think critically of the current system in terms of growth and stability You can be a good coder in any language (C++, C, Java, Scala, Rust, Haskell, OCaml, Erlang, Python, Ruby, PHP, Node.JS, C# etc.), but willing to work on Golang   Our Commitment  We are committed to building diverse teams and creating an inclusive workplace that enables all Grabbers to perform at their best, regardless of nationality, ethnicity, religion, age, gender identity or sexual orientation and other attributes that make each Grabber unique.   About Grab  Grab is the leading superapp platform in Southeast Asia, providing everyday services that matter to consumers. Today, the Grab app has been downloaded onto millions of mobile devices, giving users access to over 9 million drivers, merchants, and agents. Grab offers a wide range of on-demand services in the region, including mobility, food, package and grocery delivery services, mobile payments, and financial services across 428 cities in eight countries.   Join us today to drive Southeast Asia forward, together.  "
5,Front-end engineer,"
                  Michael Page
                ","
                Shanghai, Shanghai, China
              ",On-site,"  Global Fintech company |Technical driven and work life balance     About Our Client  Global Fintech company   Job Description   You will craft innovative features and solutions for our business facing Software as a Service Platform. You will demonstrate your web skills on data visualization. You will help us build a stunning front-end experience.   The Successful Applicant   8+ years software development experience. Experience in front-end software development experience preferably for customer-facing websites. Exceptional abilities with HTML5, JavaScript and CSS. Experience with JavaScript frameworks such as Angular. Familiarity/experience with unit testing and designing testable code. Insatiable curiosity A passion for storytelling and thoughtful UX  What's on Offer  Global Fintech company   Technical driven and work life balance   Contact: Wynona Miao  Quote job ref: JN-022022-5267309  "
6,"JUNIOR DEVELOPER - Dubai, UAE","
                  Cobblestone Energy
                ","
                Macao SAR
              ",On-site," Starting salary of 55,000 USD per annum  in a zero-tax environment.   Fast progression for strong performers.   Job location:  Dubai, UAE   About us:  Cobblestone Energy is a proprietary trading firm that specializes in the wholesale electricity market across Europe. Electricity is fundamental to the world's economic activities. We trade enough electricity every day to power a small country, and in doing so, we help to address the mismatch between electricity generation and consumption.    Job Description    At Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. We are looking for enthusiastic and resourceful developers who are passionate about building exceptionally reliable and performance data processing solutions. You want to help the commercial team make data-informed decisions, have a curious mindset, and are motivated to understand our business better. Developing a strong domain knowledge of our industry over time is key to long term success in this role.   If you have excellent programming skills, strong problem-solving skills, and a passion for developing and improving applications utilizing cutting edge technologies, then we would like to meet you.   What we offer in this role    Competitive remuneration, with fast progression for strong performers. A challenging but exciting, open, and fun work environment. An opportunity to work with remarkably talented colleagues. Vast growth potential in every aspect. 15% target bonus with further upside. Employee share scheme participation International relocation support Opportunity to be embedded within a commercial team for those with strong commercial interest    Responsibilities    Write software applications and programs for backend/frontend purposes. Analyse programs and apps to improve their features and functionalities. Test &amp; debug programs and fix any reported bugs. Collaborate with the tech team to improve the performance, efficiency, and scalability of our tools.    Requirements    BS/BE in Computer Science/Computer Engineering. Programming experience of 1 to 2 years in Python language. Expertise in at least one popular Python framework (like Django, Flask ...). Experience of 1 to 2 years in front-end technologies such as HTML5, CSS, JQuery, JS, ...etc. Knowledge of APIs and webservices. Knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server ...) and SQL language. Knowledge of NoSQL databases is a plus. Knowledge of AWS is a plus / Knowledge of data visualization tools, mainly Tableau, is a plus. Ability to work in a team environment. Strong problem-solving skills and analytical skills. Resilience and a determination to succeed. Independent thinkers with growth mindset. Must be passionate, self-motivated, and able to learn quickly. Strong sense of integrity. Personal values that match our company values.  "
7,"JUNIOR DEVELOPER - Dubai, UAE","
                  Cobblestone Energy
                ","
                Hong Kong SAR
              ",On-site," Starting salary of 55,000 USD per annum  in a zero-tax environment.   Fast progression for strong performers.   Job location:  Dubai, UAE   About us:  Cobblestone Energy is a proprietary trading firm that specializes in the wholesale electricity market across Europe. Electricity is fundamental to the world's economic activities. We trade enough electricity every day to power a small country, and in doing so, we help to address the mismatch between electricity generation and consumption.    Job Description    At Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. We are looking for enthusiastic and resourceful developers who are passionate about building exceptionally reliable and performance data processing solutions. You want to help the commercial team make data-informed decisions, have a curious mindset, and are motivated to understand our business better. Developing a strong domain knowledge of our industry over time is key to long term success in this role.   If you have excellent programming skills, strong problem-solving skills, and a passion for developing and improving applications utilizing cutting edge technologies, then we would like to meet you.   What we offer in this role    Competitive remuneration, with fast progression for strong performers. A challenging but exciting, open, and fun work environment. An opportunity to work with remarkably talented colleagues. Vast growth potential in every aspect. 15% target bonus with further upside. Employee share scheme participation International relocation support Opportunity to be embedded within a commercial team for those with strong commercial interest    Responsibilities    Write software applications and programs for backend/frontend purposes. Analyse programs and apps to improve their features and functionalities. Test &amp; debug programs and fix any reported bugs. Collaborate with the tech team to improve the performance, efficiency, and scalability of our tools.    Requirements    BS/BE in Computer Science/Computer Engineering. Programming experience of 1 to 2 years in Python language. Expertise in at least one popular Python framework (like Django, Flask ...). Experience of 1 to 2 years in front-end technologies such as HTML5, CSS, JQuery, JS, ...etc. Knowledge of APIs and webservices. Knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server ...) and SQL language. Knowledge of NoSQL databases is a plus. Knowledge of AWS is a plus / Knowledge of data visualization tools, mainly Tableau, is a plus. Ability to work in a team environment. Strong problem-solving skills and analytical skills. Resilience and a determination to succeed. Independent thinkers with growth mindset. Must be passionate, self-motivated, and able to learn quickly. Strong sense of integrity. Personal values that match our company values.  "
8,"GRADUATE SOFTWARE ENGINEER - Dubai, UAE","
                  Cobblestone Energy
                ","
                Hong Kong SAR
              ",On-site," Starting salary of 50,000 USD per annum  in a zero-tax environment.   Fast progression for strong performers.   Job location:  Dubai, UAE   About us:  Cobblestone Energy is a proprietary trading firm that specializes in the wholesale electricity market across Europe. Electricity is fundamental to the world's economic activities. We trade enough electricity every day to power a small country, and in doing so, we help to address the mismatch between electricity generation and consumption.    Job Description    At Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. We are looking for enthusiastic and resourceful developers who are passionate about building exceptionally reliable and performance data processing solutions. You want to help the commercial team make data-informed decisions, have a curious mindset, and are motivated to understand our business better. Developing a strong domain knowledge of our industry over time is key to long term success in this role.   If you have excellent programming skills, strong problem-solving skills, and a passion for developing and improving applications utilizing cutting edge technologies, then we would like to meet you.    What We Offer In This Role    Competitive remuneration, with fast progression for strong performers. A challenging but exciting, open, and fun work environment. An opportunity to work with remarkably talented colleagues. Vast growth potential in every aspect. 15% target bonus with further upside. Employee share scheme participation International relocation support Opportunity to be embedded within a commercial team for those with strong commercial interest     Responsibilities    Write software applications and programs for backend/frontend purposes. Analyse programs and apps to improve their features and functionalities. Test &amp; debug programs and fix any reported bugs. Collaborate with the tech team to improve the performance, efficiency, and scalability of our tools.     Requirements    BS/BE in Computer Science/Computer Engineering/Electrical &amp; Computer Eng. Programming skills in Python language. Knowledge of at least one popular Python framework (like Django, Flask ...) is a plus. Programming skills in Java is a plus. Familiarity &amp; Knowledge in front-end technologies such as HTML5, CSS, JQuery, JS, etc. Strong knowledge of REST APIs and webservices. Strong knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server ...) and SQL language. Knowledge of NoSQL databases is a plus. Knowledge of AWS is a plus / Knowledge of data visualization tools, mainly Tableau, is a plus. Ability to work in a team environment. Strong problem-solving skills and analytical skills. Resilience and a determination to succeed. Independent thinkers with growth mindset. Must be passionate, self-motivated, and able to learn quickly. Strong sense of integrity. Personal values that match our company values.  "
9,R&D Engineer-Associate,"
                  Advantest
                ","
                Shanghai, Shanghai, China
              ",On-site,"  Design and deliver components of system-level software platform as a member of project team. Maintain code integrity and quality, extend to fulfill customers' enhancement requests with module ownership responsibilities. Work with cross-functional teams in requirements analysis, solution elaboration and architecture design. Take part in agile project management process, including planning and executing, in a self-organization team.    Minimum Qualifications    Requirements   Bachelor's degree in Computer Science, Electronics Engineering, or related disciplines Fluency in one or more programing languages: Java, C/C++, C# Knowledge of data structures, algorithms, and operating systems Fast learner, willing to learn the state-of-the-art technologies and products. Strong analytical and problem-solving skills. Result oriented, positive attitude and a good team player Good communication skills in verbal and written English.    Preferred Qualifications   Master's degree in Computer Science, Electronics Engineering, or related disciplines. Experience in software projects: requirement analysis, design, development, code review, test, and maintenance Familiar with Linux / Unix, shell command and programming Basic Knowledge and proven experience in one or more areas below: Data mining / big data  Cloud computing  Artificial intelligence  Eclipse plugin development   "
