,Title,Company Name,Location,Work Type,Description
0,Front-End Developer,"
                  Molex
                ","
                Shijie Town, Guangdong, China
              ",On-site,"  Description    What You Will Do In Your Role   Creates technical specifications and applications utilizing programming languages as required. Troubleshooting and Root cause analysis to identify causal factors and identify configuration changes. Script / code for customization updates. Develop / Maintain the API portal website as per business requirements. Performs comprehensive functionality tests of new and updated applications to verify desired results are achieved. Evaluates results and coordinates or makes modifications to improve program performance, effectiveness, and maintainability. Writes documentation to describe program development, logic, coding, and corrections. May assist in the development and maintenance of user manuals. Follows established methodologies during program development and ensures programs adhere to the standards and procedures established by the Molex IT department. Work with the project lead in executing unit tests, regression tests, integration tests and functional tests. Perform other related duties as assigned by management.   The Experience You Will Bring    Requirements    3+ years and above of experience in cross-platform mobility application development, proficient in popular mobile app development languages, such as Java, DART, ECMAScript 6, JavaScript, HTML5, CSS … Familiar with android native application development and modem web UI/UE design for PC and mobile devices and hands-on coding using React frameworks, i.e. Ant Design, reactstrap, MaterialUI…, hands-on experience in webpack &amp; ant design pro to build the web apps will be a plus. Proficient in network communication protocols, such as TCP/IP, HTTP/FTP, SSL, REST protocol Working knowledge of system development life cycle methodologies and practice (SCRUM, AGILE) Ability to effectively work with co-workers and external contacts to achieve common goals and respond positively to situations Good organizational skills and ability to prioritize tasks to complete assignments in a systematic and timely basis. Good understanding with database management (Microsoft SQL server,Oracle or others) MS SQL server is prefer ; Good experience on writing programs, SQL scripts and stored procedures for the data conversions  "
1,"Intern, Software Engineer (AEC Design-AutoCAD)","
                  Autodesk
                ","
                Shanghai, Shanghai, China
              ",On-site," Job Requisition ID #  22WD57186    Position Overview    AutoCAD is the world-leading 2D &amp; 3D CAD software, which provides a complete solution for design and documentation. AutoCAD product team is looking for a software development engineer to help with the improvement and renovation on this industry leading product. The intern in this role will partner with senior developers or architects on AutoCAD feature research and implementation. They will experience a variety of different technology and learn a matured development process of Agile.    Responsibilities    Design and implementation of Windows Desktop features. Research and improve user’s experience of using this product. Develop a variety of development tools internally used. Develop Cloud based services and meet security requirement.    Minimum Qualifications    Must be at least 18 and enrolled in college or non-traditional education, such as coding boot camps or industry-related vocational classes. Proficiency in C++ or C#. Knowing JavaScript and NodeJS. Good writing and oral English.    Preferred Qualifications    Pursuing a Master’s or PhD in Computer Science, Information Science, Data Science, Analytics, Machine Learning or a related field Previous projects relating to desktop or cloud development Machine Learning and Pattern Recognition project experience.    About The APAC-China Internship Program    Our China Engineering program runs from May through Oct for 6 months and will be onsite in Shanghai office. As an intern, you will have the opportunity to contribute to meaningful projects, be mentored by industry leaders, work alongside peers from universities all over the country and participate in tech talks and other activities designed to support your personal and professional development. China recruiting begins now and concludes in March 2022.    About Autodesk    Autodesk is changing how the world is designed and made. Our technology spans architecture, engineering, construction, product design, manufacturing, media, and entertainment, empowering innovators everywhere to solve challenges big and small. From greener buildings to smarter products to more mesmerizing blockbusters, Autodesk software helps our customers to design and make a better world for all. For more information visit autodesk.com or follow @autodesk.   At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.   Are you an existing contractor or consultant with Autodesk? Please search for open jobs and apply internally (not on this external site). If you have any questions or require support, contact Autodesk Careers.  With Autodesk software, you have the power to Make Anything. The future of making is here, bringing with it radical changes in the way things are designed, made, and used. It’s disrupting every industry: architecture, engineering, and construction; manufacturing; and media and entertainment. With the right knowledge and tools, this disruption is your opportunity. Our software is used by everyone - from design professionals, engineers and architects to digital artists, students and hobbyists. We constantly explore new ways to integrate all dimensions of diversity across our employees, customers, partners, and communities. Our ultimate goal is to expand opportunities for anyone to imagine, design, and make a better world. "
2,Front-end engineer,"
                  Michael Page
                ","
                Shanghai, Shanghai, China
              ",On-site,"  Global Fintech company |Technical driven and work life balance     About Our Client  Global Fintech company   Job Description   You will craft innovative features and solutions for our business facing Software as a Service Platform. You will demonstrate your web skills on data visualization. You will help us build a stunning front-end experience.   The Successful Applicant   8+ years software development experience. Experience in front-end software development experience preferably for customer-facing websites. Exceptional abilities with HTML5, JavaScript and CSS. Experience with JavaScript frameworks such as Angular. Familiarity/experience with unit testing and designing testable code. Insatiable curiosity A passion for storytelling and thoughtful UX  What's on Offer  Global Fintech company   Technical driven and work life balance   Contact: Wynona Miao  Quote job ref: JN-022022-5267309  "
3,Frontend Engineer (React) - Shanghai,"
                  Tesla
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
4,Full Stack Engineer | Remote,"
                  DoraHacks
                ","
                Beijing, Beijing, China
              ",Remote," About DoraHacks  DoraHacks is a global hacker movement and the world’s most active multi-chain Web3 developer incentive platform. More than 2,000 projects from the DoraHacks community have received over $21.5 million in grants and hackathon prizes. DoraHacks.io has around 250,000 active users worldwide. The platform offers hackathons, bounty, quadratic funding, privacy voting, and other community governance/funding toolkits. In addition, over 40 major Web3 ecosystems are currently using Dora infrastructures to fund their open source communities.   DoraHacks is building the future open source curation market. We believe that by equipping developers with the best tools, connecting them to the right people, we can help the open source community solve the whole world's problems better.   DoraHacks aims at creating an everlasting hacker movement   Forward-looking: Pioneer the thought process, with revolutionary discovery and solution, never blindly follow the crowd   Long-term: Think long-term, continuously build and create value in the long-run   Pragmatic: Develop technologies and products that solve the real-world problem   Supportive: Back in the hacker movement all builders, supporters and contributors   Respectful: Welcome and collaborate with everyone in the communityResponsibilities   Able to undertake daily front-end + back-end requirements development Able to summarize and summarize problems and form a positive drive Write test cases and system documentation Able to maintain the underlying server Be able to follow up on user feedback for bug resolution    Qualifications   Frontend: Vue framework + mobile phone implementation Backend: Django DB: Mysql+Mongo Code collaboration tools: Gitlab+Sentry Cloud provider: AWS    Benefits   Competitive package of Base + Bonus + Equity Option Work at home with flexible hours Exposure to leading players in the industry Work directly with the Founding team    Logistics   This is a remote position that can be done from anywhere. Due to the remote nature of this role, we are unable to provide visa sponsorship. Resumes and communication must be submitted in English.   Our interview process takes place on Google Meeting/Zoom and consists of the following:   Recruiter call (30 minutes) Initial screen (30-45 minutes) Take-home assignment (&lt;1 week) or Team interview (45 mins) Final interview (30-45 mins)    Please let us know if you require any support for the interview process, and we’ll do our best to provide assistance. "
5,Software Engineer Front-End (Business Apps),"
                  Horizons
                ","
                Shanghai, Shanghai, China
              ",Remote," At Horizons, our vision is to enable people to work for dream jobs, in any company, from anywhere in the world!   We free companies from bureaucracy when hiring and expanding globally. We already support 500+ companies and 2,000+ employees worldwide, and we are only just getting started!   This is an exciting time to join Horizons and make a personal difference as a Back-End Software Engineer. We’re looking for a passionate developer who is inspired by our vision of bringing equal employment opportunities to the world, would be passionate about building the future of work, and is excited to join us now to help us solve all the struggles that a fast-growing company has.    About The Role     What will be your mission?    Become a member of our Business Apps squad and build software solutions to support the company rapid growth. Work under the supervision of a Technical Lead to develop the front-end of a business critical platform responsible for invoicing and multi-country payroll calculation. Develop fast and pleasant front-end applications that increase efficiency of users. Write unit tests for front-end components and screens. Coach, mentor, and spread the word about our best practices inside and outside of Horizons.    What will your day-to-day look like?    Work in a team of talented individuals and under a Technical Lead with a proven track record. Daily standup practice to keep everyone aligned and supported in their role. Decide your priorities. Participate in the entire development lifecycle of our applications. Help the team make architecture design decisions. Allocate time to learning and growing your skills.    About You    The role will be a great fit if...    You Know a Thing Or Two About Front-End Development    3 years of software development experience Have worked in a team with other Front-End and Back-End engineers Have React and Typescript working experience Enjoy working with CSS Write unit tests to test your code    Bonus points if you    Have experience in the Financial or HR industry Have worked on publicly available web applications Are familiar with TDD Have used Storybook and Figma    And when it comes to your culture and personality    You want to be part of making a difference in the remote employment space and maybe have remote work experience yourself. You’re highly creative and demonstrate attention to details. You’re a strong team player but can also work independently. You take ownership in what you do and always look for improvements. You write and speak fluent English. Additional languages are a bonus. Hyper-growth start-up culture is a plus.    Benefits And Perks    Opportunity to join an early-stage start-up, on an incredible trajectory. Work amongst a diverse team of passionate individuals located across the world, and all ready to make a change to the future of work. Work from where you want: from one of our offices, from home, or remotely, and within the time frames that suits you best according to your role expectations and location. Choose your hardware and your tools, we'll buy them. Join our team events to bring our people across multiple locations together. Enjoy career development opportunities: we strive in finding our people the best company fit. Upward and sideways mobility are some of our favorite terms. Use our allocated L&amp;D budget. Support a cause if you want to, for instance: support our Carbon Footprint initiative. Our tech team is currently working on running our servers specifically to make sure we use as little electricity as possible.    About Horizons     Our vision    Working at Horizons means you're working on something very exciting: Allowing every person on the planet to have access to equal opportunities in living a fulfilled work and personal life. We believe in hiring from within and going the extra mile to retain top talent. As the company continues to grow extremely fast, you will be given the opportunity to develop and grow alongside.    Our service &amp; product    We’re building a workforce management platform that allows our customers to hire people in minutes, without worrying about compliance, payroll, or HR admin.   Currently, to hire an employee in another country, the primary option companies have is to set up a legal entity in each country they wish to hire, which is expensive, time-consuming, and unscalable.   Horizons already operates a full-stack global infrastructure in 99% of the countries we serve. This allows us to offer our customers a seamless, flexible, and robust platform at costs that are significantly lower than traditional solutions.    Our team &amp; environment    Today we are a 100+ team, from over 25 nations, sitting in our Berlin, Madrid, Toronto, Austin, Shanghai, Singapore, or New Delhi offices – and quite a few full-time remotes in 14 other countries. We want to be a truly global company!    Now is the best time to join us!    Global tailwinds as Covid-19 accelerated the physical dispersion of workforces while the push to remote work and distributed teams was well underway before the pandemic. We truly believe that remote work is here to stay… Do you? We are helping over 500 companies to employ and manage global talents and are on a mission to bring our solutions to many more! We are expanding fast and need talents to continue accelerating. Our customers love Horizons!  "
6,front-end engineer,"
                  Michael Page
                ","
                Beijing, Beijing, China
              ",On-site,  外资金融科技集团，客户资源丰富，金融产品类型多样|技术氛围浓厚，崇尚技术，work life balance     About Our Client  外资金融科技集团，客户资源丰富，金融产品类型多样; 技术氛围浓厚，崇尚技术，work life balance   Job Description  根据业务需求文档完成前端研发工作；与后端研发人员配合，讨论交互方式，页面集成工作；完成现有系统的维护工作，完成相关的迭代优化工作   The Successful Applicant  3年以上Web前端工作经验、对企业级前端开发有经验; 熟练使用JavaScript、CSS/CSS3.HTML4/HTML5编程开发，熟悉其标准规范及各浏览器差异性   What's On Offer  3年以上Web前端工作经验、对企业级前端开发有经验; 熟练使用JavaScript、CSS/CSS3.HTML4/HTML5编程开发，熟悉其标准规范及各浏览器差异性   Contact: Stella Wei  Quote job ref: JN-042022-5433487  
7,Data Scientist,"
                  Michael Page
                ","
                Guangzhou, Guangdong, China
              ",On-site,  良好的雇主品牌|生活与工作平衡     About Our Client  我们的客户是一家国际保险集团，业务覆盖亚太地区内接近20个市场，包括中国、东南亚、日韩、澳洲等地。每年都会入选全球品牌价值前500强，年营业额超380亿美元。世界经济形势的变更，业务本土化的需求不断增加，广州公司正需求数据开发专家加入团队支持业务的发展。   Job Description  你将作为专家或者顾问加入广州团队支援亚太地区的项目，会因为渠道或市场的不同从而划分工作范围，将服务器等做本土化的迁移，以及上云等工作。   The Successful Applicant  3年以上数据开发相关的工作经验，具有相关的学士学位，流利的中文表达能力，英语做为工作语言，金融或者银行背景将被优先考虑。   What's On Offer   良好的雇主品牌 国际化的项目经验   Contact: Rhea Liu  Quote job ref: JN-122021-4559461  
8,"Software Engr II,Shanghai,BSEC,HBT","
                  Honeywell
                ","
                Shanghai, Shanghai, China
              ",On-site," Be part of a team that designs, develops and integrates highly complex software functions within Honeywell [SBG]. You will be an active and integral member of a team to achieve the completion of goals. You will also generate innovative solutions in work situations; trying different and novel ways to deal with problems and opportunities.   Key Responsibilities   Requirements and design Software architecture and coding Integration Certification Test Feature Definition Customer Support Verification and Validation Ability to code in multiple languages Analytical skills &amp; software development skills   YOU MUST HAVE   Bachelors degree in Engineering or Computer Science   WE VALUE   Understanding various software development lifecycle Demonstrate the ability to develop efficient and high quality software Knowledge of software configuration management and change management practices Diverse and global teaming and collaboration Effective communicator Can quickly analyze, incorporate and apply new information and concepts Ability to consistently make timely decisions even in the face of complexity, balancing systematic analysis with decisiveness Ability to convey subtle or complex messages clearly, as appropriate for the topic and audience Some relevant experience   Additional Information   JOB ID: HRD166335 Category: Engineering Location: 430 Li Bing Rd,Zhangjiang Hi-Tech Park,Pudong,SH,Shanghai,SHANGHAI,201203,China Exempt  "
9,Prototype Engineer,"
                  Bayer
                ","
                Shanghai, Shanghai, China
              ",On-site," At Bayer we’re visionaries, driven to solve the world’s toughest challenges and striving for a world where ,Health for all, Hunger for none’ is no longer a dream, but a real possibility. We’re doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining ‘impossible’. There are so many reasons to join us. If you’re hungry to build a varied and meaningful career in a community of brilliant and diverse minds to make a real difference, there’s only one choice.  Prototype Engineer   Your Tasks And Responsibilities    Responsible to work with sensor, smart wearable, and data science team to build MVP (minimal viable product) to support product manager on agile user needs validation and feasibility assessment Through user/design centric approach, explore new use cases and opportunities, develop user journey map, and drive prototyping Take responsibility of functional design and iteration of the products, participate in the whole process of product planning, demand definition, development, testing and launch, and be responsible for the final product effect Work with product team and growers/value chain partners to identify use case and product specifications, and to build working prototypes and demos Be an internal coach to the entire product and engineering team on scrum, agile development, and DevOps    Who You Are    Bachelor degree or above in software engineering, computer science, or related fields Be able to independently manage thewhole loop of the project, with experience in the whole process product project management of demand research-design-review-technical scheduling-development-testing-acceptance-data 5+ years working experience in software development or similar capacity, with deep understanding in data structure and algorithm foundation Programing proficiency in modern front-end development (e.g.,HTML, CSS, JavaScript, Node.js, React/Vue) Hands-on experience in relational database design and access (e.q. MySQL, Amazon Aurora, Oracle, etc.) Strong analytical and communication skills, self-driven, highly motivated and fast learner Be able to have high-frequency business trips   YOUR APPLICATION  If your background and personal experience fit this profile, please send us your complete application at www.career.bayer.cn If you have any recommendations, please kindly send mail to cnreferral@bayer.com   L ocation:  China : ShangHai : ShangHai   Division:  Crop Science   Reference Code:  571041 "
