,Title,Company Name,Location,Work Type,Description
0,Java Backend Developer - Applied Machine Learning (f/m/d),Holidu,"
                Munich, Bavaria, Germany
              ",Hybrid," Holidu is one of the fastest-growing travel tech companies worldwide. With more than $100M in funding to date and an international team of travel and technology enthusiasts, our mission is to finally make the search and booking of vacation rentals easy. With our search engine for vacation rentals Holidu we help travelers book the ideal accommodation for the lowest price, and through our software-and-service solution Bookiply we also support vacation rental owners in multiplying their bookings with less work. Do you want to have an impact on millions of travelers worldwide? Then pack your bag, hop on board and get ready for takeoff!       Your future team  You will be part of the backend development team in the search department, which is fully responsible for building a scalable search engine that can serve 100 Million users each month, by applying a microservice approach using Java 11, K8S, Elasticsearch 7, Redis and AWS with response time &lt; 300ms.  You will have the opportunity to bring your unique backend perspective to a team of data scientists in order to find, test and bring live the best suited and most reliable ML models for Holidu.  In addition you will own the feature development and architecture of our search engine and the related microservices with your fellow backend developers in the search department.       Our Tech Stack   We are writing the Search Engine and other applications with a microservice approach, using Java 11, with Spring Boot, running on Kubernetes Data storage with Elasticsearch 7, PostgreSQL, Kafka, MongoDB, Redis Heavy usage of AWS, Kubernetes, Docker, Jenkins, Git Web-Application and internal applications written with ReactJS Native iOS and Android Apps written with Swift and Kotlin Monitoring with ELK, Grafana and internally developed technologies Unit tests written in Kotlin Most of the Machine Learning pipelines involve Python, TensorFlow and VowpalWabbit       Your role in this journey   You will be part of the team which is fully responsible for our search engine and all related technologies as well as for the ranking of properties on our website and the deployment of ML models into production. You will develop new features that will be used by millions of users. You will have a lot of freedom to implement your own ideas on how to improve and develop our products further. You will build, with your team, highly scalable applications with state of the art technologies. You will work in a squad based organization alongside other Backend Developers, Frontend Developers, Designers and Product Managers. Together you are responsible for delivering the greatest possible product that offers the best possible experience to our customers.       Your backpack is filled with   A degree in Computer Science, or a related field You have professional development experience in Java, after or during your studies Ideally you have worked or you have the strong motivation to work with AWS, Elasticsearch, microservices, Kubernetes and the rest of our tech stack. Ideally you have experience with deploying custom ML models. You should love coding and building world class products! We do and we hope you share our ambition!       Our adventure includes   Have an impact on the millions of people using our product every month. Grow with responsibility from day 1 and develop yourself through regular feedback. Connect and have fun with diverse yet like-minded people at work, regular events and weekly office days with your team. Get to know the world with our flexible home office policy and the opportunity to work from other local offices. Learn languages with meetings in English and subsidised German classes. Get in shape with a premium gym membership for a discounted rate. Go travelling for 28 vacation days + 13 public holidays in Bavaria. Get a sneak peek at the adventure that awaits you on Instagram @lifeatholidu.       Want to travel with us?  Your first travel contact will be Sarah from HR.       We champion diversity in every aspect of life. We encourage applications from all genders, corners of the world and individual backgrounds. Please feel welcome to submit your application without a photo and details on your gender, date of birth, marital status and nationality. If you have a disability or special need that requires accommodation, please let us know.       Location  Munich, Germany  "
1,GEN-C Graduate Program - AI / Analytics / Data Science / BI / Big Data Junior Analyst / Analyste (m/w/d) MIT COGNIZANT VOM JUNIOR ZUM PROFESSIONAL (H/F),Jobs via eFinancialCareers,"
                Hamburg, Hamburg, Germany
              ",On-site," GEN-C Graduate Program - AI / Analytics / Data Science / BI / Big Data Junior Analyst (m/w/d)MIT COGNIZANT VOM JUNIOR ZUM PROFESSIONAL  Cognizant (NASDAQ: CTSH) ist ein führendes Dienstleistungs- und Beratungsunternehmen, welches seine Kunden bei der Optimierung ihrer Geschäfts-, Betriebs- und Technologiemodelle im Rahmen ihrer digitalen Transformation unterstützt. Unser branchenorientierter Beratungsansatz hilft Kunden dabei, ihr Unternehmen innovativer und effizienter zu entwickeln und zu steuern. Das Unternehmen mit Hauptsitz in den USA liegt auf Platz 195 der Fortune 500 und wird regelmäßig in der Liste der ""Most Admired Companies"" aufgeführt.   Unser Graduate Program richtet sich an Absolventinnen und Absolventen mit einem Hochschulabschluss (Bachelor oder Master), die Interesse daran haben, in unserem Unternehmen erste Praxiserfahrung zu sammeln und sich zu einem Professional zu entwickeln. Werde Teil des Teams ""Artifical Intelligence &amp; Analytics"" (AI&amp;A), das sich auf die Umsetzung anspruchsvoller Projekte im Umfeld Datenaufarbeitung, -analyse und -visualisierung in den unterschiedlichsten Branchen fokussiert hat.    Als Junior Analyst (m/w/d) Kannst Du Dich In Verschiedene Richtungen Entwickeln, Da Die Abteilung In Dedizierten Service-Lines Organisiert Ist, Um Wachstum In Folgenden Segmenten Voranzutreiben    Cognizants Artifical Intelligence and Analytics (AIA)  Abteilung besteht aus über 30.000 Beratern und ist einer der größten Analytik-Abteilungen in der Branche. AIA hat derzeit mehr als 650 aktive Kunden, darunter mehrere Fortune-500-Unternehmen und über 150 IP-basierte Assets (Plattformen, Lösungen, Tools und Frameworks).   Reporting: Datenvisualisierung, Erstellung von BI-Reports, Arbeiten mit Tools wie: Power BI, Tableau, QlikSense und Talend Machine Learning und Deep Learning: Machine Learning-Modelle mit Python und R Artificial Intelligence: Evolutionäre/ genetische Algorithmen, Schwarmintelligenz, Optimierung Cognitive Systems: Empfindungsanalysen (NLP) und automatische Bilderkennung Big Data: Echtzeit-Analytics, Datawarehouse-Optimierung Data Science: Statistische/ mathematische Algorithmen und Datenmanagement zur Lösung von Business-Problemen AIA Business Development: Ausbau unserer Service-Line Aktivitäten bei Bestands- und Neukunden ETL/ Data Engineering: Realisierung von ETL- Strecken zur Vor- bzw. Aufbereitung von Daten mithilfe von Informatica Data Modeling: Erstellung von konzeptuellen, logischen und physischen Datenmodellen   Das erwartet Dich   Kontinuierlicher Aufbau eigener Kompetenzen in für uns relevanten, aber mit Dir abzustimmenden Technologien Entwicklung weiterer persönlicher Kompetenzen im Kontext von Projektarbeit wie Kommunikation und Präsentation, aber beispielsweise auch zu Testverfahren und Testtools Mitarbeit in einem Projektteam aus Cognizant-Kollegen und Kundenvertretern und Mitwirkung in unterschiedlichen Phasen eines Projektes (z.B.: Projektplanung, Anforderungsanalyse, Design und Konzeption, Realisierung / Implementierung, Testphase, Rollout)   Das bringst Du mit   Du hast einen Bachelor- oder Master in (Wirtschafts-) Informatik, Mathematik, Statistik, Management Information Systems, o.Ä. - (wichtiger als dein fachlicher Hintergrund ist eine technische Affinität und Offenheit gegenüber neuen Themenfeldern!) Du hast eine schnelle Auffassungsgabe sowie eine hohe Lernbereitschaft Du arbeitest strukturiert, aufgabenorientiert und qualitätsbewusst Du arbeitest gerne im Team innerhalb eines internationalen Umfelds Du sprichst fließend Deutsch (C1) und Englisch Du bist örtlich flexibel und reisebereit   Das bieten wir Dir   Damit Ist Das Gen-C Graduate Program Germany Wie Folgt Aufgebaut    Bei Cognizant wirst Du Teil der Erfolgsgeschichte eines hidden Champions der IT Branche. Hier definierst Du die digitale Zukunft. Um Deine Entwicklung und Karrieremöglichkeiten stets zu fördern, werden Dir sowohl ein Buddy als auch ein Mentor während des 18-monatigen Programms zur Seite gestellt. Ständige Trainings entwickeln Deine Skills und ermöglichen Dir zügigen Kundenkontakt.   Onboarding  Gemeinsam mit allen Europäischen Graduates beginnst Du Deine Karriere bei Cognizant mit einem mehrwöchigen Intensivtraining in Spanien oder virtuell. Dort lernst Du unsere Geschichte, Unternehmenskultur, Produkte und Prozesse kennen und nimmst an zahlreichen Agile- und Soft Skill Trainings teil. Zum Start vor Ort lernst Du in den ersten Tagen Cognizant Deutschland und Dein Team näher kennen.   Meet the Business  Nun startest Du als Teil Deines Projektteams im Projektgeschäft von Cognizant durch und wirkst bei der Implementierung von innovativen State Of The Art Lösungen aktiv mit. Selbstverständlich wirst Du hierbei innerhalb Deiner Abteilung unterstützt und gefördert.   Cognizant Academy  Während der 18 Monate stehen Dir vielfältige Trainings und Kurse unserer eigenen Academy zur Verfügung, um Deine Entwicklung und Karriereziele im Unternehmen zu unterstützen .   Social Networking  Während regelmäßiger Connect Days und Social Get Together Events tauscht Du dich mit anderen deutschen Grads, Managern und Führungskräften zu Deinen Erfahrungen, Interessen und Herausforderungen aus.   Klingt gut?  Dann reiche Deine deutschsprachige Bewerbung jetzt online ein!   Wir benötigen eine komprimierte Datei mit Lebenslauf und den letzten Zeugnissen als eine PDF.   Für Rückfragen steht Dir unsere Graduate Recruiter Nathalie Plomer ( Nathalie.plomer@cognizant.com ) zur Verfügung.   Wann gehts los?  Die offiziellen Einstiegstermine sind: Januar, Mai und September. Ein flexibler Einstieg ist jederzeit nach Absprache möglich. "
2,Machine Learning Engineer,Alldus,"
                Munich, Bavaria, Germany
              ",Hybrid,"  Machine Learning Engineer    My client is a large Pharmaceutical Manufacturing company with a digital team using innovation to understand their patients and their needs. You will be working cross functionally inventing new ways of communicating, measuring, and interacting with our customers and patients through digital channels and technologies. The healthcare sector is undergoing a digital shift challenging the status quo. Data &amp; analytics are becoming a key enabler of business decisions. The company is expanding its analytics capabilities to address this transformation. For our team in Munich, we are looking for you to join us as a Machine Learning Engineer bringing in your mindset, skillset, and love for data in helping the business to better understand our customers and their needs. This is a permanent, full-time role based in our new Munich office with the possibility to partially work from home.     Responsibilities:    • Optimize production-level machine learning models for performance and scalability  • Automate software deployment pipelines &amp; process flows  • Troubleshoot, debug and upgrade existing features and functionalities  • Document and maintain code functionality  • Pro-actively mine data to identify business questions that haven’t been asked yet  • Convey complex analytics concepts in non-technical language to stakeholders  • Stay up-to-date on data science &amp; data engineering thought leadership and think outside the box on this constantly evolving field  Required Qualifications:  • Master’s degree in a quantitative science field (Computer Science, Software Engineering, Mathematics, or another related field)  • Proven work experience with Python and the corresponding advanced analytics &amp; plot libraries  • Knowledge of statistics and machine learning techniques and algorithms  • Familiarity with AWS cloud services  • Good written and oral business German and English skills required  • Effective listening skills to translate an analytics problem into a technical solution  • Complete Covid-19 vaccination is required (§ 20a IfSG)     Desired Qualifications:  • Hands-on SQL know-how    Salary range 75K-85K depending on experience  "
3,Machine Learning Engineer (f/m/d),InVision Group,"
                Leipzig, Saxony, Germany
              ",Hybrid," We develop SaaS products with particular focus on Predictive Analytics and Scheduling and work in interdisciplinary teams consisting of Software Engineers, Mathematicians, Designers, Product and Customer Success Managers. We analyze data from our customers and determine patterns and trends, such as seasonalities. From this, we derive models that enable our customers to determine their staffing requirements as precisely as possible.     What you’ll do:   Identify customer challenges that can be solved promisingly with machine learning algorithms (e.g., classifications, time series analysis, recommendation systems) Evaluate different solutions and develop new innovative approaches together with your team Integrate the developed models in collaboration with our software developers in our product (pair programming) Continuously improve and monitor the performance of your models (monitoring and logging) Extend the solution space of your team with your expert knowledge from the field of Machine Learning Promote the exchange of knowledge with your colleagues and further expand your own expert knowledge     What you bring to the role:   At least 2 years of work experience with various machine learning algorithms (e.g. deep neural networks, clustering algorithms, Bayesian network, Markov models, statistical modeling) Python, scikit-learn, tensorflow, statsmodels, keras, pandas, and numpy     What we offer:   Free breakfast, lunch and snacks A free ticket for public transportation Flexible working hours Adjustable working time model (full-/part-time) and sabbaticals Dedicated time for hacks to explore new methods, technologies and tools Stock options A company pension plan A job bike Free parking Relocation support …and lots more     About InVision, in a few words:  Established in 1995, we are developing Software as a Service (SaaS) products for Workforce Management and Digital Education. Thousands of business customers around the globe use our solutions. We value simplicity, trust, and teamwork. You won’t find the usual hierarchical structures here but truly empowered product and customer teams. We are a diverse group of international professionals. On top of that, we are a certified Great Place to Work.     About InVision, in a few words:  Established in 1995, we are developing Software as a Service (SaaS) products for Workforce Management and Digital Education. Thousands of business customers around the globe use our solutions. We value simplicity, trust, and teamwork. You won’t find the usual hierarchical structures here but truly empowered product and customer teams. We are a diverse group of international professionals. On top of that, we are a certified Great Place to Work.     Sounds good? Let's talk next steps:  If this job offer makes your heart skip a beat, don’t wait any longer: Send us your application.  Even if you’re not sure whether you can fulfill all the tasks, or if you’re not always one hundred percent convinced of your abilities yourself, or you think you don't have enough self-confidence, please don't hesitate to apply with us.  We are an equal opportunity employer and value diversity and inclusion. All qualified applicants will be considered without regard to ethnicity, color, national origin, religion, sex, gender identity, sexual orientation, pregnancy, age, protected veteran status, or disability status.    Any questions? Have a look at our website: www.ivx.com/en/jobs.     Interested?   Click on ""Apply"" on the top of this page and send us your application.  "
4,Machine Learning Engineer (m/f/d),Machine Learning Reply GmbH,"
                Munich, Bavaria, Germany
              ",On-site,"  Job Description    Machine Learning Reply, with its sister company in Italy and over 10.000 employees at Reply globally offers consulting and software implementation services with focus on innovative AI and ML topics like Natural Language Processing, Computer Vision, Time Series Analysis, Machine Learning Platforms and more.   In our Unit Machine Learning Engineering we currently hire talents with Data Engineering and Cloud know-how who would like to develop not only PoCs but productive machine learning applications or platforms including automatic unit tests and end-to-end tests, automatic deployment pipelines, mechanisms for scaling in the cloud, monitoring solutions and operations support. We call this profile “Machine Learning Engineer”. You should love to see the ML algorithms working for millions of users, devices, sensors, etc., making the world a smarter, safer, more interesting, and/or more efficient place to live.   Tasks:   Developing and driving exciting solutions in the areas of data engineering, analytics and machine learning. Combine expertise in data pipelines and machine learning with innovative thinking to deliver excellent client work. Work together with Data Scientists to develop models for classification, prediction, natural language processing, recommendation, reinforcement learning, deep learning, computer vision and other Data Science-related tasks, including a good data preparation for best model performance. Design ML solution architectures using current technologies (often in the cloud) and discuss them with the client, while being up-to-date with the latest MLOps technologies, processes, and industry standards. Develop innovative use cases in cooperation with our customers and then implement them with the help of our experienced experts. Present your results with communication skills and verve. In an international team, you will work closely with executives from digital business and IT areas, making new contacts as you go along. You always keep an eye on optimisation and help our clients to utilise and profit from their inactive data resources. Be part of the Reply community, join communities of practice, participate in hackathons and use all the learning resources available.   What we offer you:   Access to work on projects across industries (large and mid-market companies in Banking, Insurance, Automotive, Retail, etc.)   Very active group social program - including conference funding, team building, group events, Reply Exchange Recognition for Innovation to foster your personal development   Work in an open, flat environment, within a broad Reply knowledge sharing network (more than 90 autonomous Reply groups across 8 countries)   Office space in downtown Munich with access to Stammstrecke Training and certification encouraged Home-office contracts State of the art work equipment   Award winning office spaces for an excellent work experience   Public transport ticket within Munich Gym-membership subsidy for a gym of your choice   (r)    Requirements    Technical Qualification   You want to take off after successfully completing your Bachelor’s and/or Master’s degree in informatics, business informatics, mathematics, statistics or equivalent field of study. Depending on your seniority, you have 1+ years of work experience experience in industry or consulting and developed systems that are in production You have cloud know-how with one or more of the major cloud providers (AWS, Azure, GCP) and big data technologies (Hadoop, Spark, Kafka..) You have experience developing data-intensive applications like Data Warehouses, Data Lakes and/or Data Platforms, using batch or real time data integration. You have experience with Python, SQL, and/or, Java You have a basic understanding of Machine Learning algorithms and/or processes related to the Model Development Lifecycle, and want to learn more. For example in the areas of computer vision, reinforcement learning or natural language processing.   Non-Technical Qualification   You have a high level of customer orientation and excellent communication skills. You are willing to travel. You are fluent in English and have at least intermediate proficiency (B1) in German (willing to improve).   Nice to Have   You have experience in DevOps, especially Continuous Integration and Continuous Deployment (e. g. Gitlab CI, Jenkins). Experience with Front-end Web Development Technologies like HTML, CSS, Django, Vue.js would be a plus. Experience with modern ML and DL frameworks such as TensorFlow, PyTorch and Keras.  "
5,Data Scientist (m/f/d) (Remote),Yelp,"
                Germany
              ",Remote," At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses around the globe, from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners and the general public.   The Data Science &amp; Analytics team performs analyses, builds models, and designs experiments that directly impact Yelp’s products and users. We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local economies. With diverse backgrounds and expertise, we strive for learning and growth in a collaborative environment.   This opportunity has the option to be fully remote throughout Germany.   We’d love to have you apply, even if you don’t feel you meet every single requirement in this posting. At Yelp, we’re looking for great people, not just those who simply check off all the boxes.    Where You Come In    Join a team of Data Scientists and Data Science Analysts that develop analytical frameworks and reliable measurement strategies for Yelp products. Design, execute, and analyze complex business and user experiments. Partner with other Data Scientists and Data Engineers to set the vision for and develop our experimentation platform. Devise and evaluate models for diverse business needs, such as identifying growth opportunities, estimating the impact of new features on our platforms, and personalizing the user experience. Proactively research and build ETL pipelines for product and marketplace metrics Communicate key insights from analyses, experiments and data products to stakeholders.    What It Takes To Succeed    MS/PhD in quantitative field and a few years of industry experience in a senior quantitative role. Ability to apply statistical, analytical and technical expertise to product and business problems. Prior experience structuring and leading impactful data science projects independently. Oral and written communication skills to mentor colleagues, and work effectively with partners on engineering, product and business teams. Expertise in SQL, and R or Python for data analysis and platform development. Enthusiasm for building a culture of learning and development.    What You'll Get    Full responsibility for projects from day one, a collaborative team, and a dynamic work environment. Competitive salary with equity in the company, a pension scheme, and an optional employee stock purchase plan. 30 days paid vacation per year plus one floating holiday. €150 monthly reimbursement to help cover remote working expenses. €89 caregiver reimbursement to support dependent care for families. Flexible working hours and meeting-free Wednesdays. Regular 3-day Hackathons, bi-weekly learning groups, and productivity spending to support and encourage your career growth. Opportunities to participate in digital events and conferences. Complementary elective German lessons for international employees. €67 per month to use toward qualifying wellness expenses. Quarterly team offsites.   Yelp values diversity. We’re proud to be an equal opportunity employer and consider qualified applicants without regard to race, color, religion, sex, national origin, ancestry, age, genetic information, sexual orientation, gender identity, marital or family status, veteran status, medical condition, disability, or any other protected status.  Note: Yelp does not accept agency resumes. Please do not forward resumes to any recruiting alias or employee. Yelp is not responsible for any fees related to unsolicited resumes.  "
6,Data Scientist (m/f/d) (Remote),Yelp,"
                Berlin, Berlin, Germany
              ",Remote," At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses around the globe, from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners and the general public.   The Data Science &amp; Analytics team performs analyses, builds models, and designs experiments that directly impact Yelp’s products and users. We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local economies. With diverse backgrounds and expertise, we strive for learning and growth in a collaborative environment.   This opportunity has the option to be fully remote throughout Germany.   We’d love to have you apply, even if you don’t feel you meet every single requirement in this posting. At Yelp, we’re looking for great people, not just those who simply check off all the boxes.    Where You Come In    Join a team of Data Scientists and Data Science Analysts that develop analytical frameworks and reliable measurement strategies for Yelp products. Design, execute, and analyze complex business and user experiments. Partner with other Data Scientists and Data Engineers to set the vision for and develop our experimentation platform. Devise and evaluate models for diverse business needs, such as identifying growth opportunities, estimating the impact of new features on our platforms, and personalizing the user experience. Proactively research and build ETL pipelines for product and marketplace metrics Communicate key insights from analyses, experiments and data products to stakeholders.    What It Takes To Succeed    MS/PhD in quantitative field and a few years of industry experience in a senior quantitative role. Ability to apply statistical, analytical and technical expertise to product and business problems. Prior experience structuring and leading impactful data science projects independently. Oral and written communication skills to mentor colleagues, and work effectively with partners on engineering, product and business teams. Expertise in SQL, and R or Python for data analysis and platform development. Enthusiasm for building a culture of learning and development.    What You'll Get    Full responsibility for projects from day one, a collaborative team, and a dynamic work environment. Competitive salary with equity in the company, a pension scheme, and an optional employee stock purchase plan. 30 days paid vacation per year plus one floating holiday. €150 monthly reimbursement to help cover remote working expenses. €89 caregiver reimbursement to support dependent care for families. Flexible working hours and meeting-free Wednesdays. Regular 3-day Hackathons, bi-weekly learning groups, and productivity spending to support and encourage your career growth. Opportunities to participate in digital events and conferences. Complementary elective German lessons for international employees. €67 per month to use toward qualifying wellness expenses. Quarterly team offsites.   Yelp values diversity. We’re proud to be an equal opportunity employer and consider qualified applicants without regard to race, color, religion, sex, national origin, ancestry, age, genetic information, sexual orientation, gender identity, marital or family status, veteran status, medical condition, disability, or any other protected status.  Note: Yelp does not accept agency resumes. Please do not forward resumes to any recruiting alias or employee. Yelp is not responsible for any fees related to unsolicited resumes.  "
7,Machine Learning Developer (m/w/d),GULP – experts united,"
                Munich, Bavaria, Germany
              ",On-site," Ihre Aufgaben   Developing solutions together with a multi-disciplinary team of subject domain experts, project managers, engineers, data scientists and service managers. Applying different techniques to data and analytics problems within the insurance industry. Collaborating closely with a team of expert data scientists to bring state-of-the-art machine learning models to production. Supporting the end-to-end management of the model lifecycle including DevOps practices and CI/CD capabilities. Taking responsibility for using cloud technology, machine learning and data to enable the productivity of our clients.    Ihr Profil  Must have   Very good Azure technology skills in multiple Azure services (incl. Azure Machine Learning, API Management, Kubernetes, Container Registry). Strong skills in operationalization technologies (Docker, Kubernetes, CI/CD). Hands-on skills re exposing functionality with modern REST-API techniques (fastapi) Basic experience with implementing machine learning and deep learning applications as well as building production quality and large-scale deployment of applications related to machine learning. Proven capabilities to develop, maintain and serve machine learning models on infrastructure. Experience with algorithms, data structures, and object-oriented programming (e.g. Python, PowerShell). Strong knowledge of Cloud-Native Architectures, preferably in Azure. High level of commitment and flexibility in terms of area of assignment in the section, and a willingness to master a wide range of what are sometimes complex tasks.    Nice to have   Familiar with collaboration tools (e.g. git, Azure DevOps Backlog). Additional information BDAP program is about 30 team members (dev and run) DevOps mode Agile working environment (relay, sprint planning, dailies, scrum master,…) International cross-functional team    Was wir bieten  "
8,Data Scientist (m/f/d) (Remote),Yelp,"
                Frankfurt am Main, Hesse, Germany
              ",Remote," At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses around the globe, from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners and the general public.   The Data Science &amp; Analytics team performs analyses, builds models, and designs experiments that directly impact Yelp’s products and users. We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local economies. With diverse backgrounds and expertise, we strive for learning and growth in a collaborative environment.   This opportunity has the option to be fully remote throughout Germany.   We’d love to have you apply, even if you don’t feel you meet every single requirement in this posting. At Yelp, we’re looking for great people, not just those who simply check off all the boxes.    Where You Come In    Join a team of Data Scientists and Data Science Analysts that develop analytical frameworks and reliable measurement strategies for Yelp products. Design, execute, and analyze complex business and user experiments. Partner with other Data Scientists and Data Engineers to set the vision for and develop our experimentation platform. Devise and evaluate models for diverse business needs, such as identifying growth opportunities, estimating the impact of new features on our platforms, and personalizing the user experience. Proactively research and build ETL pipelines for product and marketplace metrics Communicate key insights from analyses, experiments and data products to stakeholders.    What It Takes To Succeed    MS/PhD in quantitative field and a few years of industry experience in a senior quantitative role. Ability to apply statistical, analytical and technical expertise to product and business problems. Prior experience structuring and leading impactful data science projects independently. Oral and written communication skills to mentor colleagues, and work effectively with partners on engineering, product and business teams. Expertise in SQL, and R or Python for data analysis and platform development. Enthusiasm for building a culture of learning and development.    What You'll Get    Full responsibility for projects from day one, a collaborative team, and a dynamic work environment. Competitive salary with equity in the company, a pension scheme, and an optional employee stock purchase plan. 30 days paid vacation per year plus one floating holiday. €150 monthly reimbursement to help cover remote working expenses. €89 caregiver reimbursement to support dependent care for families. Flexible working hours and meeting-free Wednesdays. Regular 3-day Hackathons, bi-weekly learning groups, and productivity spending to support and encourage your career growth. Opportunities to participate in digital events and conferences. Complementary elective German lessons for international employees. €67 per month to use toward qualifying wellness expenses. Quarterly team offsites.   Yelp values diversity. We’re proud to be an equal opportunity employer and consider qualified applicants without regard to race, color, religion, sex, national origin, ancestry, age, genetic information, sexual orientation, gender identity, marital or family status, veteran status, medical condition, disability, or any other protected status.  Note: Yelp does not accept agency resumes. Please do not forward resumes to any recruiting alias or employee. Yelp is not responsible for any fees related to unsolicited resumes.  "
9,Machine Learning Operation Engineer (m/f/x),ZEISS Group,"
                Munich, Bavaria, Germany
              ",Hybrid," Your role     In this role, you will support us to ensure robust, stable, trustworthy, and reliable Machine Learning (ML) solutions. You will address the challenges of detecting data and concept drifts in our models and mitigate them. You will be responsible for monitoring and maintaining the infrastructure and software to enable ML models. You will work together with our Data Engineering, Data Science, and ML Engineering teams. In your work, you will apply your deep end-to-end understanding of applications including ML. Together with the team, you will implement best practices to improve the existing ML infrastructure focusing on scalability and stability.     Your profile    An excellent university degree (Ph.D. is a plus) in natural science, mathematics, computer science, engineering, or similar  At least 2+ years of professional experience in a DevOps, ML engineering, or Data Science role (MLOps, DevOps)  Experience in building up machine learning monitoring infrastructure including model and infrastructure monitoring  Good understanding of data science algorithms  First experience or strong interest in data drift &amp; concept drift detection and algorithmic stability monitoring  Proven experience with at least one automation solution (e.g. Azure DevOps, Jenkins, Ansible, Terraform)  Knowledge of scripting (e.g. Bash, Powershell, Python)  REST APIs and state-of-the-art cloud technologies  Experience with virtualization technologies, Linux Container and/or K8s, and Open Source are a plus  Strong communication skills  Fluent English and advanced German language skills   "
