,Title,Company Name,Location,Work Type,Description
0,Workingkstudent Full Stack Developer (m/f/d),"
                  Emilia
                ","
                Berlin, Germany
              ",On-site," Hello 👋, I'm Emilia.  As a proactive digital day companion, I enable seniors to have a better quality of life, community, and closeness. My first foundation is in place and I'm already having exciting conversations with my users. But I need backup! I am looking for an Working Student Full Stack Developer (m/f/d) who will solve my technical problems and bust down bugs in my system. Together with you we can change the lives of thousands upon thousands of people for the better. Loneliness is torture, but it doesn't have to be. What is your purpose in life?  Come with me, I'll tell you more:     As a Working Student Full Stack Developer at Emilia you will   Support and collaborate with a tight-knit team of engineers, product managers and designers to build the core of the Emilia platform Code mostly in Python. Sometimes work across multiple layers of our tech stack with TypeScript, Kotlin or PHP. Code without Fear. We believe that having reliable unit/integration tests  not only make programs more stable, but also gives you the confidence to refactor code without the fear of breaking things! You will solve technical problems and bust down those bugs 👻  These responsibilities are just a starting place! We’re a small company, we don’t have rigid roles, and we have a lot to do – we can help you grow wherever your interests take you.     You will thrive in this role if you   Are comfortable working with Python 🐍 . Enjoy working with different languages 🌈. Believe in fully documenting your ideas. Like getting rid of bugs 🐞 and enjoy clean code 🧽.  If you don’t meet 100% of these qualifications you should still seriously consider applying – at least one of us was missing each of these at the outset!     What can you learn at Emilia?   From time to time you will read some backend code (Python🐍 + FastAPI🚀) You might have some exposure to Vue 3 🖖 ecosystem You will have some exposure to Docker🐳 / Kubernetes ☸️ / ArgoCD 🐙 How to unit test your code       Emilia's values  At Emilia, we not only express our values, we also clearly live them every day:   Can-do:  We believe that a positive perspective can move mountains. That is why we face every new challenge with enthusiasm and anticipation. We motivate our team members to rethink things and simply try out crazy ideas. We consciously take risks without fear of failure. This makes our actions fast and learning even faster. We create together:  We are convinced that community makes many things better - our product, the work, the successes and also making mistakes. That's why we attach great importance to a positive team culture and friendly interaction with each other. We take responsibility:  We step in, to help shape the lives of our users, to make them better and happier. This gives us a special responsibility that every single team member shares. Maximum commitment, conscientious handling of the trust placed in us and the protection of data and privacy are our top priority.     Our values are also reflected in our benefits:   Our families and life outside of our jobs are very important to us; to reflect and support this we offer flexible working hours. Open door policy and a modern home office model. The chance to make the lives of our users and thus also the world a bit better through your work - purpose and meaningfulness for real life. Fair remuneration, team lunch &amp; events. Agile cooperation with a technically experienced and motivated team. A dynamic start-up based on more than 10 years of successful management know-how.    I could tell you so much more, but it's best to see it for yourself! Apply directly or call Leonie, our recruiting manager, on +49 1579 2451235.  If you want to get an impression of what I, Emilia, look like, visit https://mit-emilia.de/  "
1,Full Stack Developer (m/f/d),"
                  Travanto Ferienwohnungen GmbH
                ","
                Hamburg, Hamburg, Germany
              ",Remote," Travanto is one of the largest German holiday accommodation rental and listing platforms. Travanto acts as a booking portal and, with our product “Reichweite+”, as a channel manager to third-party portals. On Travanto.de we offer more than 80,000 vacation properties. We also operate other regional tourism portals - including the market leader Sylt-Travel.de, which has been successfully bringing together guests and hosts on the island of Sylt for 20 years. Our other products include a rental portal for goods and services, mietmeile.de.   Our company employs a team of 80 IT, marketing, tourism and communication specialists based in the heart of Hamburg between City Hall and HafenCity.   At Travanto a team of 20 IT enthusiasts awaits you, working closely together while still assuming a great deal of personal responsibility. Depending on your personal interests and areas of expertise, you can flexibly work on different products, keeping your tasks varied and challenging. We are an agile team, our development and production are entirely based on Docker, and we operate our containers on AWS. With us, you can focus on becoming a Full Stack, Backend, API, or DevOps Developer.   We are currently seeking a Full Stack Developer (m/f/d) with PHP 8, JavaScript, and SQL skills.  Your tasks:     You develop and maintain web based applications (PHP, Go or Vue.js) You ensure high levels of performance and security in the code You support troubleshooting and resolving issues     Your profile:     You are an expert developer specialized in PHP or Go or similar You have excellent knowledge of Modern Frontend Frameworks (e.g. Vue.js), HTML, CSS and vanilla Javascript You have experience with git You have solid understanding of database design and best practices (e.g. MySQL, MongoDB) You are eager to learn new technologies     We offer:     Interesting web development projects with plenty of room for your design ideas and creativity Frequent feedback chats to support you with your technical skill development Free choice of operating system and IDE A pleasant informal atmosphere with a dynamic and motivated team A flat hierarchy with quick decision-making processes Flexible working hours at 30-40 hours/week with home office possibilities and a good work-life balance Excellent transportation links (U Rödingsmarkt, S Stadthausbrücke, and various bus lines) Gym membership subsidy Fresh fruit, cereal, and free drinks Regular company events Attractive employee discounts with popular brands and shops through our corporate benefits program    Are you interested? Apply here: http://travanto.travel/v-fdWe look forward to seeing your application!  ]]&gt; "
2,Associate Frontend Developer (w/m/d),"
                  Siemens
                ","
                Mannheim, Baden-Württemberg, Germany
              ",On-site," Auf der Suche nach einer neuen Herausforderung? Wir erfüllen Deinen Wunsch!  Bei Siemens Global Business Services (GBS) gestalten wir die „Shared Services"" – Landschaft der Zukunft. Wir unterstützen Siemens Kunden aus jeder Branche und global. Wir sind der sichere Partner der Wahl, wenn es um maßgeschneiderte und herausragenden Unternehmensdienstleistungen in höchster Qualität geht.   Lass uns gemeinsam die aktuell spannendsten Herausforderungen angehen und neueste technische Lösungen im Cloud Umfeld umsetzen. Nutze diese Chance, Deine Ideen einzubringen und gemeinsam mit uns in einem motivierten internationalen Team die End2End Reporting-, Analytics- und SurveyPlattform Pulse weiterzubringen!   Verändere gemeinsam mit uns die Welt von morgen.   Gemeinsam mit unserem Team berätst Du Kunden in Business Intelligence Projekten auf unserer Plattform www.pulse.cloud Du konzipierst und entwickelst eigenständig neue, innovative UI/UX für unsere globale BI&amp; Survey Cloud-Plattform Dabei begleitest Du den gesamten Lebenszyklus der Entwicklung: von Entwurf und Implementierung über die Integration bis hin zum Produktivbetrieb Du stehst als zuverlässige Kontaktperson in direktem Austausch mit unseren Kunden, mit denen wir gemeinsam kontinuierlich die Weiterentwicklung unseres Portfolios vorantreiben Mit Deiner Erfahrung stellst Du sicher, dass unsere Entwicklung den höchsten Ansprüchen an Benutzungsfreundlichkeit, Performance und Design erfüllt   Dein Qualifikation - fundiert und adäquat.   Grundlage bildet Dein Bachelorstudium im Bereich (Wirtschafts-) Informatik oder einer verwandten Fachrichtung und Du kannst erste Berufserfahrung in der Webentwicklung (Frontend) vorweisen Alternativ verfügst Du über eine dreijährige Berufsausbildung im Bereich Informatik sowie langjährige Berufserfahrung und Spezialkenntnisse im Bereich der Angular Entwicklung und umfangreiche praktische Erfahrungen mit Webtechnologien Du hast ein besonderes Händchen für Design und es fällt Dir leicht, mit Hilfe von gängigen Webtechnologien qualitative UIs zu entwickeln, die auf verschiedenen Endgeräten funktionieren und eine gute Usability aufweisen. In Deiner Arbeit handelst Du eigenverantwortlich und selbständig Du überzeugst durch Motivation, Leidenschaft und ein starkes Interesse neue Dinge zu lernen und Dich ständig weiterzuentwickeln Verhandlungssichere Deutsch- und Englischkenntnisse runden Dein Profil ab   Was wir Dir bieten.   2 bis 3 Tage pro Woche mobiles Arbeiten als zukünftiger, globaler Standard Freie Arbeitsmittelwahl (Mac oder Windows) Verwendung von aktuellen Spitzentechnologien Ansprechendes Vergütungspaket Weiterbildungsmöglichkeiten sowohl für berufliche als auch persönliche Entwicklung 30 Tage Urlaub sowie vielfältige, flexible Arbeitszeitmodelle, die eine Auszeit für Dich und Deine Familie ermöglichen Zugang zu Aktienplänen für Mitarbeitende Und viele weitere Benefits hier   Die einzelnen Benefits sind jeweils zugeschnitten auf lokale gesetzliche Anforderungen, Vorgaben verschiedener Job-Profile und Standorte sowie individuelle Präferenzen.  Wir wollen, dass Du willst: Bewerbe Dich jetzt!  Wir legen Wert auf Chancengleichheit und freuen uns über Bewerbungen von Menschen mit Behinderung.   https://new.siemens.com/  - wenn Du mehr Informationen zu Jobs &amp; Karriere bei Siemens erhalten möchtest.   FAQ  - wenn Sie eine Frage zum Thema Bewerbung bei Siemens haben.   Organization:  Global Business Services   Company:  Siemens AG   Experience Level:  Recent College Graduate   Job Type:  Full-time "
3,Full Stack // Web Developer (m/f/x),"
                  JAAI | JUST ADD AI GmbH
                ","
                Bremen, Germany
              ",On-site," Wir schauen nicht nur auf die blanken Zahlen, denn wir suchen insbesondere nach Menschen, die sich durch Talent und Motivation auszeichnen. Wenn du also glaubst, dass diese Stelle genau zu dir passt und wir voneinander profitieren können, du aber (noch) nicht alle Kriterien erfüllst, freuen wir uns trotzdem über deine Bewerbung.   ------------------------------   JUST ADD AI (JAAI) hilft Unternehmen dabei, den aktuellsten Stand der KI Technologie zu verstehen und auf ihr Geschäft anzuwenden. Der Fokus von JAAI liegt dabei auf der Programmierung von skalierbaren KI-Lösungen, die bei unseren Kunden sofort Mehrwerte schaffen. Sobald eine KI-Lösung marktfähig ist und erste Kunden und Umsätze verzeichnet, wird sie in eine Tochtergesellschaft ausgegründet und dort skaliert. Um das Wachstum der Ausgründungen zu sichern, werden in den Tochtergesellschaften Beteiligungen vergeben und strategische Partner an Bord geholt.   Das Arbeiten in der JAAI Group zeichnet sich durch eine offene Kommunikation aus. Probleme werden in Teams aus Top-Spezialisten der Bereiche Sprachverarbeitung (NLP), Computervision, Big Data und Robotik, sowie aus erfahrenen IT-Managern und -Architekten, gemeinsam gelöst. Unsere Mission: „Unlock Human Talent“. KI öffnet durch die Automatisierung repetitiver und zeitraubender Tätigkeiten neue Freiräume für die Entfaltung des vollen Potentials menschlicher Talente.   Unser Team besteht aus Top-Spezialisten der Bereiche Sprachverarbeitung, Computervision, Big Data und Robotik, sowie aus erfahrenen IT-Managern und -Architekten. Unsere Mission: „Unlock Human Talent“. KI öffnet durch die Automatisierung repetitiver und zeitraubender Tätigkeiten neue Freiräume für die Entfaltung des vollen Potentials menschlicher Talente.   Deine Aufgaben  Als Full Stack // Web Developer konzeptionierst und entwickelst du die Oberflächen für unsere KI-Lösungen. Du begleitest den Entwicklungsprozess von der Anforderungsanalyse bis zum Betrieb. In enger Zusammenarbeit mit unserem AI-Team planst, programmierst, testest und betreibst du Software eigenverantwortlich. Du stehst in Kontakt mit unseren Kunden, um ihre Bedürfnisse zu verstehen und außergewöhnliche Lösungen zu schaffen.   Du konzeptionierst und entwickelst mit unserem KI-Team maßgeschneiderte Softwarelösungen von der Anforderungsanalyse bis zur Inbetriebnahme Du integrierst unsere KI-Lösungen in bestehende Systeme Du nutzt moderne und zukunftsorientierte Technologien Du betreust den laufenden Betrieb im Third Level Support   Dein Profil   Du hast einen Masterabschluss in Informatik oder eine vergleichbare Ausbildung im IT-Umfeld Du hast fundierte Kenntnisse und Erfahrung in Angular, Node.js, Docker und Datenbanken Du denkst lösungs- und kundenorientiert und gehst dabei Probleme analytisch und strukturiert an Du arbeitest gerne im Team und kannst effektiv mit Personen unterschiedlicher Profession (technisch und nicht-technisch) kommunizieren Durch deine Motivation und Selbstdisziplin erreichst du eine hohe Produktivität, lieferst Ergebnisse guter Qualität termingerecht ab und motivierst andere Team-Mitglieder Durch kontinuierliche Selbstkritik verbesserst du iterativ deine eigenen Qualitätsstandards, was sich auch an deinen Noten ablesen lässt   Warum wir?   Ein junges Unternehmen mit flachen Hierarchien und kurzen, direkten Entscheidungswegen Ein Team mit talentierten Spezialisten aus den verschiedensten Bereichen der KI- und Software-Entwicklung Die Möglichkeit, die Entwicklung aktueller Technologien voranzutreiben und jeden Tag Neues zu lernen. Flexible Arbeitszeiten, eine lockere Atmosphäre und Spaß am Arbeiten   "
4,Software Engineer Full-stack Developer (f/m/d),"
                  Viaboxx GmbH
                ","
                Königswinter, North Rhine-Westphalia, Germany
              ",Hybrid," To support our development team, we are looking for a Software Engineer or Full-stack Developer(f/m/d) with a focus on Java.     What you will do with us   You work as a valuable part of our agile international team on exciting software projects. You keep your skills, abilities, and knowledge up to date – with regular innovation time and training or conference attendance. You can actively contribute your ideas to our own products. You will develop in full-stack, though you will be able to set your own focus, plus you will have colleagues who will gladly support you in case you are stuck.     What we use  Viaboxx Technology Stack: https://stackshare.io/companies/viaboxx-gmbh     What you can show us   You have a degree in Computer Science or a comparable field of study. You have good English skills – speaking and writing. German is a plus. Along with your specialist expertise as a developer, you bring along a healthy portion of innovative spirit and drive to realize solutions. You are interested in project and product development and you do not shy away from assuming responsibility. You wish to improve your knowledge and you love to be part of a team – after all, only together we will reach our goals.     What you can expect from us   The drive of innovation is our top priority: We always strive to extend our knowledge and deliver success for our team and our customers. Our ideas are implemented by the whole team: We work with cutting-edge technologies, flat hierarchies, and agile methods including company-wide retrospectives. We trust each other: Instead of a time clock, we have flexible, trust-based working hours, and possibilities for home office. Develop and evolve: In our international team, you can learn from your colleagues, actively help to shape our work environment, and pick up responsibilities quickly. Dev, Ops and beyond: We love thinking outside the box, in new ways to broaden our possibilities. Team spirit is important to us: We value open and effective communication between all team members and get together whenever possible for various group activities and events.    All this in a stylish, classical villa, where our working climate feels like home.    Does this sound like your kind of thing? Then apply now!  Applications in German are also welcome.  "
5,Associate Frontend Developer (w/m/d),"
                  Siemens
                ","
                Berlin, Berlin, Germany
              ",On-site," Auf der Suche nach einer neuen Herausforderung? Wir erfüllen Deinen Wunsch!  Bei Siemens Global Business Services (GBS) gestalten wir die „Shared Services"" – Landschaft der Zukunft. Wir unterstützen Siemens Kunden aus jeder Branche und global. Wir sind der sichere Partner der Wahl, wenn es um maßgeschneiderte und herausragenden Unternehmensdienstleistungen in höchster Qualität geht.   Lass uns gemeinsam die aktuell spannendsten Herausforderungen angehen und neueste technische Lösungen im Cloud Umfeld umsetzen. Nutze diese Chance, Deine Ideen einzubringen und gemeinsam mit uns in einem motivierten internationalen Team die End2End Reporting-, Analytics- und SurveyPlattform Pulse weiterzubringen!   Verändere gemeinsam mit uns die Welt von morgen.   Gemeinsam mit unserem Team berätst Du Kunden in Business Intelligence Projekten auf unserer Plattform www.pulse.cloud Du konzipierst und entwickelst eigenständig neue, innovative UI/UX für unsere globale BI&amp; Survey Cloud-Plattform Dabei begleitest Du den gesamten Lebenszyklus der Entwicklung: von Entwurf und Implementierung über die Integration bis hin zum Produktivbetrieb Du stehst als zuverlässige Kontaktperson in direktem Austausch mit unseren Kunden, mit denen wir gemeinsam kontinuierlich die Weiterentwicklung unseres Portfolios vorantreiben Mit Deiner Erfahrung stellst Du sicher, dass unsere Entwicklung den höchsten Ansprüchen an Benutzungsfreundlichkeit, Performance und Design erfüllt   Dein Qualifikation - fundiert und adäquat.   Grundlage bildet Dein Bachelorstudium im Bereich (Wirtschafts-) Informatik oder einer verwandten Fachrichtung und Du kannst erste Berufserfahrung in der Webentwicklung (Frontend) vorweisen Alternativ verfügst Du über eine dreijährige Berufsausbildung im Bereich Informatik sowie langjährige Berufserfahrung und Spezialkenntnisse im Bereich der Angular Entwicklung und umfangreiche praktische Erfahrungen mit Webtechnologien Du hast ein besonderes Händchen für Design und es fällt Dir leicht, mit Hilfe von gängigen Webtechnologien qualitative UIs zu entwickeln, die auf verschiedenen Endgeräten funktionieren und eine gute Usability aufweisen. In Deiner Arbeit handelst Du eigenverantwortlich und selbständig Du überzeugst durch Motivation, Leidenschaft und ein starkes Interesse neue Dinge zu lernen und Dich ständig weiterzuentwickeln Verhandlungssichere Deutsch- und Englischkenntnisse runden Dein Profil ab   Was wir Dir bieten.   2 bis 3 Tage pro Woche mobiles Arbeiten als zukünftiger, globaler Standard Freie Arbeitsmittelwahl (Mac oder Windows) Verwendung von aktuellen Spitzentechnologien Ansprechendes Vergütungspaket Weiterbildungsmöglichkeiten sowohl für berufliche als auch persönliche Entwicklung 30 Tage Urlaub sowie vielfältige, flexible Arbeitszeitmodelle, die eine Auszeit für Dich und Deine Familie ermöglichen Zugang zu Aktienplänen für Mitarbeitende Und viele weitere Benefits hier   Die einzelnen Benefits sind jeweils zugeschnitten auf lokale gesetzliche Anforderungen, Vorgaben verschiedener Job-Profile und Standorte sowie individuelle Präferenzen.  Wir wollen, dass Du willst: Bewerbe Dich jetzt!  Wir legen Wert auf Chancengleichheit und freuen uns über Bewerbungen von Menschen mit Behinderung.   https://new.siemens.com/  - wenn Du mehr Informationen zu Jobs &amp; Karriere bei Siemens erhalten möchtest.   FAQ  - wenn Sie eine Frage zum Thema Bewerbung bei Siemens haben.   Organization:  Global Business Services   Company:  Siemens AG   Experience Level:  Recent College Graduate   Job Type:  Full-time "
6,Front-End Developer Energie,"
                  Trust In SODA
                ","
                Munich, Bavaria, Germany
              ",On-site,"  Salary range- €60,000- €70,000   Location- Munich (Hybrid)   Role-Front-end Developer (ReactJS)   Job type-Permanent    Are you a skilled Front-end React Developer who loves working as part of a highly collaborative cross-functional team? Working with Front-end and Back-end Developers together you will develop new features and maintain existing ones for a well-known German comparison platform located in Munich!     What's in it for you?     Annual bonus scheme 28 days holiday Two weeks to work from anywhere in the world Health insurance/ Pension Support with relocation- Moving/ sponsorship Flexible working model Social office culture, organised events and Weekly lunches     Key Skills     ReactJS JavaScript Specialist Front End English speaking    "
7,Software Engineer Frontend Development (m/f/d) Remote Option,"
                  Schaeffler
                ","
                Nuremberg, Bavaria, Germany
              ",Remote," Location: Nürnberg, DE, 90411   Job Requisition ID: 6270   Schaeffler is a dynamic global technology company and its success has been a result of its entrepreneurial spirit and long history of private ownership. Does that sound interesting to you? As a partner to all of the major automobile manufacturers, as well as key players in the aerospace and industrial sectors, we offer you many development opportunities.   Your Key Responsibilities   Specification, implementation and documentation of web-frontends in collaboration with UI/UX experts in an agile environment Integration with backend services in close collaboration with the backend development team as well as execution of codereviews Continuous quality assurance and evolution of software solutions Evaluation and documentation of new technologies and methods Development of Java-based backend services, CI/CD and DevOps if interested and suitable Working with cloud infrastructures und -services (based on Azure)    Your Qualifications   University degree in (Applied) Computer Science/ Informatics, or akin qualification with corresponding experience Deep knowledge and experience with Typescript and expertise with Angular Knowledge in Angular Material, NgRx-Store or Redux Pattern is beneficial Interest in or practical experience with Unit Testing based on Jest or Jasmine is a plus as well as experience in REST-Interfaces Fluent in English spoken and written, German is also beneficial At ease interacting with people within and outside of the organization as well as strong analytical skills and ability to focus Ability to take decisions and to be held accountable for them as well as ability to learn new skills when needed, be it new methodologies or others and to apply them to working methods    Exciting assignments and outstanding development opportunities await you because we impact the future with innovation. We look forward to your online application.   www.schaeffler.com/careers   Your contact  Schaeffler Technologies   Kornelija Jakir   +4915151508865   Keywords: Information Technology &amp; Digitalization;   Job Segment:  Test Engineer, Testing, Developer, Cloud, Aerospace Engineering, Engineering, Technology "
8,Full Stack Developer (f/m/d),"
                  IONOS
                ","
                Karlsruhe, Baden-Württemberg, Germany
              ",On-site," At IONOS, the leading European provider of cloud infrastructure, cloud services and hosting services, you will work together with a wide range of teams. We are characterized by open structures, a friendly working culture and flat hierarchies with a strong team spirit. We firmly believe that work and fun are compatible, and offer you the right environment for this. Our constant growth means that we are always looking for new colleagues. Become part of IONOS and grow with us.   Your Tasks:  Become a part of our agile and technology enthusiastic team and develop individual software solutions for the hardware management and monitoring of our data centers worldwide.   As a full-stack developer, you will improve and optimize the functionality of our software in regular exchange with our users and partners in order to simplify daily work through new automatisms. In our development team you will enjoy the freedom and opportunity to contribute your own ideas, get to know new technologies and actively shape your own development.   To strengthen our Data Center Software Development we are looking for energetic and experienced support as soon as possible:   You are responsible with the team for the further development of our internal web applications in Ruby, Vue.js and others. You will take responsibility for your projects and will also be actively involved in architectural decisions. In the team you are responsible for the extension and optimization of the automatisms of our applications. Feedback from our users spurs you on to continuously develop our services. You contribute to the continuous improvement of the application quality through regular code reviews.   We Appreciate:  You have a successfully completed degree in IT or comparable professional training and ideally have extensive experience in software development. Your further qualities include:   You are familiar with the concepts of object-oriented as well as functional software development and have a solid foundation regarding algorithms and data structures and are proficient in at least one programming language. Automated build and release processes as well as code versioning with Git are a matter of course for you, as is good knowledge of relational database systems such as Postgresql or MySQL. You have good knowledge in web technologies (HTML, CSS and Javascript) and develop software from Unix based operating systems. Experience in building web applications in Ruby on Rails would be an advantage, as well as experience in interface design. You enjoy agile ways of working and have experience in development methods like Scrum and like to take responsibility. Further development is important to you and your English skills are very good.    About IONOS    1&amp;1 IONOS is Europe's leading platform for cloud services and hosting services. We successfully support our customers in their business development.   More than 4000 employees in several countries around the world are working to meet the requirements and wishes of our 8.5 million customers.   We promote the development of our employees and their different talents, interests and languages.   We value diversity and welcome all applications - regardless of, for example, gender, nationality, ethnic or social origin, religion, disability, age as well as sexual orientation and identity, physical characteristics, marital status or any other irrelevant factor subject to applicable law. "
9,"SOFTWARE DEVELOPER (m,f,d)","
                  Remote Sensing Solutions GmbH
                ","
                Greater Munich Metropolitan Area
              ",On-site,"  Frontend and backend development and data visualization    Are you passionate about geodata and programming? Then you've come to the right place: we're looking for a highly motivated software developer who enjoys trying new things. Are you an investigative character who likes geodata and data visualization? If you enjoy working in an inspiring team, then join our mission to map and monitor the planet.    Requirements:  Degree in computer science or geoinformatics  Experience in developing web applications, frontend and backend  Experience with React or other front-end Javascript frameworks, LeafletJS, CesiumJS and UI/UX design  Programming experience in Java Script, HTML, CSS, REST-API  Knowledge of QGIS, PostgreSQL, Git, Python is desirable  "
