,Title,Company Name,Location,Work Type,Description
0,Frontend engineer for smart office application,"
                  Randstad Japan
                ","
                Tokyo, Tokyo, Japan
              ",On-site," The group is in charge of developing industrial, commercialized, enterprise-level solutions and products, to meet business requirements in various scenarios, such as Network Infrastructure Construction, System and Application Management, Large-scale Asset Management, Front-desk Service, Audio/Video Broadcasting Service, Server/Conference Room Intelligent Operation, Enterprise Administration, etc. Taking advantage of cutting-edge big data and AI technologies, we are aiming at building a more automated and intelligent enterprise solution infrastructure.    And, You Are Responsible For    Develop, improve, and maintain web and mobile solutions. Implement new UI components with a focus on performance and scalability. Design and drive front-end infrastructure.    【求められる経験・スキル / Required Experience And Skills】    Bachelor or higher degree in Computer Science, Computer Engineering, Information Systems, Math etc. Familiar with HTML/CSS, JavaScript(ES6). Proven capabilities with web framework like ReactJS/NodeJS. Experience with UI/UX design and strong abilities to work with others to improve products. Experience with SQL/NoSQL Database. Experience with mobile development in iOS/Android, Kotlin/Swift is a plus. Self-motivated, intense eagerness to learn, ready to dive deep into complex problems, good at communication, and great team work spirit.   【学歴】  大学卒業以上   【職種 / type of occupation】  システム開発（組み込み・ファームウェア・制御系）   【給与 / salary】  年収 700 〜 1,500万円   【賞与】  3 months   【雇用形態 / employment status】  正社員   試用期間   有り   3 months   【就業時間 / working hours】  10:00～19:00   【休日休暇 / holiday】  日曜日,土曜日,祝日   諸手当   年末年始休暇、お盆休み（4日）、有給休暇など、時間外手当 私服勤務可   【保険 / social insurance】  健康保険,雇用保険   【待遇・福利厚生】  Full remote   Super flex   No dress code   Extra bonus for top performers   Gifts for festivals and upon projects finishing up   Etc..   受動喫煙防止措置   敷地内禁煙   【特長 / features】  外資系企業, ベンチャー企業, 女性活躍中, 女性比率4割以上, 服装自由, 土日祝休み, フレックスタイム制, 語学力を活かす   【業種 / industry】  インターネット関連   Job ID: VAC-234547/ "
1,Fullstack Engineer / フルスタックエンジニア [YO],"
                  Talisman Corporation
                ","
                Tokyo, Tokyo, Japan
              ",On-site,"  Job Description    【Fullstack Engineer / フルスタックエンジニア】   世界トップクラスのエンジニアが在籍！   AI・機械学習分野で一線を画すリーディング企業でフルスタックエンジニア募集！！   An opportunity to work with world class engineers   for the worlds Top 100 ML/AI Startup in Japan !   【Company / 企業情報】   A leading company in the AI/Machine Learning field in Japan   ★ You will have an opportunity to work with world class engineers and cutting edge technology.   ★ Work in a global environment where approximately 60% of employees are non-Japanese.   ★ The company specializes in AI solutions and services to create a better life for people.   圧倒的なエンジニアの力で一線を画す、AI・機械学習分野のリーディングカンパニー   ★ 有名企業からご転職された、世界でも指折りの実力を誇るトップクラスのエンジニアが   多数在籍！   ★ 日系企業でありながら、外国人従業員６割のグローバルな環境   ★ 人々の生活、社会、日本をより豊かなものにするために、AIを使ったソリューション、   自社サービスを提供している企業様です。    【Job Description / 主な仕事内容】    ・Develop core web infrastructure.   ・Architect, design, and implement end-user branded web applications (front + backend)   ・Develop web application products on top of the machine learning backend   ・アプリケーションのインフラ開発、   ・ウェブアプリケーションのデザイン、アーキテクチャ設計（フロント＆バックエンド）   ・MLを用いたウェブアプリケーションプロダクトのバックエンドの開発   ※希望・経験・スキルに応じて、テックリードとして開発のリードや、メンバーの   マネジメントも可能   【Requirements / 求められる技術スキル】   ・Knowledge of languages and frameworks (Ex. Node.js, Python, React, TypeScript Go, Scala…etc)   ・Experience in web application development   ・Knowledge of networks, databases, algorithms and data structures   ・Experience with git/hg and npm/yarn   ・プロダクト開発で使用する言語（Node.js, Python, React, TypeScript など）   ・Webアプリケーション開発のご経験   ・ネットワーク、データベース、アルゴリズム、データ構造などのご知識   ・git/hg, yarn/npm などの開発環境でのご経験   【Compensation / 年収】    Negotiable - Dependent On Experience And Qualifications    経験・スキルに応じて交渉   【Language Requirement / 言語スキル】   English - Business Level   Japanese - Basic Conversational Level   英語ビジネスレベルの方大歓迎ですが、英語力は不問です！   ★少しでもご興味お持ちいただけましたら、お気軽にページ右上の「I'M INTERESTED」ボタンを押してください！ご連絡お待ちしております！ "
2,Fullstack Engineer：AI service company,"
                  Randstad Japan
                ","
                Tokyo, Tokyo, Japan
              ",On-site," Role   ・Develop web application products on top of our machine learning backend   ・Architect, design, and implement end-user branded web applications (frontend + backend)   ・Develop core web infrastructure underlying all products (API server, user identity, payments, access control, etc.)   The following language environment is an example. It depends each product, and it may be changed in the future.   Backend : Node.js / Elixir / etc Frontend : React / Swift / Typescript / etc Framework : Vue.js / Phoenix / etc Database : MongoDB /PostgreSQL / etc    【求められる経験・スキル / Required Experience And Skills】    必須要件   ・Experience with Web App development experience more than 3 years（Except for Excellent Juniors）   ・Strong knowledge of languages and frameworks such as Node.js, Python, React, TypeScript   ・Extensive experience web application development   ・Strong knowledge of networks and databases   ・Strong knowledge of algorithms and data structures   ・Bi-lingual (business English &amp; Japanese daily conversation or English daily conversation &amp; Japanese native)   歓迎要件   ・Experience with working at startups   ・Strong work initiative   ・Excellent track record in competitive programming (above blue @AtCoder)   ・Familiar with Modern language（Golang, Node.js, TypeScript, Elixir etc）   ・Experience with Agile/Scrum software development   【給与 / salary】  年収 800 〜 2,000万円   【雇用形態 / employment status】  正社員   【就業時間 / working hours】  9：00〜18：00～裁量労働制/フレックスタイム制度( 【職種 / type of occupation】  に応じる）   【休日休暇 / holiday】  土曜/日曜/祝日/その他   完全週休2日制（土・日・祝）   年間休日120日以上   年次有給休暇   リターン休暇   慶弔休暇   結婚休暇   産休・育休   介護休業   転勤   有り   【保険 / social insurance】  各種社会保険（厚生年金・健康保険・雇用保険・労災保険）   【待遇・福利厚生】  博士課程進学支援制度   健康診断   オンライン医療相談（first call）   書籍購入（全額会社負担）   勉強会（1回/週以上、業務時間中の実施）   Job ID: VAC-179959/ "
3,Front End Engineer Opportunity at Global Short Video Platform,"
                  Randstad Japan
                ","
                Tokyo, Tokyo, Japan
              ",On-site," Our group is in charge of developing industrial, commercialized, enterprise-level solutions and products, to meet business requirements in various scenarios, such as Network Infrastructure Construction, System and Application Management, Large-scale Asset Management, Front-desk Service, Audio/Video Broadcasting Service, Server/Conference Room Intelligent Operation, Enterprise Administration, etc. Taking advantage of cutting-edge big data and AI technologies, we are aiming at building a more automated and intelligent enterprise solution infrastructure.    And, You Are Responsible For    Develop, improve, and maintain web and mobile solutions. Implement new UI components with a focus on performance and scalability. Design and drive front-end infrastructure.    【求められる経験・スキル / Required Experience And Skills】    Bachelor or higher degree in Computer Science, Computer Engineering, Information Systems, Math etc. Familiar with HTML/CSS, JavaScript(ES6). Proven capabilities with web framework like ReactJS/NodeJS. Experience with UI/UX design and strong abilities to work with others to improve products. Experience with SQL/NoSQL Database. Experience with mobile development in iOS/Android, Kotlin/Swift is a plus. Self-motivated, intense eagerness to learn, ready to dive deep into complex problems, good at communication, and great team work spirit.   【学歴】  不問   【給与 / salary】  年収 800 〜 1,500万円   【賞与】  【賞与】  年2回   【雇用形態 / employment status】  正社員   試用期間   無し   【就業時間 / working hours】  10:00～19:00   【休日休暇 / holiday】  日曜日,土曜日,祝日   年末年始休暇、お盆休み（4日）、有給休暇など   転勤   無し   諸手当   時間外手当 私服勤務可   【保険 / social insurance】  健康保険,厚生年金保険,雇用保険,労災保険   【待遇・福利厚生】  時間外手当   私服勤務可   受動喫煙防止措置   敷地内禁煙   【業種 / industry】  ソフトウェア・情報処理   Job ID: VAC-176056/ "
4,"JUNIOR DEVELOPER - Dubai, UAE","
                  Cobblestone Energy
                ","
                Greater Tokyo Area
              ",On-site," Starting salary of 55,000 USD per annum  in a zero-tax environment.   Fast progression for strong performers.   Job location:  Dubai, UAE   About us:  Cobblestone Energy is a proprietary trading firm that specializes in the wholesale electricity market across Europe. Electricity is fundamental to the world's economic activities. We trade enough electricity every day to power a small country, and in doing so, we help to address the mismatch between electricity generation and consumption.    Job Description    At Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. We are looking for enthusiastic and resourceful developers who are passionate about building exceptionally reliable and performance data processing solutions. You want to help the commercial team make data-informed decisions, have a curious mindset, and are motivated to understand our business better. Developing a strong domain knowledge of our industry over time is key to long term success in this role.   If you have excellent programming skills, strong problem-solving skills, and a passion for developing and improving applications utilizing cutting edge technologies, then we would like to meet you.   What we offer in this role    Competitive remuneration, with fast progression for strong performers. A challenging but exciting, open, and fun work environment. An opportunity to work with remarkably talented colleagues. Vast growth potential in every aspect. 15% target bonus with further upside. Employee share scheme participation International relocation support Opportunity to be embedded within a commercial team for those with strong commercial interest    Responsibilities    Write software applications and programs for backend/frontend purposes. Analyse programs and apps to improve their features and functionalities. Test &amp; debug programs and fix any reported bugs. Collaborate with the tech team to improve the performance, efficiency, and scalability of our tools.    Requirements    BS/BE in Computer Science/Computer Engineering. Programming experience of 1 to 2 years in Python language. Expertise in at least one popular Python framework (like Django, Flask ...). Experience of 1 to 2 years in front-end technologies such as HTML5, CSS, JQuery, JS, ...etc. Knowledge of APIs and webservices. Knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server ...) and SQL language. Knowledge of NoSQL databases is a plus. Knowledge of AWS is a plus / Knowledge of data visualization tools, mainly Tableau, is a plus. Ability to work in a team environment. Strong problem-solving skills and analytical skills. Resilience and a determination to succeed. Independent thinkers with growth mindset. Must be passionate, self-motivated, and able to learn quickly. Strong sense of integrity. Personal values that match our company values.  "
5,"JUNIOR DEVELOPER - Dubai, UAE","
                  Cobblestone Energy
                ","
                Fukuoka Metropolitan Area
              ",On-site," Starting salary of 55,000 USD per annum  in a zero-tax environment.   Fast progression for strong performers.   Job location:  Dubai, UAE   About us:  Cobblestone Energy is a proprietary trading firm that specializes in the wholesale electricity market across Europe. Electricity is fundamental to the world's economic activities. We trade enough electricity every day to power a small country, and in doing so, we help to address the mismatch between electricity generation and consumption.    Job Description    At Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. We are looking for enthusiastic and resourceful developers who are passionate about building exceptionally reliable and performance data processing solutions. You want to help the commercial team make data-informed decisions, have a curious mindset, and are motivated to understand our business better. Developing a strong domain knowledge of our industry over time is key to long term success in this role.   If you have excellent programming skills, strong problem-solving skills, and a passion for developing and improving applications utilizing cutting edge technologies, then we would like to meet you.   What we offer in this role    Competitive remuneration, with fast progression for strong performers. A challenging but exciting, open, and fun work environment. An opportunity to work with remarkably talented colleagues. Vast growth potential in every aspect. 15% target bonus with further upside. Employee share scheme participation International relocation support Opportunity to be embedded within a commercial team for those with strong commercial interest    Responsibilities    Write software applications and programs for backend/frontend purposes. Analyse programs and apps to improve their features and functionalities. Test &amp; debug programs and fix any reported bugs. Collaborate with the tech team to improve the performance, efficiency, and scalability of our tools.    Requirements    BS/BE in Computer Science/Computer Engineering. Programming experience of 1 to 2 years in Python language. Expertise in at least one popular Python framework (like Django, Flask ...). Experience of 1 to 2 years in front-end technologies such as HTML5, CSS, JQuery, JS, ...etc. Knowledge of APIs and webservices. Knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server ...) and SQL language. Knowledge of NoSQL databases is a plus. Knowledge of AWS is a plus / Knowledge of data visualization tools, mainly Tableau, is a plus. Ability to work in a team environment. Strong problem-solving skills and analytical skills. Resilience and a determination to succeed. Independent thinkers with growth mindset. Must be passionate, self-motivated, and able to learn quickly. Strong sense of integrity. Personal values that match our company values.  "
6,Application Developer,"
                  Recursive
                ","
                Japan
              ",Remote," About Recursive  As the world's population grows, we are facing a number of global challenges in the realms of environmental conservation, societal equity and ensuring that nobody is left behind in the transition to a digital economy. Artificial intelligence is a key technology to not only address some symptoms of these issues, but also helping create completely new innovative approaches that can create a more sustainable economy and lifestyle.  Recursive is an AI consulting company based in Japan working on developing solutions to some of these challenging problems. We collaborate with large Japanese enterprises to create innovative solutions to sustainability challenges, merging in our expertise in AI research and our client's domain knowledge. Our development projects focus around the main themes of improving efficiency, accelerating innovation, risk mitigation and better work and education.  Recursive is founded by Tiago Ramalho and Katsutoshi Yamada. Tiago was a Senior Research Engineer at Google Deepmind and Lead Research scientist at Cogent labs and brings years of machine learning expertise to the company. Katsutoshi is a serial entrepreneur and AI expert with experience in developing and establishing innovative business models in Japan and abroad.    The role  As a Application Engineer at Recursive you will be helping us deploy our AI solutions to our Clients' systems and to the world at large, helping us with our mission to create technological solutions to the world's sustainability problems. Our projects will require deployment of AI services to the cloud with an associated frontend to allow humans to interact with the machine, and you will be in charge of making sure the frontend is user-friendly, high quality and responsive.    Our company culture encourages learning and constant communication, and discourages micro-management and lack of trust. We are looking for people who want to grow and develop and are looking for the next challenge in their career. We will give you as much responsibility as you want and encourage you to tackle challenging and interesting problems that will help you learn new skills. At the same time, we are looking for a great communicator who can reach out to the team to solve problems in a collaborative way.    Qualifications   Degree in Computer Science or related fields OR 3 years of experience in Mobile Application Development Proficient with the Flutter framework Familiarity with HTML, CSS, Javascript and other frontend technologies is a plus Familiarity with Python, and Cloud (GCP, AWS) is a plus Familiarity with Data Science, Data Visualization or Machine Learning is a plus Confident and effective communicator, both internally and externally. Attentive to detail, and passionate about documentation. Fluent in English (Japanese knowledge is a plus).  We know that box-ticking is dull and that nobody fits all the boxes. Even if not all of this applies to you, we'd love to hear from you!    What you'll get at Recursive  In addition to a competitive salary and a generous personal time off allowance, following aspects are central to our company culture:   Work-life balance: we operate short core-hours to give full flexibility to working parents and night owls alike. We strongly believe in Netflix's work rules manifesto. Real responsibility: as an early employee in an ambitious startup we give you a lot of responsibility (and expect you to own it). We are looking for people who want this. Growth: you bring a lot of experience to the table. We won't stop here - expect an incredibly steep learning curve and the growth opportunities that come with that.  We are an equal-opportunity employer and value diversity. We consider all applications equally and strongly encourage women and people from groups traditionally underrepresented in tech to apply. We can help with visa sponsorship.  "
7,"JUNIOR DEVELOPER - Dubai, UAE","
                  Cobblestone Energy
                ","
                Hiroshima, Hiroshima, Japan
              ",On-site," Starting salary of 55,000 USD per annum  in a zero-tax environment.   Fast progression for strong performers.   Job location:  Dubai, UAE   About us:  Cobblestone Energy is a proprietary trading firm that specializes in the wholesale electricity market across Europe. Electricity is fundamental to the world's economic activities. We trade enough electricity every day to power a small country, and in doing so, we help to address the mismatch between electricity generation and consumption.    Job Description    At Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. We are looking for enthusiastic and resourceful developers who are passionate about building exceptionally reliable and performance data processing solutions. You want to help the commercial team make data-informed decisions, have a curious mindset, and are motivated to understand our business better. Developing a strong domain knowledge of our industry over time is key to long term success in this role.   If you have excellent programming skills, strong problem-solving skills, and a passion for developing and improving applications utilizing cutting edge technologies, then we would like to meet you.   What we offer in this role    Competitive remuneration, with fast progression for strong performers. A challenging but exciting, open, and fun work environment. An opportunity to work with remarkably talented colleagues. Vast growth potential in every aspect. 15% target bonus with further upside. Employee share scheme participation International relocation support Opportunity to be embedded within a commercial team for those with strong commercial interest    Responsibilities    Write software applications and programs for backend/frontend purposes. Analyse programs and apps to improve their features and functionalities. Test &amp; debug programs and fix any reported bugs. Collaborate with the tech team to improve the performance, efficiency, and scalability of our tools.    Requirements    BS/BE in Computer Science/Computer Engineering. Programming experience of 1 to 2 years in Python language. Expertise in at least one popular Python framework (like Django, Flask ...). Experience of 1 to 2 years in front-end technologies such as HTML5, CSS, JQuery, JS, ...etc. Knowledge of APIs and webservices. Knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server ...) and SQL language. Knowledge of NoSQL databases is a plus. Knowledge of AWS is a plus / Knowledge of data visualization tools, mainly Tableau, is a plus. Ability to work in a team environment. Strong problem-solving skills and analytical skills. Resilience and a determination to succeed. Independent thinkers with growth mindset. Must be passionate, self-motivated, and able to learn quickly. Strong sense of integrity. Personal values that match our company values.  "
8,Software Development Engineer- KP,"
                  Talisman Corporation
                ","
                Tokyo, Tokyo, Japan
              ",On-site,"  Job Description    【Software Development Engineer】   NOTE: Candidates from Japan only, English OR Japanese is Okay**     【Job Summary】    How well does Android run as a server?   Can there be full stack development in Android?   Even better how can we create a new mode of entertainment?   If you like to be part of the team addressing questions like the ones above, then look no further.   Our technologies are enjoyed by millions of customers the world over. You will drive key engineering and business decisions that impact Company's long-term vision, which includes rapid expansion into new geographies and innovation in the delivery and consumption of media and entertainment. We leverage cutting edge technology in client-app frameworks, big data, machine learning, optimization techniques and high availability services. Here in the team, we are dedicated to creating the most engaging entertainment platform for the whole family, worldwide. What will you help us create?   [Responsibilities]  We are looking for passionate, and talented software engineers who have experience building innovative, mission critical, high volume applications that customers love. You will have an enormous opportunity to make a large impact on the design, architecture, and implementation of cutting edge products used every day, by people you know. This is a high visibility team where you will get a chance to make a positive impact on customer experience.    Develop software for product initiatives. Investigate, prototype, and deliver new and innovative software applications. Deliver high quality software through working in a dynamic, team-focused Agile/Scrum environment.  [Basic Qualifications Required]   Bachelor’s Degree in Computer Science or related field Experience with Android/Mobile development 3+ years professional experience in software development Computer Science fundamentals in object-oriented design Computer Science fundamentals in data structures Computer Science fundamentals in algorithm design, problem solving, and complexity analysis   [Preferred Qualifications]   Experience building complex software systems that have been successfully delivered to customer Knowledge of professional software engineering practices &amp; best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations Ability to take a project from scoping requirements through actual launch of the project Experience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs  "
9,"JUNIOR DEVELOPER - Dubai, UAE","
                  Cobblestone Energy
                ","
                Japan
              ",On-site," Starting salary of 55,000 USD per annum  in a zero-tax environment.   Fast progression for strong performers.   Job location:  Dubai, UAE   About us:  Cobblestone Energy is a proprietary trading firm that specializes in the wholesale electricity market across Europe. Electricity is fundamental to the world's economic activities. We trade enough electricity every day to power a small country, and in doing so, we help to address the mismatch between electricity generation and consumption.    Job Description    At Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. We are looking for enthusiastic and resourceful developers who are passionate about building exceptionally reliable and performance data processing solutions. You want to help the commercial team make data-informed decisions, have a curious mindset, and are motivated to understand our business better. Developing a strong domain knowledge of our industry over time is key to long term success in this role.   If you have excellent programming skills, strong problem-solving skills, and a passion for developing and improving applications utilizing cutting edge technologies, then we would like to meet you.   What we offer in this role    Competitive remuneration, with fast progression for strong performers. A challenging but exciting, open, and fun work environment. An opportunity to work with remarkably talented colleagues. Vast growth potential in every aspect. 15% target bonus with further upside. Employee share scheme participation International relocation support Opportunity to be embedded within a commercial team for those with strong commercial interest    Responsibilities    Write software applications and programs for backend/frontend purposes. Analyse programs and apps to improve their features and functionalities. Test &amp; debug programs and fix any reported bugs. Collaborate with the tech team to improve the performance, efficiency, and scalability of our tools.    Requirements    BS/BE in Computer Science/Computer Engineering. Programming experience of 1 to 2 years in Python language. Expertise in at least one popular Python framework (like Django, Flask ...). Experience of 1 to 2 years in front-end technologies such as HTML5, CSS, JQuery, JS, ...etc. Knowledge of APIs and webservices. Knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server ...) and SQL language. Knowledge of NoSQL databases is a plus. Knowledge of AWS is a plus / Knowledge of data visualization tools, mainly Tableau, is a plus. Ability to work in a team environment. Strong problem-solving skills and analytical skills. Resilience and a determination to succeed. Independent thinkers with growth mindset. Must be passionate, self-motivated, and able to learn quickly. Strong sense of integrity. Personal values that match our company values.  "
