,Title,Company Name,Location,Work Type,Description
0,Frontend Engineer(JC),"
                  Talisman Corporation
                ","
                Tokyo, Tokyo, Japan
              ",On-site,"  Job Description    Software Engineer, Frontend  Job Description Develop application forms for merchants dashboards  Develop merchant support tools  Develop customer support tools  Develop B2C services such as our Web  Development Environment Programming languages: HTML, CSS, JavaScript (TypeScript, Vue.js, Nuxt)  Infrastructure: Google Cloud Platform (Compute Engine, Kubernetes Engine, App Engine)  Configuration management tools: Terraform  Other: Circle CI, GitHub, Slack, JIRA, Crowi, Spinnaker    Required Experience     Ability to use HTML and CSS to implement solid user interfaces Basic knowledge of performance, accessibility, and security Understanding of version management and ability to participate in development via Git Knowledge of JavaScript and experience developing with UI libraries or frameworks such as React, Vue.js, and Angular Able to understand and explain web operation principles and browsers     Preferred Experience     Extensive knowledge of standard web technologies and specialized knowledge in some areas Understanding of the characteristics of different libraries/frameworks and the ability to introduce them to projects where necessary Ability to design architecture based on the characteristics of the app Ability to consistently take initiative in implementing improvements to the app   Language Requirements    English or Japanese: Business level  "
1,EC Frontend Engineer,"
                  PERSOL CAREER BRS (Bilingual Recruitment Solutions)
                ","
                Tokyo, Tokyo, Japan
              ",On-site," 会社概要：   Our client is a well known international public retail holding company based in Japan.   業務内容：   Design and development of consumer-facing EC applications○ EC web frontend development for FR brands: UQ, GU, and other brands○ Store locator web app, login app, and other mini/micro applications   Maintenance and operations of EC web frontend as a global package which can handle a highvolume of traffic Enhancements to increase performance and improve the customer journey   応募条件：   Experience with modern JavaScript frameworks and tooling. (React, component development, and webpack experience is a plus) Fluency in HTML, CSS and related web technologies Deep understanding in frontend performance optimization, high traffic website development, and operation  "
2,Frontend engineer for smart office application,"
                  Randstad Japan
                ","
                Tokyo, Tokyo, Japan
              ",On-site," The group is in charge of developing industrial, commercialized, enterprise-level solutions and products, to meet business requirements in various scenarios, such as Network Infrastructure Construction, System and Application Management, Large-scale Asset Management, Front-desk Service, Audio/Video Broadcasting Service, Server/Conference Room Intelligent Operation, Enterprise Administration, etc. Taking advantage of cutting-edge big data and AI technologies, we are aiming at building a more automated and intelligent enterprise solution infrastructure.    And, You Are Responsible For    Develop, improve, and maintain web and mobile solutions. Implement new UI components with a focus on performance and scalability. Design and drive front-end infrastructure.    【求められる経験・スキル / Required Experience And Skills】    Bachelor or higher degree in Computer Science, Computer Engineering, Information Systems, Math etc. Familiar with HTML/CSS, JavaScript(ES6). Proven capabilities with web framework like ReactJS/NodeJS. Experience with UI/UX design and strong abilities to work with others to improve products. Experience with SQL/NoSQL Database. Experience with mobile development in iOS/Android, Kotlin/Swift is a plus. Self-motivated, intense eagerness to learn, ready to dive deep into complex problems, good at communication, and great team work spirit.   【学歴】  大学卒業以上   【職種 / type of occupation】  システム開発（組み込み・ファームウェア・制御系）   【給与 / salary】  年収 700 〜 1,500万円   【賞与】  3 months   【雇用形態 / employment status】  正社員   試用期間   有り   3 months   【就業時間 / working hours】  10:00～19:00   【休日休暇 / holiday】  日曜日,土曜日,祝日   諸手当   年末年始休暇、お盆休み（4日）、有給休暇など、時間外手当 私服勤務可   【保険 / social insurance】  健康保険,雇用保険   【待遇・福利厚生】  Full remote   Super flex   No dress code   Extra bonus for top performers   Gifts for festivals and upon projects finishing up   Etc..   受動喫煙防止措置   敷地内禁煙   【特長 / features】  外資系企業, ベンチャー企業, 女性活躍中, 女性比率4割以上, 服装自由, 土日祝休み, フレックスタイム制, 語学力を活かす   【業種 / industry】  インターネット関連   Job ID: VAC-234547/ "
3,"Frontend Software Engineer, Smart Home System","
                  Woven Planet
                ","
                Tokyo, Tokyo, Japan
              ",On-site," About Woven Planet Group  Woven Planet Group (Woven Planet) represents a carefully curated blend of expertise and resources dedicated to bringing the vision of “Mobility to Love, Safety to Live” to life. Through innovations and investments in automated driving, robotics, smart cities, and more, we are transforming how humankind lives, works, and moves. We exist to design, build, and deliver secure, connected, and sustainable mobility solutions that benefit all people worldwide. Founded in 2018 as Toyota Research Institute - Advanced Development (TRI-AD), Woven Planet is composed of four complementary companies: Woven Planet Holdings, Woven Core, Woven Alpha, and Woven Capital.   Visit us to learn more: https://www.woven-planet.global/   THE TEAM  The Toyota Woven City is a fully connected ecosystem powered by hydrogen fuel cells to be built at the base of Mt. Fuji in Japan. It is envisioned as a ‘living laboratory’ and ‘ever evolving,’ incorporating various types of cutting edge technologies. At the same time, it is also ‘human-centric,’ that is, it is expected to keep people safe and comfortable.   Woven City’s R&amp;D team will develop innovative products and services using technologies developed by Toyota Motor Corporation.   Our mission is to:   Develop services and products for Woven City Expand capabilities through long-term R&amp;D    Toyota Motor Corporation has been involved in a variety of technological development in the robotics, energy, and automotive domains for a long time. Our team will leverage Toyota’s hardware expertise in these fields to create new value by developing software on top of this.   Our team will develop innovative services that are essential to the city. As a first party developer, we will also build a foundation upon which third party partners can participate. Therefore, we are responsible for not just the applications but also the core software and capabilities.   Our team consists of many highly experienced members with international work experience. We strive to be open minded as we create a new culture with members from various backgrounds and nationalities. Our global team works closely with the Toyota Motor Corporation and the Toyota Research Institute in North America to develop our technologies and products.   We are seeking talented people to join us as we take on new challenges to create new products and services for the Toyota Woven City.   WHO ARE WE LOOKING FOR?  We are looking for an experienced engineer who can develop a Smart Home Frontend System. You will be leveraging existing systems, choosing the right technology, and setting web/cloud/IoT/infrastructure requirements. You will also evaluate the protocol, security, and cost to ensure a fully optimized design.   Join us at Woven Planet and let’s write the new history together! We are waiting for you!!   私たちは、スマートホームのフロントエンドシステムを開発できるエンジニアを募集しています。既存システムの活用や適切な技術の選択をしながら、Web/クラウド/IoT/インフラストラクチャの要件定義をし、また、プロトコル、セキュリティ、コストなどを評価し、最適化された設計し開発を進めることが期待されています。   Woven Planetで一緒に新しい歴史を刻みましょう! 私たちはあなたを待っています!!!   Responsibilities   Design/development of Cloud and Web System Dev/Ops Verify and validate the functionality of the applications Improve the applications based on data driven user testing Exercise technical judgment working with large, cross-functional teams Improve technical level of team members クラウド・Webシステムの設計・開発 Dev/Ops アプリケーションの機能の検証・妥当性確認 データ駆動型のユーザーテストに基づくアプリケーションの改善 大規模で機能横断的なチームでの技術的判断の行使 チームメンバーの技術レベル向上    SKILL / QUALIFICATION   2+ years of work experience in development of Web Systems such as device connection Software development experience in HTML5 , CSS3, JavaScript, and related frameworks like React.js Experience and knowledge of Cloud services(AWS, GCP, Azure, Aribaba) Experience and knowledge in using various development and testing facilities for efficient Dev/Ops team building (Git, GitHub, Docker and CI/CD tools experiences in similar tools will be considered) Business level proficiency in English or Japanese Passion to develop English skill 機器接続などのWebシステムの開発実務経験2年以上 HTML5 , CSS3, JavaScript, React.js などの関連フレームワークでのソフトウェア開発経験 クラウドサービス（AWS、GCP、Azure、Aribaba）の経験・知識 効率的なDev/Opsチーム構築のための各種開発・テスト設備の利用経験・知識（Git、GitHub、Docker、CI/CDツールは同様のツール経験を考慮します。） ビジネスレベルの英語力または日本語力 英語力向上への情熱    Preferred Skills / Experience   Experience and knowledge of TCP/UDP (communication, data collection and device control), RTP (image / sound data streaming), HTTP, Web API(REST), Kafka, AMQT, MQTT, RDBMS / NoSQL Software development experience in Java/C#/C++/C/Go-Lang/Python Familiarity with standards and trends related to connected homes such as Connected Home over IP , Matter and ECHONET Lite Experience and knowledge of RS-232C, RS-422A, RS-485, AMQP, NFC etc… TCP/UDP（通信、データ収集、機器制御）、RTP（画像/音声データストリーミング）、HTTP、Web API（REST）、Kafka、AMQT、MQTT、RDBMS/NoSQLに関する経験・知見 Java/C#/C++/Go-Lang/Pythonでのソフトウェア開発経験 Connected Home over IP , Matter, ECHONET Liteなどのコネクテッドホームに関する規格やトレンドに詳しいこと。 RS-232C、RS-422A、RS-485、AMQP、NFCなどの経験や知識。    If you are currently located outside of Japan, don't worry, we'll set an interview over Google Hangout Meet or Skype.   What We Offer  ・Competitive Salary - Based on skills and experience   ・Work Hours - Flexible working time with NO core-hours   ・Paid Holiday - 20 days per year (prorated)   ・Sick Leave - 6 days per year (prorated)   ・Holiday - Sat &amp; Sun, Japanese National Holidays, and other days defined by the company   ・Japanese Social Security - all applicable (Health Insurance, Pension, Workers’ Comp, and Unemployment Insurance, Long-term care insurance)   ・ Employee Benefits   ・In-house Training Program (software study/language study)   For more information about Woven City, please visit: https://www.woven-city.global/   By submitting your application you agree to the following terms:   https://www.woven-planet.global/careers/privacy-policy   [OUR COMMITMENT]  ・We are an equal opportunity employer and value diversity.  ・We pledge that any information we receive from candidates will be used ONLY for the purpose of hiring assessment.  "
4,Full stack Engineer,"
                  Talisman Corporation
                ","
                Japan
              ",On-site,"  Job Description    Job role for a Full Stack Developer :   Required Skill sets -   * There are some technologies that can be said to be good at confidence from the following *   ・ Build an environment around infrastructure   (ex.) LoadBalancer、WAF、Docker、etc...   Back-end application construction   (ex.) Java、PHP、Python、NodeJS、Framework、DATABase、Serverless, etc...   Front technology   (ex.) Javascript、HTML5、CSS、React、Angular、Vue、etc... "
5,Fullstack Engineer / フルスタックエンジニア [YO],"
                  Talisman Corporation
                ","
                Tokyo, Tokyo, Japan
              ",On-site,"  Job Description    【Fullstack Engineer / フルスタックエンジニア】   世界トップクラスのエンジニアが在籍！   AI・機械学習分野で一線を画すリーディング企業でフルスタックエンジニア募集！！   An opportunity to work with world class engineers   for the worlds Top 100 ML/AI Startup in Japan !   【Company / 企業情報】   A leading company in the AI/Machine Learning field in Japan   ★ You will have an opportunity to work with world class engineers and cutting edge technology.   ★ Work in a global environment where approximately 60% of employees are non-Japanese.   ★ The company specializes in AI solutions and services to create a better life for people.   圧倒的なエンジニアの力で一線を画す、AI・機械学習分野のリーディングカンパニー   ★ 有名企業からご転職された、世界でも指折りの実力を誇るトップクラスのエンジニアが   多数在籍！   ★ 日系企業でありながら、外国人従業員６割のグローバルな環境   ★ 人々の生活、社会、日本をより豊かなものにするために、AIを使ったソリューション、   自社サービスを提供している企業様です。    【Job Description / 主な仕事内容】    ・Develop core web infrastructure.   ・Architect, design, and implement end-user branded web applications (front + backend)   ・Develop web application products on top of the machine learning backend   ・アプリケーションのインフラ開発、   ・ウェブアプリケーションのデザイン、アーキテクチャ設計（フロント＆バックエンド）   ・MLを用いたウェブアプリケーションプロダクトのバックエンドの開発   ※希望・経験・スキルに応じて、テックリードとして開発のリードや、メンバーの   マネジメントも可能   【Requirements / 求められる技術スキル】   ・Knowledge of languages and frameworks (Ex. Node.js, Python, React, TypeScript Go, Scala…etc)   ・Experience in web application development   ・Knowledge of networks, databases, algorithms and data structures   ・Experience with git/hg and npm/yarn   ・プロダクト開発で使用する言語（Node.js, Python, React, TypeScript など）   ・Webアプリケーション開発のご経験   ・ネットワーク、データベース、アルゴリズム、データ構造などのご知識   ・git/hg, yarn/npm などの開発環境でのご経験   【Compensation / 年収】    Negotiable - Dependent On Experience And Qualifications    経験・スキルに応じて交渉   【Language Requirement / 言語スキル】   English - Business Level   Japanese - Basic Conversational Level   英語ビジネスレベルの方大歓迎ですが、英語力は不問です！   ★少しでもご興味お持ちいただけましたら、お気軽にページ右上の「I'M INTERESTED」ボタンを押してください！ご連絡お待ちしております！ "
6,Front End Engineer Opportunity at Global Short Video Platform,"
                  Randstad Japan
                ","
                Tokyo, Tokyo, Japan
              ",On-site," Our group is in charge of developing industrial, commercialized, enterprise-level solutions and products, to meet business requirements in various scenarios, such as Network Infrastructure Construction, System and Application Management, Large-scale Asset Management, Front-desk Service, Audio/Video Broadcasting Service, Server/Conference Room Intelligent Operation, Enterprise Administration, etc. Taking advantage of cutting-edge big data and AI technologies, we are aiming at building a more automated and intelligent enterprise solution infrastructure.    And, You Are Responsible For    Develop, improve, and maintain web and mobile solutions. Implement new UI components with a focus on performance and scalability. Design and drive front-end infrastructure.    【求められる経験・スキル / Required Experience And Skills】    Bachelor or higher degree in Computer Science, Computer Engineering, Information Systems, Math etc. Familiar with HTML/CSS, JavaScript(ES6). Proven capabilities with web framework like ReactJS/NodeJS. Experience with UI/UX design and strong abilities to work with others to improve products. Experience with SQL/NoSQL Database. Experience with mobile development in iOS/Android, Kotlin/Swift is a plus. Self-motivated, intense eagerness to learn, ready to dive deep into complex problems, good at communication, and great team work spirit.   【学歴】  不問   【給与 / salary】  年収 800 〜 1,500万円   【賞与】  【賞与】  年2回   【雇用形態 / employment status】  正社員   試用期間   無し   【就業時間 / working hours】  10:00～19:00   【休日休暇 / holiday】  日曜日,土曜日,祝日   年末年始休暇、お盆休み（4日）、有給休暇など   転勤   無し   諸手当   時間外手当 私服勤務可   【保険 / social insurance】  健康保険,厚生年金保険,雇用保険,労災保険   【待遇・福利厚生】  時間外手当   私服勤務可   受動喫煙防止措置   敷地内禁煙   【業種 / industry】  ソフトウェア・情報処理   Job ID: VAC-176056/ "
7,Frontend Software Engineer,"
                  PERSOL CAREER BRS (Bilingual Recruitment Solutions)
                ","
                Tokyo, Tokyo, Japan
              ",On-site," 会社概要：   Our client is one of China's largest mobile platforms of content creation, aggregation and distribution underpinned.   業務内容：   Develop, improve, and maintain web and mobile solutions. Implement new UI components with a focus on performance and scalability. Design and drive front-end infrastructure.   応募条件：   Bachelor or higher degree in Computer Science, Computer Engineering, Information Systems, Math etc. Familiar with HTML/CSS, JavaScript(ES6). Proven capabilities with web framework like ReactJS/NodeJS. Experience with UI/UX design and strong abilities to work with others to improve products. Experience with SQL/NoSQL Database. Experience with mobile development in iOS/Android, Kotlin/Swift is a plus. Self-motivated, intense eagerness to learn, ready to dive deep into complex problems, good at communication, and great team work spirit.  "
8,"Software Engineer End User, Woven IT","
                  Woven Planet
                ","
                Tokyo, Tokyo, Japan
              ",On-site," About Woven Planet Group  Woven Planet Group (Woven Planet) represents a carefully curated blend of expertise and resources dedicated to bringing the vision of “Mobility to Love, Safety to Live” to life. Through innovations and investments in automated driving, robotics, smart cities, and more, we are transforming how humankind lives, works, and moves. We exist to design, build, and deliver secure, connected, and sustainable mobility solutions that benefit all people worldwide. Founded in 2018 as Toyota Research Institute - Advanced Development (TRI-AD), Woven Planet is composed of four complementary companies: Woven Planet Holdings, Woven Core, Woven Alpha, and Woven Capital.   Visit us to learn more: https://www.woven-planet.global/   TEAM  The mission of the Woven IT Engineering team is to increase productivity and accelerate delivery of software and services for both Woven Planet and the larger Toyota organization as a whole. We do this by building and integrating best of breed cutting-edge technologies to help engineering teams go faster, safer. By providing modern, agile and transparent services to our customers, we aim to realize Woven Planet’s vision of ”Mobility to Love, Safety to Live”.   WHO ARE WE LOOKING FOR?  The scope of End User engineering includes desktop devices (Windows, Mac, Linux), mobile devices, productivity software and ServiceNow integration, automation. The mandate of the EU team is to engineer highly automated and secure solutions in each of these domains working closely with the Security team to meet the growing needs of Woven Planet development teams while driving outstanding user experiences throughout the Toyota Group.   We are looking for a Software Engineer to help us accelerate development of safe and secure software for Woven Planet by building applications to support endpoint management, software management, automatic provisioning, reporting and approval workflows.   Responsibilities   Architecture and development of endpoint management flows. Architecture and development of endpoint management tools, supporting a wide variety of OSs and platforms. Architecture and development of endpoint management tools. Architecture and development of infrastructure as code tooling. Development of deep analytics and monitoring of our infrastructure. Work closely with the security team and other stakeholders on building a safe and modern infrastructure. Support the Service Desk team on troubleshooting issues and engineering solutions. Work closely with engineering teams to minimize manual toil. Collaborate with IT departments in Toyota Group and Woven partners. Aspires to automate as much as possible to improve quality of service.    Minimum Qualifications   Bachelor’s degree in the field of Technology, Engineering, Math or equivalent practical experience in software development or infrastructure automation. Excellent communication and people engagement skills 3+ years experience in development (e.g., Rust, Go, C++, C, Ruby, Python) Experience in acquiring and advocating for business and security needs Hands on experience working with at least one of the following : Azure, AWS, GCP    Preferred Qualifications   Experience on supporting large scale infrastructure environments. Excellent troubleshooting skills. Hands-on experience managing at least one of the following: Google Workspace, Office 365. Hands-on experience with TypeScript (React, Material-UI, ..). Hands-on experience with Windows or Mac OS administration. Hands-on experience with Linux administration.    If you are currently located at outside of Japan, don't worry, we'll set an interview over Google Hangout Meet or Skype.   What We Offer  ・Competitive Salary - Based on skills and experience   ・Work Hours - Flexible working time with NO core-hours   ・Paid Holiday - 20 days per year (prorated)   ・Sick Leave - 6 days per year (prorated)   ・Holiday - Sat &amp; Sun, Japanese National Holidays, and other days defined by the company   ・Japanese Social Security - all applicable (Health Insurance, Pension, Workers’ Comp, and Unemployment Insurance, Long-term care insurance)   ・ Employee Benefits   ・In-house Training Program (software study/language study)   By submitting your application you agree to the following terms:   https://www.woven-planet.global/careers/privacy-policy   [OUR COMMITMENT]  ・We are an equal opportunity employer and value diversity.  ・We pledge that any information we receive from candidates will be used ONLY for the purpose of hiring assessment.  "
9,Full Stack Engineer (Innovation Labs) Australia,"
                  ConsenSys
                ","
                Japan
              ",Remote," Location: Australia  About ConsenSys  ConsenSys is the leading Ethereum software company. We enable developers, enterprises, and people worldwide to build next-generation applications, launch modern financial infrastructure, and access the decentralized web. Our product suite, composed of Infura, Quorum, Codefi, MetaMask, and Diligence, serves millions of users, supports billions of blockchain-based queries for our clients, and has handled billions of dollars in digital assets. Ethereum is the largest programmable blockchain in the world, leading in business adoption, developer community, and DeFi activity. On this trusted, open source foundation, we are building the digital economy of tomorrow. To explore our products and solutions, visit http://consensys.net/.   About Innovation Labs  Permissionless innovation and unprecedented explosive growth is occurring now in the cryptosphere and metaverses across social and cultural spectrums as can be seen with new applications in NFTs, DAOs, Fan and Social Tokens, just to name some of the major trends.   The ConsenSys Innovation Lab focuses on researching emerging trends and translating ideas to concepts, prototypes and live experiments at the edge of change in the cryptospheres and metaverses. The outcomes help inform new ways or improve current ways to acquire more customers and developers by extending existing products or launching new ones.   What You’ll Get To Work On  You will get to work on the most innovative and forward looking ideas to deliver the best user experience, engagement and utility. You will get to experiment, learn and apply the learnings to validate the viability of an idea to help make data driven decisions about pursuing the idea further.   You will join a multinational and multidisciplinary team tasked to deliver rapid prototypes within short and agile delivery cycles. As part of this team you will be responsible for technical analysis and architecture and for the development of back-end APIs/services, front-end UX/UI and/or blockchain smart contracts.   Required   4+ years of full-stack software development experience working on production-grade projects or startups Mastery of one of the following disciplines: Back-end development: Python/Typescript / Node.js Front-end development: React.js Experience with, or understanding of: PostgreSQL Experience with using collaboration tools and operating in a remote first environment Experience working on agile projects Experience working in CI/CD setup Experience with developing APIs and microservices architectures    Bonus points for   Bachelors or Masters in Computer Science or related subject Understanding of blockchain technology, especially Ethereum Blockchain / smart contract development: Solidity / Ethereum, Web3.js or Ethers.js library DevOps experience with Docker and deploying in the cloud Experience in deploying blockchain infrastructure Excellent verbal and written communication in English Teamwork, flexibility, initiative, communication and organization Willingness to constantly learn &amp; improve, challenging yourself to stay at the top of your game    Don't check all of the boxes? Don't sweat it. We’re passionate about building a diverse team of humans and as such, if you think you've got what it takes to create a world-class infrastructure and tools function in our chaotic-but-fun, decentralised, remote-friendly, start-up environment—apply anyway. While we have a pretty good idea of what we need, we're ready for you to challenge our thinking on who needs to be in this role.   Why join ConsenSys?  Here are some of the perks of being part of a unique organization like ConsenSys   One of the most recognized tech companies in the blockchain ecosystem globally. A work experience at ConsenSys is a tremendous reference for your future career. ConsenSys alumni have moved on to become tech entrepreneurs, CEOs, and team leads at tech companies. The forefront of a revolution. We fundamentally believe blockchain is a next generation of technology that can lay the foundation for a more just and equitable society. You can be a part of building the digital economy of tomorrow and radically transforming our society for the better. A dynamic startup environment with deep roots. We are one of the earliest blockchain companies and a leader in the space. You’ll join a network of entrepreneurs and technologists that reaches the edge of our ecosystem. Deep technical challenges. Blockchain technology is just over 10 years old. Ethereum itself is still a toddler. There is much to be done before these platforms can scale to the order of millions or billions of users. We are building the tools, infrastructure and applications l that are pushing the technology forward. Continuous learning and improvements. You’ll be constantly exposed to new concepts, ideas and frameworks from your peers and as you work on different projects — challenging you to stay at the top of your game.    ConsenSys is an equal opportunity employer. We encourage people from all backgrounds to apply. We are committed to ensuring that our technology is made available and accessible to everyone. All employment decisions are made without regard to race, color, national origin, ancestry, sex, gender, gender identity or expression, sexual orientation, age, genetic information, religion, disability, medical condition, pregnancy, marital status, family status, veteran status, or any other characteristic protected by law.  ConsenSys is aware of fraudulent recruitment practices and we encourage all applicants to review our best practices to protect yourself which can be found  here  .  "
