,Title,Company Name,Location,Work Type,Description
0,Web Developer (Remote - Anywhere in the World),"
                  WebFX
                ","
                Southeast Asia
              ",Remote," WebFX is a proud Google Premier Partner with 4 offices in the US (and another one on the way!) as well as an office in Guatemala and one soon to be in South Africa! We are continuing to expand worldwide and would love for you to be a part of that! In fact, we doubled in size in the past 5 years and are projecting to once again double in size and be a global, publicly traded tech company by the year 2030 - operating in every continent, servicing clients globally. We currently have talented team members across the globe (representing 13+ Countries) who work remotely full time and have done so for 10+ years.   No matter where you’re located, we’d love to have you join our mission of providing world-class digital marketing solutions to mid-size businesses on a global scale. We thrive on driving business growth for our clients and are looking for people who take pride in their marketing efforts and enjoy having fun at the same time. Sound like you? Great! Keep reading:   Why Choose WebFX   We've been named the #1 best place to work in our headquarter's home state of Pennsylvania for 7 years in a row and offer the same culture and benefits to our global, remote team members. Along with a very competitive base pay, we offer company profit sharing, performance bonuses, On-going learning bonuses (yes, you get paid to learn!) and time zone differential pay. World class digital marketing training, long term career track, Health Insurance (including dental, vision, remote doctor, etc), and there's seriously a ton of other benefits! To name just a few:   If you’re located in one of our operating countries (Guatemala or South Africa), this is a Full-time (non-contract based) position. Either way, WebFX offers long term stability to all of our FXFamily members. In fact, many of our global/remote team members have been with WebFX for 9+ years and we’re hopeful you can be too! We put our people first, it’s as simple as that. You’re never on your own - when you run into inevitable challenges, we’re there to support you along the way! Long-lasting relationships with both clients and team members due to consistently low turnover rates that are simply unheard of in our industry, because again, we put our people first. Fully Remote or hybrid/in-office options if you prefer and are within commuting distance of one of our international locations (Antigua, Guatemala and Cape Town, South Africa). 🏡 Fully equipped in-home office setup including computer, dual large monitors, headset, seriously fast internet, generator and more! 🖥️ Be part of a rapidly growing company that at the same time only partners with clients who share our values🌱📈 Unrestricted access to our dozens of proprietary softwares/platforms our internal R&amp;D team has developed for our team’s exclusive use, in addition to access to the many 3rd party tools and softwares we utilize internally in order to WOW our clients. You can learn more about just some of our proprietary tools here ! Merit-based promotional structure We have a very strong commitment to giving back globally - in fact, it’s one of our values here at WebFX. As a member of our FXFamily, you get to be a large part of that simply by achieving your goals - since 2014, we’ve committed to donating globally through our FXBuilds program. You can learn more about that here !    What You'll Get   World-Class Training and Ongoing Career Development   No matter your level of experience, our “Bootcamp” web marketing training program is provided for all new WebFX “family members” to learn, grow and develop in and out of the office with the hard skills necessary to be successful in their position. From training with our Award-Winning Sr Developers, Designers and Project Managers to access to countless industry leading online training resources/courses/tutorials to getting experience with nearly 1,500+ different clients with various platforms, digital services and in every industry you can think of (and then some), our training program is simply unrivaled! Training doesn’t stop after your initial training period, we offer career development training and monthly Lunch-and-Learns with our state-of-the-art training amenities to facilitate departmental trainings, industry-related updates, and more! FXLearns program – where you get incentives for taking advantage of our countless industry training resources After 1,500+ clients, we’ve been able to truly master our processes and procedures – you will be trained on all of those - no need to develop how to do things (unless you want to help us continually improve that process!) – because we refuse to ever stagnate, we are always pushing the envelope to make those processes 1% better too!    Opportunities for Growth   WebFX grew 250%+ over the past 3 years both locally and globally, and merit-based promotional opportunities are abundant if you're meeting or exceeding position performance metrics. We believe in growing and promoting our internal team first and foremost. In fact, 95% of our promotions are internal! All team members have a very clearly defined progression path, so you know exactly what is expected of you so you can put your career in your own hands. And what’s more, you’re not expected to know it all - we believe in continually striving to be an expert in your subject matter of expertise – so while we will purposely challenge you to grow in SEO/PPC/Google Analytics, we are a full service agency that has experts in other departments that handle everything else - from link building, social media, web design and web development. So you can truly master your trade.   Our goal is to hire on 50+ team members over the next 36 months in South Africa and setup a satellite office with remote working still an option.   Working Hours   The core position hours will have 4 hours of overlap with our standard Monday through Friday - 8AM EST until 4PM EST/New York Time Zone in order to accommodate our clients' schedules, with additional options to fulfill the full work week within your time zone (Depending on the hours you select, you will receive additional pay for overlapping our hours)   Who We're Looking For   Desired Education   A Bachelor’s degree in computer science or related discipline is preferred.    General Knowledge   Strong knowledge of database design and troubleshooting Strong understanding of software development life-cycle and best practices    Experience   Strong English (written and verbal). Resume must be in English to be considered. Less than 1 year of open source web development Solid project-level experience with WordPress CMS utilizing Advanced Custom Fields Solid project-level experience with at least one other open source CMS platform such as Shopify, Joomla, Drupal, etc. Experience with web-based programming languages NodeJS Experience with cloud platforms (ie Google Cloud, AWS, Microsoft Azure) Proficiency in a LAMP environment OOP and procedural programming methodologies Standard Compliant HTML, CSS, and JavaScript Git Version control (or other version control software) Package management and Task Runners (e.g. NPM, Yarn, Gulp, Grunt) Browser testing abilities using built in developer tools E-commerce solutions and is well-versed in e-commerce methodologies and best practices Previous development firm/agency environment    Qualities   Passion for web development Demonstrates ability to get things done Commitment to delivering high-quality and defect-free projects to clients Comfortable with both object-oriented and procedural programming methodologies Capable of individual “deep work” Ability to collaborate with a team to complete projects rapidly Strong time management skills, can meet deadlines consistently Takes direction well, but also able to make decisions and take initiative Strong communication skills Ability to work independently Stays up-to-date on the latest web technologies Professional, dependable, solid work ethic, detail-oriented, dedication to quality, self-motivated Enjoys solving problems Customer-centric mentality    What You'll Do   Coordinate and participate in the programming, implementation, testing, and support of web-based projects using the LAMP solution stack of software Program, develop and produce data-driven web applications, websites, and mobile apps using machine learning and the latest technology solutions and software Consult with clients and the account team to ensure the use of effective Internet-based technologies for enterprise business applications Debug and problem solve across a wide variety of open-source and mobile platforms    Percentage Breakdown   30-50% website maintenance and debugging 40-60% building new functionality 10% consulting with other team members    WebFX developers typically work on 60+ projects per year, so there is a high level of variety in work and two days are never the same!   Our web-based projects use a variety of frameworks selected on a per-project basis.   Compensation  Negotiable, based on experience   Candidates interested in the Digital Marketing Specialist Account Manager position may also have interest in:  Digital marketing, online marketing, paid advertising, search marketing, inbound marketing, web marketing, social media, content marketing, PPC, SEO, SEM, writing, editing, research, communications, social media ad management, etc.   Check out our culture on social media:   Instagram   Twitter   Facebook   Please submit resume or CV (in English) to be considered for this opportunity.   You don't need to apply more than once even if you're interested in multiple positions - you can simply let us know! We consider all open roles when reviewing resumes and applications!    WebFX is an Equal Opportunity Employer, committed to providing and fostering an inclusive environment where all people, including women, minorities, LGBTQ+ and other underrepresented groups are supported, respected, and encouraged to excel within STEM careers. Our goal as an organization is to empower our team to achieve their personal best, bring people together, and provide equal opportunity to do so regardless of race, age, gender, sexual orientation, religion, physical ability or disability, or political affiliation. You can learn more on our website here !   "
1,Junior Software Engineer (106),"
                  IT Consultancy & Services Pte. Ltd.
                ","
                Singapore, Singapore
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
2,Data Engineer - Data Warehouse (Campus Hire),"
                  Shopee
                ","
                Singapore, Singapore
              ",On-site,"  Job Description    Design and manage Data warehouse plan for a product, such as: design data model, define data metric, data governance Collaborate with Business Intelligence, Business and Product Management teams Use data to solve problems, identify needs and opportunities Design, build and maintain the batch or real time data pipeline in production using Hadoop big data technology Define and manage service level agreement, data quality for all data sets in allocated areas of ownership     Requirements    Bachelor Degree in Computer Science or a related technical field. Less than 1 year of experience welcomed Working experience with programming languages,such as Java,Scala,Python Ability to write efficient SQL statements Familiar with Hadoop, Spark and Flink data processing, experience of TB data processing experience is a plus Familiar with data warehouse modeling, such as dimensional data modeling and schema design Understand data mining or machine learning Excellent communication skills including the ability to identify and communicate data driven insights Strong logical thinking and analysis abilities Passionate, self-motivated, and takes ownership  "
3,Fullstack Developer (NodeJS/Typescript),"
                  Kerry Consulting
                ","
                Singapore, Singapore
              ",On-site,"  Description    We are working with a client who is embarking on an exciting digital expansion journey to build a robust national-wide platform. Be part of a transformational team and build the next-generation global applications which integrated with international banks, MNCs, and trading companies.     Responsibilities    You will be part of a dynamic team to design and build services with a focus on business value and usability. You will build web applications and platform that facilitate data exchanges across multiple systems.     Requirements    With a Bachelor Degree in Computer Science or Computer Engineering, 3-5 years prior development experience with NodeJS/Typescript/Javascript. Experience in microservices is a plus. Knowledgeable in AWS cloud is a plus. You should also possess good written and verbal communication with a good ability to collaborate within a geographically distributed team.     To Apply    For interested candidates, please send your CV to ya@kerryconsulting.com. We regret that only shortlisted candidates will be notified.  Registration No: R1988390  Licence No: 16S8060  "
4,"Software Engineer, Backend - APEX","
                  Grab
                ","
                Singapore, Singapore
              ",On-site," Job Description:   Life at Grab:  At Grab, every Grabber is guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles - the 4Hs: Heart, Hunger, Honour and Humility. These principles guide and help us make decisions as we work to create economic empowerment for the people of Southeast Asia.   Team: APEX  Automation and Platform Excellence (APEX) is building products and services such as: frameworks, libraries and primitives for fellow engineers, so that they can deliver product features more quickly. Some folks and companies would recognise this as a ""Platform Engineering Team"", others might call it “Developer Experience” and that is what we do. We aim to bring joy, delight and excellence into the day to day work of Grab engineers.   Get to know the Role:  As such, we are seeking talented &amp; passionate Engineers to join our team, you will have opportunities to work on multiple backend service clusters as well as participating in machine learning pipelines. It is very important that our team member take initiatives to identify problems, and have the right mindset and skill sets to solve them.   The day-to-day activities:   Work with engineering team on designs/architectures geared towards scale, performance and high availability. Design and write with the cutting edge GO language to improve the availability, scalability, latency, and efficiency of Grab's range of services Participate in code and design reviews to maintain our high development standards Engage in service capacity and demand planning, software performance analysis, tuning and optimization Collaborate with product and experience teams to define and prototype feature specifications Process real-time transaction and telematics data at scale to build new Safety features Work with Data Scientist team to implement models in real-time, testing and monitoring the system Build technologies to test and validate insights via rapid experimentation and deployment   The must haves:   A degree in Computer Science, Software Engineering, Information Technology or related fields Strong Computer Science fundamentals in algorithms and data structures Familiarity with running large scale web services; understanding of systems internals and networking are a plus Strong understanding of system performance and scaling Possess excellent communication, sharp analytical abilities with proven design skills, able to think critically of the current system in terms of growth and stability You can be a good coder in any language (C++, C, Java, Scala, Rust, Haskell, OCaml, Erlang, Python, Ruby, PHP, Node.JS, C# etc.), but willing to work on Golang   Tech Stack  Our core services tech stack consists of Golang with Redis, MySQL, DynamoDB, Elasticsearch data stores as well as HAProxy load balancers. They all run on the AWS cloud infrastructure with auto-scaling abilities. We use GitHub for our code repository and we adhere to the basic Continuous Delivery tenets utilising a host of tools to support our release pipeline and code quality.   We recognize that with these individual attributes come different workplace challenges, and we will work with Grabbers to address them in our journey towards creating inclusion at Grab for all Grabbers.  If you share our vision of driving South East Asia forward, apply to join our team today.   Get to know Grab:  Grab is more than just the leading ride-hailing and mobile payments platform in Southeast Asia. We use data and technology to improve everything from transportation to payments and financial services across a region of more than 620 million people. We work with governments, drivers, passengers, merchants, and the community, to solve critical problems in Southeast Asia.   Grab began as a taxi-hailing app in 2012, but we have since extended our product platform to include GrabCar, GrabShare, GrabBike, GrabHitch, GrabExpress, GrabFood, GrabCoach, GrabShuttle, GrabCycle. We recently launched our fintech platform – GrabFinancial, which consists of payments, lending and insurance. Our latest addition is GrabVentures, an in-house incubation platform. We are focused on pioneering new commuting and payment alternatives for drivers and passengers with an emphasis on convenience, safety, and reliability. Currently, we offer services in 8 countries.   Our R&amp;D offices are in Singapore, Seattle, Beijing, Bangalore, Jakarta and Vietnam. We aspire to unlock the true potential of Southeast Asia and look for like-minded individuals to join us on this ride.   If you share our vision of driving South East Asia forward, apply to join our team today.  "
5,Algorithm Engineer - Chatbot (Campus Hire),"
                  Shopee
                ","
                Singapore, Singapore
              ",On-site,"  About The Team    We are currently looking for Algorithm Engineer candidates specialised in Natural Language Processing / Deep Learning to solve a variety of practical challenges in building chatbot. You will work with a friendly and professional team of experts to build end-to-end products that bring value to our business.    Job Description    Build customer service chatbot for solving the user's problem Explore various methods to solving use's problems, such as QA chatbot, task chatbot, KBQA, or machine reading comprehension Build the guidance chatbot to help sellers to promote sales Updating and upgrading the knowledge base of chatbot Analyze problems, design solutions, deploy solutions as inference APIs / pipelines, maintain solutions and improve models Have technical discussions with teammates and tech lead on technical challenges and share findings Share project updates, timeline estimation, and resource requirements with the Product Manager to ensure on-time deliverable     Requirements    Bachelor's, Master's, or PhD in Computer Science / Computer Engineering or other relevant fields. Basic Natural Language Processing techniques, such as Tokenisation, Name Entity Recognition, and Text Classification, etc; Familiar with one the NLP tools-suit is preferred, such as spaCy, nltk, and Stanford NLP tools; Familiar with the stat-of-the-art deep models such as BERT, GPT and beyond; Experience in some of the following domains: language model / text classification / text clustering / summarisation generation / intent prediction. Familiar with the data analysing tools such as pandas; Proficient in Python. Experience in Golang / Scala     Bonus Requirements    Familiar with machine translation / knowledge graph / reinforcement learning Proficient in TensorFlow. Experience in PyTorch, MxNet Experience in using Elastic search and Kibana Experience in real-time data processing (such as Flink) Experience in TensorFlowServing, MxNet Model Server or TensorRT Inference Server Experience in building machine learning pipelines  "
6,Data Engineer,"
                  ST Engineering
                ","
                Singapore, Singapore
              ",On-site,"  Able to extract, transform and load data into databases. Able to generate analytics results from the data collected to answer questions from customers' business use cases. Able to interpret and write technical documents.    Key Requirements:   Minimum Educational Qualification (&amp; discipline): Degree in Electronics &amp; Electrical Engineering or related fields At least 2 years of relevant experience Familiar with C# (DotNet and DotNetCore Framework) and MSSQL Knowledge of NGINX and REACTJS is a plus.  "
7,Software Engineer: Machine Learning (Research Background),"
                  Shopee
                ","
                Singapore, Singapore
              ",On-site," Here at Shopee engineer team, we do research to tackle real world e-commerce challenges. Our research engineer is not cloistered in a single lab but embedded across different engineering departments, working on large-scale systems and building impactful products. We innovate, test, and deploy promising ideas quickly and broadly. Our research engineer works on real-world problems including machine learning, data mining, natural language processing, behaviour modelling and much more. We are looking for talented engineers who are interested in the fields of Deep Learning, Reinforcement Learning, Natural Language Processing and Machine Intelligence to join our team.   Job Description:   Participate in cutting-edge research in machine intelligence and machine learning applications Formulate industrial problems into research questions Perform research to innovate solutions for the following fields: Deep Learning, Reinforcement Learning, Natural Language Processing, Recommendation System, etc Implement libraries to support high-performance, high-availability, scalable services    Requirements:   Passion for research and ability to conduct independent research Intellectual curiosity and ability to handle ambiguity Ability to rapidly learn new concepts and contexts Hands-on experience in at least one of the programming languages: Go, Python, C++ Master's or higher degree in Computer Science or related fields  "
8,Graduate Software Engineer,"
                  FD Technologies
                ","
                Singapore, Singapore
              ",Hybrid," FD Technologies is a global leader in consulting, business services and technology. We are the home for diverse thinkers and innovators. We know that our people are vital to our success and we are proud of the diverse and vibrant team we have built across the globe. We are committed to hiring top talent, creating an environment where they can thrive, and recognizing and rewarding their dedication as they progress within the company.    To meet the growing demand for our technology and services, we are currently recruiting for our Graduate Programme.    Software Engineering:  On the Software Engineering stream of our Options Graduate Scheme, you will be offered a unique opportunity to enter the Big Data world where the emphasis is on problem-solving using a combination of analytics, imagination and business understanding. Software Engineers explore vast amounts of information to detect patterns, trends and correlations that enable our clients to improve their products, services and revenue.    As a Software Engineer, you will work with our clients at their office sites, so you must be willing to travel extensively. The projects you may be working on will vary – our clients range from financial services to manufacturing to telecoms, just to name a few!    What we look for:  • An inquisitive mindset, an aptitude for problem-solving and technical skills to combine them  • Excellent communication skills to present findings and articulate their business benefits.  • Experience with Java, C/C++ and/or UNIX is beneficial but not a requirement  • A self-starter who is constantly looking for opportunities to improve  • Willingness to travel to various parts of the world to work with clients  • Strong academic background – ideally a 2.1 degree in Computing, Mathematics, Statistics, Data Science, Physics, Engineering or a similar quantitative discipline.  • Commitment to the 2 year training period, which rolls into a full-time permanent position    Working for FD:  At FD, you will embark upon a career with life-long learning at its core, facilitating rapid professional and personal development and the opportunity to design your own path. We support a variety of external training courses and accreditations and are truly passionate about our Mentor Program, through which our senior colleagues generously set aside personal time to coach and support others in their career progression.  We are delighted to have several active internal networks, social committees, and charity initiatives, designed with the intention of meeting the holistic needs of our employees and giving back to our communities.    Our employees are rewarded with numerous benefits as part of their employment, including:  • Competitive Salary  • Extensive Health Care Package  • Pension plan  • Employee Assistance Programme  • Annual leave increasing with service  • Group Life Protection Benefit  • Training opportunities  • FD Internal Network and Sports &amp; Social Calendar    Who are we?  First Derivatives plc (FD) is a leading software and services company, with world-leading intellectual property in ultra-high-performance analytics (KX) across industries, and extensive domain expertise and capabilities in capital markets systems and technology (managed services and consulting).    KX  KX technology is designed to capture and analyze data to make real-time decisions in a world where data volumes generated by markets and machines are increasing exponentially, and existing technologies fail due to technological or commercial limitations.  KX is widely adopted throughout the financial industry and is poised for accelerated growth across high-tech manufacturing, automotive, oil and gas, utilities, and telecommunications.    First Derivative  First Derivative provides a range of managed services and consulting worldwide to its clients in the capital markets sector, including many of the world’s leading banks, focused on supporting mission-critical systems as well as helping them to achieve and maintain regulatory compliance.  "
9,Algorithm Engineer - Natural Language Processing/Knowledge Graph (Campus Hire),"
                  Shopee
                ","
                Singapore, Singapore
              ",On-site,"  About The Team    The mission of the Marketplace Intelligence team is to build sustainable and scalable algorithm services and benefit downstream use cases, and to provide elegant products which aim to bring better user experiences and more efficient solutions. We cover all the product related data, which involves multiple languages. We aim to transfer the large volume of free text information to more structured, explainable and understandable knowledge.    Job Description    Responsible for building state-of-the-art NLP / Multi-modal related techniques such as classification, named entity recognition, entity linking, relation extraction, clustering, and techniques such as few-shot learning, transfer learning, and meta learning etc. Responsible for building product knowledge graph databases and online services, including item category and attribute, Standard Product Unit(SPU), brand etc. Understand business requirements to formulate actionable problems, continuously improving solutions to adapt to the rapidly evolving business requirements.     Requirements    Master's degree or above in Computer Science or related discipline; Deep understanding of basic computer knowledge, such as Natural language processing, Machine Learning，Data Mining etc.; Experience with algorithm development with Python and frameworks such as PyTorch, Tensorflow, Keras, etc. (Preferred) Experience publishing papers within Machine learning, NLP and/or Knowledge Graph research areas;  "
