,Title,Company Name,Location,Work Type,Description
0,Full Stack Engineer,"
                  Randstad Singapore
                ","
                Singapore, Singapore
              ",On-site,"  To Succeed In This Role, You Should Have    Min 3 years of full stack development experience in any tech stacks Degree in Computer Engineering/Science or equivalent    About The Job    Write high quality, maintainable code Responsible for Full Stack design and development Design, develop, and implement applications as well as continuous production of new versions Collaborate with cross-functional teams to define and design new features   Interested candidates, please click 'APPLY'  or send your CV (in MS Word) to xylon.chian(@)randstad.com.sg  EA: 94C3609 | R1984287 | Xylon Chian   Applicants must be fully vaccinated or have a valid exemption in accordance with MOM’s regulations to allow them to enter the workplace. Applicants may be required to share verifiable COVID-19 vaccination documents or proof of a valid exemption at the point of offer. Randstad Pte. Limited and/or the Client reserves the right to withdraw an offer if the applicant fails to provide verifiable COVID-19 vaccination and/or proof of exemption documents. "
1,Full Stack Engineer,"
                  Randstad Singapore
                ","
                Singapore, Singapore
              ",On-site,"  To Succeed In This Role, You Should Have    Min 3 years of full stack development experience in any tech stacks Degree in Computer Engineering/Science or equivalent    About The Job    Write high quality, maintainable code Responsible for Full Stack design and development Design, develop, and implement applications as well as continuous production of new versions Collaborate with cross-functional teams to define and design new features   Interested candidates, please click 'APPLY'  or send your CV (in MS Word) to xylon.chian(@)randstad.com.sg  EA: 94C3609 | R1984287 | Xylon Chian   Applicants must be fully vaccinated or have a valid exemption in accordance with MOM’s regulations to allow them to enter the workplace. Applicants may be required to share verifiable COVID-19 vaccination documents or proof of a valid exemption at the point of offer. Randstad Pte. Limited and/or the Client reserves the right to withdraw an offer if the applicant fails to provide verifiable COVID-19 vaccination and/or proof of exemption documents. "
2,Software Engineer (Campus Hire),"
                  Shopee
                ","
                Singapore, Singapore
              ",On-site,"  Job Description    Gain first-hand experience working on Shopee’s leading platform to enhance the user experience Have the opportunity to work alongside top engineers to gain invaluable insights on how to build a scalable and high performance software platform Highly rewarding role as your contributions will directly impact the lives of millions of people in the region Openings: Backend Web Frontend Frontend (Mobile App) Android Development Application Infrastructure Site Reliabilty Machine Learning Data Engineering Data Infrastructure Database Engineering Security Development System Quality Assurance     Requirements    Students who are currently pursuing a Bachelor’s degree in Computer Science / Computer Engineering or in a related technical field A good understanding of core computer science fundamentals (Operating Systems, Database Systems, Networking, Data Structures and Algorithms) Proficient in at least one programming language In your resume, please state the openings (Backend, Frontend etc) that you would like to be considered for.   "
3,Frontend Engineer (Reactjs / Global MNC / $10k),"
                  Randstad Singapore
                ","
                Singapore, Singapore
              ",On-site,"  About The Company    We are working with a globally renowned MNC in hiring Frontend Engineers (Proficient in Reactjs  )    To Succeed In This Role, You Should Have    Min 3 years of frontend engineering experience in Reactjs Degree in Computer Engineering/Science or equivalent    About The Job    Responsible for the design and development of the front-end architecture Write high quality, maintainable code Responsible for user experience optimization Collaborate with cross-functional teams to define and design new features   Interested candidates, please click 'APPLY'  or send your CV (in MS Word) to xylon.chian(@)randstad.com.sg  EA: 94C3609 | R1984287 | Xylon Chian   Applicants must be fully vaccinated or have a valid exemption in accordance with MOM’s regulations to allow them to enter the workplace. Applicants may be required to share verifiable COVID-19 vaccination documents or proof of a valid exemption at the point of offer. Randstad Pte. Limited and/or the Client reserves the right to withdraw an offer if the applicant fails to provide verifiable COVID-19 vaccination and/or proof of exemption documents. "
4,Full Stack Engineer,"
                  Randstad Singapore
                ","
                Singapore, Singapore
              ",On-site,"  To Succeed In This Role, You Should Have    Min 3 years of full stack development experience in any tech stacks Degree in Computer Engineering/Science or equivalent    About The Job    Write high quality, maintainable code Responsible for Full Stack design and development Design, develop, and implement applications as well as continuous production of new versions Collaborate with cross-functional teams to define and design new features   Interested candidates, please click 'APPLY'  or send your CV (in MS Word) to xylon.chian(@)randstad.com.sg  EA: 94C3609 | R1984287 | Xylon Chian   Applicants must be fully vaccinated or have a valid exemption in accordance with MOM’s regulations to allow them to enter the workplace. Applicants may be required to share verifiable COVID-19 vaccination documents or proof of a valid exemption at the point of offer. Randstad Pte. Limited and/or the Client reserves the right to withdraw an offer if the applicant fails to provide verifiable COVID-19 vaccination and/or proof of exemption documents. "
5,Frontend Software Engineer - Data Product (Campus Hire),"
                  Shopee
                ","
                Singapore, Singapore
              ",On-site,"  Job Description    Design, architect and implement a big data computing platform for efficient data exploration and processing, etc. Focus on the user experience and continuously improve the ease of use of the product. Build visualised data products that will help our business team, senior executives, sellers gain deep insight into their business and make decisions, explore the beauty of data visualisation. Participate in designing and implementing data tracking system, building tracking libraries for Shopee products including PC web and mobile web     Requirements    Minimum B.S. degree in Computer Science or a related technical field Less than 1 year of experience welcomed Working experience in frontend development Strong knowledge in JavaScript and CSS fundamentals Good sense in user experience Well versed in various browser technologies Hands-on experience in at least one frontend framework, understanding how it works Love technologies and embrace changes Enjoy teamwork Experience in data visualisation preferred Experience in event tracking and web analytics preferred  "
6,Frontend Engineer (Reactjs / FinTech / $8k),"
                  Randstad Singapore
                ","
                Singapore, Singapore
              ",On-site,"  About The Company    We are working with a FinTech (Crypto Digital Wallet) in hiring Frontend Engineers (Proficient in either Reactjs  or Vuejs  )    To Succeed In This Role, You Should Have    Min 3 years of frontend engineering experience in Reactjs or Vuejs Degree in Computer Engineering/Science or equivalent    About The Job    Responsible for the design and development of the front-end architecture Write high quality, maintainable code Responsible for user experience optimization Collaborate with cross-functional teams to define and design new features   Interested candidates, please click 'APPLY'  or send your CV (in MS Word) to xylon.chian(@)randstad.com.sg  EA: 94C3609 | R1984287 | Xylon Chian   Applicants must be fully vaccinated or have a valid exemption in accordance with MOM’s regulations to allow them to enter the workplace. Applicants may be required to share verifiable COVID-19 vaccination documents or proof of a valid exemption at the point of offer. Randstad Pte. Limited and/or the Client reserves the right to withdraw an offer if the applicant fails to provide verifiable COVID-19 vaccination and/or proof of exemption documents. "
7,"Software Developer, Digital (BTune Start-Up)","
                  Beca
                ","
                Singapore, Singapore
              ",Hybrid,"  Contribute to the development of the BTune platform supporting energy efficiency and sustainability across the global buildings sector, harnessing your software development skills to help save the planet! Be part of a tight knit team across New Zealand, Australia, and Asia, passionate about making a difference within a dynamic start-up yet supported globally by the Beca Group Varied, fast paced, challenging, and rewarding role, with career development opportunities while making a real-world difference to climate change and net zero    About BTune    Beca’s BTune provides energy efficiency solutions, and automated energy savings with a target of reducing energy consumption by 30% across the commercial, institutional, and educational building sector. BTune operates across Heating, Ventilation and Air-Conditioning (HVAC) assets in buildings, powered by an in-house developed smart analytics and optimisation technology, and supported by the expertise of Beca’s team of building scientists. The BTune team is passionate about making a difference towards Net Zero through decarbonisation, with a vision to deliver energy savings, one building at a time, with global aspirations! Learn more about BTune at https://btune.com .     The opportunity  Support the development of an innovative software solution, collaborating within a multi-disciplinary team using the latest in technologies as a Software Developer within Beca’s BTune business. As part of the team you will have the opportunity to problem solve and to take on new challenges with the support of more experienced developers, enabling your professional development while giving you significant responsibilities early in your career.   You will be working across a range of technologies including IoT, Digital Twins and AI, while developing your software craft, agile methodologies, program design, testing, and cloud solutions. In addition, our team leverages Python, Grafana, Loki, LoqQL, Graph Databases, C#, .net Core, React, JavaScript, TypeScript, Power Apps, Power Automate, SQL, Docker and we are always looking for the next best tech!    In Our BTune Business, You Will Be    Encouraged to contribute to the business beyond project work, we want you to have an opinion and share it Honing your technical skills on a variety of projects from concept to implementation Working collaboratively with other technology disciplines Getting your hands ‘dirty’, with plenty of variety in your role Contributing to the team social culture; we believe in work life balance and having fun   We are part of a true multi-disciplinary business and you will have exposure to projects that other’s simply do not get early in their career. This role has scope to be based in Beca offices or remotely, throughout New Zealand, Australia or Singapore.   Learn more about Digital at Beca here https://www.beca.com/digital-transformation and https://youtu.be/n9J4sZ_SMvg .    About You    You will be a passionate problem solver, with an inquisitive mind as to how technology can be an enabler, matched with a desire to work on meaningful and significant projects globally. Collaboration with others on complex problems would be one of your strengths while playing your part in a supportive culture.    Skills    We invite applicants from a range of backgrounds who have a mix of the following desirable experiences, skills, and attributes   At BTune, we believe in innovation and encourage diversity of thought.   Experience as a developer using cloud-based software products, event driven distributed systems, web development, Rest APIs, software security and data storage systems Experience using cloud infrastructure services, specifically AWS and Microsoft Azure, to provide software solutions with high availability requirements Experience in developing event driven system using Python Experience creating web applications using poplar frameworks such as React (preferred), Vue or Angular Experience creating APIs and backend services that would be an advantage Comfortable working in an agile development framework using scrum or related agile approaches, with the ability to be proactive, flexible, and being comfortable with ambiguity Able to solve technical challenges with stakeholders from a range of engineering backgrounds and lead the implementation of software-based solutions Excellent communication skills with the ability to build meaningful and collaborative relationships across various levels of a business   Apply now  To apply for this role, please follow the online instructions. Please include a covering letter outlining your suitability for the role and motivation for applying, along with your CV.   Beca will require successful candidates to provide proof that they are fully vaccinated against Covid-19 subject to the terms of Beca’s Vaccination Policy. Further details will be provided during the application process.    About Us    Beca is one of Asia Pacific's largest independent advisory, design, and engineering consultancies. We are an employee owned business creating a culture of collaboration, ownership, and care. We are a team of over 3,300 who bring a wide range of perspectives and expertise to every client and challenge, creating resourceful, smart solutions from our collective experience and insights.   While our experience has been over 100 years in the making, it’s the fresh talent we’re nurturing, the innovative thinking we’re developing and the connections that we’re forging that gets us most excited for the future. Refer to www.beca.com . "
8,Software Engineer React Js,"
                  Accedo.tv
                ","
                Singapore, Singapore
              ",Hybrid,"  Description    Accedo is looking for talented JavaScript Developers / Engineers to join its growing Professional Services team in Singapore. At Accedo you will be part of a diverse and multi-disciplined development team, gaining exposure to cutting-edge technologies and the opportunity to work with some of the largest global media brands in the industry. Working in a highly collaborative environment, you will help transform requirements and designs into high-performing feature-rich applications on a wide variety of web based platforms and devices.   Objective of role:  Primarily software development of JavaScript and other front end devices applications. You will work on applications for world famous brands from idea stage through to market launch. Your role can also include customer discussions, requirements analysis and testing support. The role can involve a close relationship with Accedo’s overseas offices.   Are you passionate about the Agile development process and improving the efficiency of the software development process? Are you passionate about providing accurate estimates and delivering successful results at the end of each development cycle? If so, then this is the team you want to join. We care about software craftsmanship, constantly improving our work and ourselves while having fun doing it.    Skills And Experience    Good knowledge of HTML, Javascript, and CSS Experience in web development Good understanding of development methodologies, testing practices, and tools - and knowing when to apply each method to achieve the desired outcomes Good understanding of Javascript fundamentals/Data Structures and Algorithms Strong communication skills and knows when to ask for help and bounce ideas and solutions off peers    Primary Responsibilities    Building dynamic web applications using JavaScript frameworks such as React.Js    Requirements    Degree/Diploma in Computer Science, Software Engineering, or related disciplines 1+ years’ professional experience developing React / Node.js - based web applications; fresh graduates are also welcome. Proficient in HTML5, CSS3 and ES6+ JavaScript; Proficient in TypeScript would be a plus Experience working on ReactJS applications. Experience designing and building RESTful API services on Node.js Experience integrating open source or 3rd party API’s and libraries is highly desirable Must have excellent problem-solving skills and love technical challenges Good command of English is required. Self-motivated and customer-focused.    Nice To Have    Experience in Video and media-based development projects (DRM, OVPs, Advertising, Analytics) Experience in using cloud service providers (e.g., AWS, Azure, Google Cloud) Exposure to GraphQL / NoSQL Exposure to React Native Exposure to Agile, SonarQube, Continuous Integration and Test Driven Development   ,   "
9,Dev 7 Front end ReactJS,"
                  Accenture Southeast Asia
                ","
                Singapore, Singapore
              ",On-site," Design, build and configure applications to meet business process and application requirements.   Related Bachelors Degree   "
