,Title,Company Name,Location,Work Type,Description
0,Full Stack Developer - Remote,"
                  RemoteWorker UK
                ","
                Nottingham, England, United Kingdom
              ",Remote," We re looking for a Full Stack Developer for a company that design and develop therapeutic software to prevent, detect and manage mental health conditions. They use proven therapeutic interventions used in clinical practise (such as Cognitive Behavioural Therapy) and combine them with game and game dynamics to maximise engagement.It s a fully remote role working with a great team doing really w... To view the full job details please click apply. "
1,Junior Full Stack Developer,"
                  RemoteWorker UK
                ","
                Horley, England, United Kingdom
              ",Remote," £28'000 -£30'000 + Remote working + Technical Progression + Healthcare + Holidays   Horley, Surrey (3 days Remote) Amazing opportunity for a full stack developer interested in learning Typescript for an industry leading technology company within the Eco Energy and Zero emissions space!On offer the chance to build your knowledge across cutting edge technology within a close knit but high growth business that are renowned for supporting and developing their staff!   Established for over 30 years, our client is an industry leading business that creates software that sits with in the eco-friendly and zero emissions tech space! Growing from strength to strength, this is a business that constantly investing in new technology and most importantly understands the value in supporting its employees!   Working within a software team of 11 you will be responsible for developing a core product as well as business applications using JavaScript and C#. You will also be responsible for picking up TypeScript which they are currently moving towards. Projects will regularly change giving you lots of variety as well and end to end development experience.   This position is perfect for someone looking for a long term stable career move within a business that looks after their staff and encourages work life balance!    The Role    Remote working available (2 days in the office /   3 days at home)   C# and JavaScript (Moving to TypeScript) SQL and oracle databases End to end development lifecycle Working within a software team of 10 Working on a unique user platform Develop add-ons to facilitate bespoke or additional features to the product.    The Person    Experience using JavaScript and interested in learning TypeScript Experience using any back end language such as C#, Java or Python Knowledge of SQL Looking for a friendly and supportive environment where you an fine tune your development skills. Looking for a long term stable career move in a growing tech businesses  "
2,Frontend Engineer (React) | 6 month contract | £450 per day – Outside IR35 - Remote,"
                  RemoteWorker UK
                ","
                Sheffield, England, United Kingdom
              ",Remote," A regular client of ours, a digital consultancy, require a Frontend Engineer (React) to work for them on one of their clients' new projects. They currently work with and have designed the frontend of the applications and website pages for some well-known businesses such as BP, Vodafone and Compare the Market.The role is paying £450 per day, outside of IR35 and fully remote, and will be for an initial 6-month contract that can start ASAP.Main tech stack:ReactTypescriptGit or similarIf this seems of interest to you, let me know and we can arrange a call. If its not of interest to you but you think you can recommend someone suitable for it, it would be most appreciated. "
3,Frontend Engineer (React) | 6 month contract | £450 per day – Outside IR35 - Remote,"
                  RemoteWorker UK
                ","
                Manchester, England, United Kingdom
              ",Remote," A regular client of ours, a digital consultancy, require a Frontend Engineer (React) to work for them on one of their clients' new projects. They currently work with and have designed the frontend of the applications and website pages for some well-known businesses such as BP, Vodafone and Compare the Market.The role is paying £450 per day, outside of IR35 and fully remote, and will be for an initial 6-month contract that can start ASAP.Main tech stack:ReactTypescriptGit or similarIf this seems of interest to you, let me know and we can arrange a call. If its not of interest to you but you think you can recommend someone suitable for it, it would be most appreciated. "
4,Software Engineer (Fully remote),"
                  RemoteWorker UK
                ","
                Leicester, England, United Kingdom
              ",Remote," Java Software Engineer   Fully remote based in the UKThe company This is an opportunity for a Software Engineer to join a one of the most exciting Fintech’s in the UK. Their solutions have been taking the industry by storm and they are using the latest technologies. They are continuing to go through organic growth and there isn’t a better time to join their world class team of engineers. They are looking for bright and talented engineers from Java backgrounds and there is a great opportunity to learn new technologies.Excellent salaries, benefits + share options on offer to attract the best talent.Up to £120,000 basic + bonuses.What you will get A chance to join a growing technology company.Excellent annual leave entitlement£70,000 - £120,000 basic depending on experience.A chance to work on the latest technologies.Full support for certifications.Shares and equity options.Access to continuous learning and growth.Medical insurance for you and your family.Flexible working – can be 100% remote.A chance to work from any of global office locations.What you will do Greenfield development working on financial solutions,Take ownership of sub-projects from requirements gathering to production.Contribute to a global technology team.Liaise with all relevant stakeholders.Work on cutting edge financial technology solutions.Work within an Agile environment.Collaborate with cross functional teams.What you will needStrong technical background.Core Java experience.TDD experience.Excellent communication skills.Willingness to learn new technologies.Find out moreIf you would like to have a confidential conversation and find out more about this opportunity, then get in touch with Con Lam at Harrington Starr or click on the apply button below. "
5,Frontend Engineer (React) | 6 month contract | £450 per day – Outside IR35 - Remote,"
                  RemoteWorker UK
                ","
                Wigan, England, United Kingdom
              ",Remote," A regular client of ours, a digital consultancy, require a Frontend Engineer (React) to work for them on one of their clients' new projects. They currently work with and have designed the frontend of the applications and website pages for some well-known businesses such as BP, Vodafone and Compare the Market.The role is paying £450 per day, outside of IR35 and fully remote, and will be for an initial 6-month contract that can start ASAP.Main tech stack:ReactTypescriptGit or similarIf this seems of interest to you, let me know and we can arrange a call. If its not of interest to you but you think you can recommend someone suitable for it, it would be most appreciated. "
6,Software Engineer - Fully remote,"
                  RemoteWorker UK
                ","
                Cambridge, England, United Kingdom
              ",Remote," Software Engineer - London SalariesFully remote based in the UKThe company We are working on multiple exciting opportunities for software engineers to take their career to the next level. Join an award winning Financial technology firm that have cutting edge solutions which have been taking the industry by storm. They are continuing to go through organic growth and there isn’t a better time to join their world class team of engineers as they have just reached Unicorn status! They are looking for bright and talented engineers from Java backgrounds and there is a great opportunity to learn new technologies. Excellent salaries and benefits on offer to attract the best talent in the market.For a Junior Engineer - £45,000+For a Mid-Level Engineer - £60,000-80,000+For a Senior Level Engineer - £80,000-130,000+ What you will get A chance to join a growing technology company.Excellent annual leave entitlementExcellent basic depending on experience.A chance to work on the latest technologies.Full support for certifications.Access to continuous learning and growth.Medical insurance for you and your family.Work on personal projects on a Friday.Flexible working – can be 100% remote.A chance to work from any of global office locations.What you will do Greenfield development working on financial solutions,Take ownership of sub-projects from requirements gathering to production.Contribute to a global technology team.Liaise with all relevant stakeholders.Work on cutting edge financial technology solutions.Work within an Agile environment.Collaborate with cross functional teams.What you will needStrong technical background.Core Java experience.TDD experience.Excellent communication skills.Willingness to learn new technologies. Find out moreIf you would like to have a confidential conversation and find out more about this opportunity, then get in touch with Con Lam at Harrington Starr or click on the apply button below. "
7,Frontend Engineer (React) | 6 month contract | £450 per day – Outside IR35 - Remote,"
                  RemoteWorker UK
                ","
                Oxford, England, United Kingdom
              ",Remote," A regular client of ours, a digital consultancy, require a Frontend Engineer (React) to work for them on one of their clients' new projects. They currently work with and have designed the frontend of the applications and website pages for some well-known businesses such as BP, Vodafone and Compare the Market.The role is paying £450 per day, outside of IR35 and fully remote, and will be for an initial 6-month contract that can start ASAP.Main tech stack:ReactTypescriptGit or similarIf this seems of interest to you, let me know and we can arrange a call. If its not of interest to you but you think you can recommend someone suitable for it, it would be most appreciated. "
8,Front End Developer (ClojureScript) - REMOTE,"
                  RemoteWorker UK
                ","
                North Woolwich, England, United Kingdom
              ",Remote," Who we are: Droit is a technology company at the forefront of merging finance and computational law . We build software that digitizes regulations and makes intelligent decisions in real-time transactional systems. Our award-winning platform is providing mission-critical, low-latency services for the world’s most prominent and complex financial institutions. At Droit we seek candidates who are curious, driven and willing to bring their unique skills and perspectives to our work. We offer the opportunity for employees with a range of experience to develop their skills while shaping our platform and making meaningful contributions to the firm. What our Software Engineers do: Software engineers take holistic and collaborative approaches to solving the firm's core business problems. They don’t just write and review code - engineers are responsible for architecting and designing the infrastructure involved with any given project/deliverable and are also responsible for communicating these decisions effectively and clearly. Here are just some of the projects we're working on: Business logic and APIs for our core decision engine  Functional-reactive web applications and UIs  Domain-specific languages and compilers  Parsing laws from heterogeneous sources  Collaborating with our Knowledge Engineering team to research and design new product lines What we're looking for:  A high degree of curiosity with the ability to ask thoughtful questions and solve challenging problems  The capacity to envision a variety of solutions and to clearly articulate them and explain the trade-offs  The ability to use functional programming to design simple and elegant solutions  A collaborative mind-set that enjoys working with others and knowledge sharing to achieve the best results  An eagerness to give and receive feedback in an open team atmosphere to better the overall result  Experience and/or interest in building web UI applications  React or Angular web stack experience and/or practical experience with (or interest in transitioning to) a functional language such as Clojure/ClojureScript Any of the following would be an added benefit:  Experience with ClojureScript using re-frame for UI development  Experience Building React applications and RESTful APIs  Experience with CSS frameworks, such as Bootstrap  Experience using a RDBMS such as Postgres A little more about Droit: Our award-winning platform, Adept, has been in live production since March 2014. A series-A funding in late 2016, led by Goldman Sachs, has further boosted growth. Droit is based out of New York and London. Droit is an Equal Opportunity Employer committed to an innovative, fast-paced and diverse workforce that represents a variety of backgrounds, experiences, perspectives and skills.  "
9,Software Engineer - Fully remote,"
                  RemoteWorker UK
                ","
                London, England, United Kingdom
              ",Remote," Software Engineer - London SalariesFully remote based in the UKThe company We are working on multiple exciting opportunities for software engineers to take their career to the next level. Join an award winning Financial technology firm that have cutting edge solutions which have been taking the industry by storm. They are continuing to go through organic growth and there isn’t a better time to join their world class team of engineers as they have just reached Unicorn status! They are looking for bright and talented engineers from Java backgrounds and there is a great opportunity to learn new technologies. Excellent salaries and benefits on offer to attract the best talent in the market.For a Junior Engineer - £45,000+For a Mid-Level Engineer - £60,000-80,000+For a Senior Level Engineer - £80,000-130,000+ What you will get A chance to join a growing technology company.Excellent annual leave entitlementExcellent basic depending on experience.A chance to work on the latest technologies.Full support for certifications.Access to continuous learning and growth.Medical insurance for you and your family.Work on personal projects on a Friday.Flexible working – can be 100% remote.A chance to work from any of global office locations.What you will do Greenfield development working on financial solutions,Take ownership of sub-projects from requirements gathering to production.Contribute to a global technology team.Liaise with all relevant stakeholders.Work on cutting edge financial technology solutions.Work within an Agile environment.Collaborate with cross functional teams.What you will needStrong technical background.Core Java experience.TDD experience.Excellent communication skills.Willingness to learn new technologies. Find out moreIf you would like to have a confidential conversation and find out more about this opportunity, then get in touch with Con Lam at Harrington Starr or click on the apply button below. "
