,Title,Company Name,Location,Work Type,Description
0,2022 Graduate - Software Engineering (Manchester),"
                  Jobs via eFinancialCareers
                ","
                Manchester, England, United Kingdom
              ",On-site," Company &amp; Team - About Us  At the heart of S&amp;P Global, we are an information company. With expertise across the world's largest industries, we leverage technology and data science, to provide the insights, software, and data to help our customers make better informed decisions, driving growth, performance, and efficiency.   You will join a team of industry experts who will work with you to accelerate your development. With exciting learning opportunities at its core, we'll help you focus on building the essential skills needed for a successful and meaningful transition into the professional world.   Through a wide variety of experiences and opportunities, like all of our colleagues, you'll become an integral part of the S&amp;P Global community and culture - all enhancing the exciting work you do with the team you're hired into! You'll be part of a global community, building an invaluable network of knowledge and support from your mentors, peer group and wider teams.   Eligibility  We're now hiring for 2022 full-time roles. We're looking for final year students who are working towards a bachelor's or master's degree (or equivalent), and due to complete their studies and be available for a full-time role commencing in 2022.   The role  If you are passionate about solving challenging technical problems and have a desire to work in technology, this is the stream for you. In EMEA we have opportunities in software development and full stack developer roles.   What We're Looking For  We seek candidates with diverse backgrounds and ideas with a desire to learn and thrive. We will provide you with a variety of experiences to help you identify your strengths, develop highly transferable skills, and align you to a successful career path for a bright future at S&amp;P Global.   To be an ideal fit for the role, candidates should demonstrate the following education, skills, eligibility, and experience:   Studies in Computer Science or similar, which includes significant programming content Some experience in programming in one or more high level languages. Our products are written in C# and Typescript (using Angular) so experience in these would be ideal but is not essential. Candidates with experience of other languages such as Java will be cross-trained Knowledge of object-oriented concepts and techniques An ability to quickly understand and apply new technical concepts and frameworks A good communicator with strong critical thinking and problem-solving skills An ability to learn and adapt quickly in a rapidly changing environment Capable of building strong working relationships in a collaborative setting    UK Eligibility  To be eligible, you must have the right to work full-time in the UK now and in the future. We currently do not offer visa sponsorship; however, we do run our programs in several locations across the globe and welcome you to consider those that are relevant to you.   How To Apply  Submit your online application, which should include your CV, along with a short cover letter/motivational statement (we suggest around 300 words). We want to hear more about you; why you're interested in joining S&amp;P Global, and why you're interested in being considered for the role/s you have applied for.   Application and assessment process  The assessment process that follows is designed to ensure you can learn more about us, showcase your skills and find a role that is right for you.   Stage 1  Apply by submitting your CV and cover letter. You will be instructed to complete your Pymetrics assessment.   Stage 2  Initial assessment process. In most locations, this screening stage will be in the form of a telephone interview   Stage 3  Final stage assessment   You may be considered for multiple suitable roles throughout this process. If these roles fall within the same stream, you will be assessed during the same process. If the roles fall across multiple streams, you may be asked to complete different assessments aligned to those roles.   We recruit on a rolling basis and most of our assessment days are due to take place from December 2021 onwards. We recommend early application.   Our commitment to diversity  Our business and our customers are diverse, and we believe that embracing a diverse and inclusive environment is key to defining who we are. Our people are what makes us unique, and you will get the opportunity to work with some of the brightest minds from across the world who continuously find the best possible solutions, adding value and driving change for our customers.   Equal Opportunity Employer:  S&amp;P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment.   If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com  and your request will be forwarded to the appropriate person.   US Candidates Only:  The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law. "
1,Graduate Automation Engineer,"
                  Hays
                ","
                Ballygawley, Northern Ireland, United Kingdom
              ",On-site," Your new company  We are currently recruiting for our client in Co.Tyrone who provide Systems Integration and Support in the industrial automation sector. Due to continued growth, my client is currently seeking for individuals who are enthusiastic, innovative and eager to learn. This is an exciting opportunity for an individual to gain excellent hands-on experience and learn vital knowledge about the industry from a team of talented Engineers, laying foundations for a successful career in Software Development.   Your new role  As the successful Graduate Software/Controls Engineer you will be joining a team of industrial Automation and Systems Engineers who are working on a wide range of projects that include advanced manufacturing, automation, robotics and data analytics. The successful Engineer will have the opportunity to work with the latest Automation technologies such as PLC's, SCADA, Robotics &amp; AI. You will also have the opportunity to oversee all stages of a project from specification, design, development, installation and final commissioning.   What you'll need to succeed  As the successful Graduate Engineer, you should be coming with at least a HNC/HND in Software Engineering, Electrical and Electronic Engineering or Electronic Systems Engineering. PLC / HMI / SCADA programming experience whilst beneficial is not essential. Knowledge or experience of Rockwell / Siemens automation products. Strong problem-solving skills. Excellent communication, interpersonal skills and the ability to build effective working relationships when engaging with customers, suppliers and team members. Work independently on projects and as part of a team. Willing to carry out on and off the job training in order to develop and learn new skills. Full, clean driving license   What you'll get in return  As the successful candidate you will be offered a highly competitive salary and benefits package. This role offers flexible working to help you compliment your work-life balance. This role will offer plenty of training opportunities and clear career progression. This really is a fantastic opportunity and not one to be missed!    What You Need To Do Now    If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now.   If this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career. #4200871 "
2,Junior Developer,"
                  Compass Business Finance Ltd
                ","
                Tonbridge, England, United Kingdom
              ",On-site,"  Job Type:12-month Minimum Term Contract, Full-Time   Salary:£35,000 – £50,000   Location:Tonbridge, Kent     What we need  Compass Business Finance is a fast-paced and growing company, who have recently implemented a number of software solutions designed to create greater efficiency, accuracy and better reporting across the business whilst also providing an enhanced user experience. The initial implementations have been completed by external developers associated with the specific software involved.    We now need someone to take the development to the next level. Our ideal candidate will have 1-2 years of experience in development within a commercial environment.    Responsibilities include:   Further development of the Zoho CRM solution, using Deluge and JavaScript Improvement of UX for internal teams across desktop and mobile interfaces Implementation of Microsoft Power BI to create business reports and dashboards Creating APIs and integrating with the APIs of other systems Integrate eDocs and SharePoint with Zoho Ensuring the technology across the business integrates with and compliments each other Implementing solutions for further increasing productivity and improving internal and external UX Support/advise on other IT projects within the business     Who we need   An analytical mind with the ability to write easy to read, maintainable code An eagerness to learn multiple different technologies and development languages Experience in working with REST APIs and integrating with third party solutions Experience of writing SQL queries to access data in relational databases Experience in software development life cycle processes and testing methodologies Appreciation of business finance desirable Excellent communication and teamwork skills Degree in Computer Science, Statistics or equivalent education Eligible to work in the UK     Who we are  Compass Business Finance is an independent company specialising in the provision of asset-based finance to UK Industry. Established in 2005, Compass continue to see year-on-year growth through their innovative and relational approach to the market. In addition to their own loan book, Compass have broking lines with numerous other funders.  "
3,Graduate Software Engineer - Top Percentile!,"
                  ITECCO
                ","
                London, England, United Kingdom
              ",On-site,"  Top Graduate Software Engineer Programme - 1st Class Russell Group University Graduates Needed     Role:Graduate Software Engineer   Location:West London   Salary:£35,000 - £48,000     APPLY TODAY!!!!!    I am currently recruiting for an industry leading company who specialise in data analytics within the hospitality industry. They are making waves withing the hotel sector combining software with cutting-edge service. One of their main products uses voice recognition to be able to carry out usual hotel activities such as ordering room service and checking out. They also use lots of data sources to help deliver the best possible service within the hotels, including optimum rates, marketing possibilities and in-room experiences.    You will be working on new features on the front end using Angular/React.js &amp; the back end of their products using C# &amp; .NET Core. You will be learning with some of the most knowledgeable developers and data scientists there is.     The ideal candidate:     1st Class BSc Computer Science / Equivalent from a prestigious university.   Keeninterest in JavaScript   Keeninterest in learning C#   Excellent team player.   Enjoy finding solutions to different problems.      Desired (but not essential) skills     C#, .NET Core Angular / React.js Experience with  AWS (Lambda, S3 &amp; CloudFormation) Experience with  SOLID Principles PostgreSQL &amp; Redis     This is an unmissable opportunity for an experienced back-end developer looking to put to use their knowledge and skills within an industry leading company. If you are interested, then please click apply!  Get in touch with me immediately, or on 020388206003 to discuss further!     Established in Didsbury, ITECCO has grown to become one of the UK's most successful and fastest growing IT recruitment companies in the UK.  "
4,Graduate Financial Software Developer,"
                  AquaQ Analytics
                ","
                Belfast Metropolitan Area
              ",On-site," Are you interested in a career in software development? If you enjoy working with cutting edge technology and want to make an impact within a dynamic organisation, then AquaQ Analytics is for you. Founded in 2011, we have grown from 3 people to 240 people. We are a young company with a strong focus on developing our employees. We are urgently seeking talented, high performing graduates for roles across the UK.    We are looking for anyone from a STEM (Science, Technology, Engineering and Mathematics) background. Programming experience is beneficial but not necessary as our comprehensive training programming does not assume any prior programming experience.  We are looking for logical thinkers and problem solvers.    Applicants will learn the “q” programming language which is associated with the kdb+ time series database from kx systems (kx.com). The role will entail working with leading investment banks to capture, store, analyse and visualise huge volumes of data. Start date is ASAP.    Key Responsibilities:   Working with business users to define requirements for new application functionality Developing, testing, supporting and maintaining all code for client applications Assisting the Project Manager with all aspects of project delivery Working as part of a team to deliver projects on time and on budget Analysing data and creating reports for clients, incorporating all findings    The profile of the people we are looking for is:   Minimum 2:1 Bachelor’s Degree in Mathematics, Physics, Computer Science or any other scientific/engineering discipline Ability to learn new programming languages and financial concepts quickly, logical thinkers and problem solvers Detail-orientated, results driven and in possession of a can-do attitude Capable of working both independently and within a team Excellent client facing skills Prior experience of working in Capital Markets/Investment Banking is a plus but not essential    Benefits:   In addition to highly competitive salaries we offer the following: Accelerated career progression /training and development plan Company pension plan Company bonus scheme Healthcare Cover Increasing holiday entitlement  "
5,Software Developer - Associate,"
                  Epicor
                ","
                United Kingdom
              ",Remote,"  Description &amp; Requirements    Location: Birmingham, (Remote)  About Us:  Epicor Software is a global technology leader dedicated to helping businesses drive growth for more than 45 years. Our modern, industry-specific software helps customers boost efficiency and productivity by simplifying and automating everyday processes. We have a stellar team of nearly 4,000 worldwide employees who are passionate about building exceptional products and solutions through teamwork, constant innovation, and integrity. We strive to hire and reward star players who inspire one another and drive results for the business and our customers.   About the Role:  The Epicor Labs Associate will work alongside Epicor Research and Development Team as part of Epicor Labs to learn and apply new and exciting cloud-centric technologies and approaches and apply these to our portfolio of cloud and on-premise products.They will leverage the knowledge gained to develop cutting-edge prototypes for products and third-party integrations that help both showcase technology advancements and improve end-user experience and satisfaction. The role involves a lot of learning and successful applicant would be expected to stay abreast of technological advances, learn and develop their skills in a wide variety of fields alongside a capable team.   What You'll Do:  As part of your duties, you will have the opportunity to work with several well-established ERP products (principal of them built upon Microsoft .NET stack with Angular-based front end) and acquire understanding of principles governing modern manufacturing as well as have an opportunity to add valuable industry experience to their skills and knowledge portfolio.   Key Responsibilities:   Implement technical specifications and write, review, and debug code Participate in regular progress reviews Follow coding standards Work remotely in UK time zone Provide input on architecture design decisions   What You Will Need To Succeed:   Knowledge and understanding of computer programming fundamentals Knowledge of C# and Typescript programming languages Knowledge of SQL-based databases Ability to work as part of a team Willingness and capability to rapidly learn new technologies and tools via semi hands-on approach Ability to complete tasks on deadlines Problem solving skills   Qualification:  Bachelor’s degree or above in software engineering or data science subject   Additional Skills That Could Set You Apart:  Knowledge of Azure cloud   Data Science and Big Data background   Knowledge of Angular Framework   "
6,Software Developer - Associate,"
                  Epicor
                ","
                United Kingdom
              ",Remote,"  Description &amp; Requirements    About Us:  Epicor Software is a global technology leader dedicated to helping businesses drive growth for more than 45 years. Our modern, industry-specific software helps customers boost efficiency and productivity by simplifying and automating everyday processes. We have a stellar team of nearly 4,000 worldwide employees who are passionate about building exceptional products and solutions through teamwork, constant innovation, and integrity. We strive to hire and reward star players who inspire one another and drive results for the business and our customers.   About the Role:  The Epicor Labs Associate will work alongside Epicor Research and Development Team as part of Epicor Labs to learn and apply new and exciting cloud-centric technologies and approaches and apply these to our portfolio of cloud and on-premise products. They will leverage the knowledge gained to develop cutting-edge prototypes for products and third-party integrations that help both showcase technology advancements and improve end-user experience and satisfaction. The role involves a lot of learning and successful applicant would be expected to stay abreast of technological advances, learn and develop their skills in a wide variety of fields alongside a capable team.   What You'll Do:  As part of your duties, you will have the opportunity to work with several well-established ERP products (principal of them built upon Microsoft .NET stack with Angular-based front end) and acquire understanding of principles governing modern manufacturing as well as have an opportunity to add valuable industry experience to their skills and knowledge portfolio.   Key Responsibilities:   Implement technical specifications and write, review, and debug code Participate in regular progress reviews Follow coding standards Work remotely in UK time zone Provide input on architecture design decisions   What You Will Need to Succeed:   Knowledge and understanding of computer programming fundamentals Knowledge of C# and Typescript programming languages Knowledge of SQL-based databases Ability to work as part of a team Willingness and capability to rapidly learn new technologies and tools via semi hands-on approach Ability to complete tasks on deadlines Problem solving skills   Qualification:  Bachelor’s degree or above in software engineering or data science subject   Additional Skills That Could Set You Apart:   Knowledge of Azure cloud   Data Science and Big Data background   Knowledge of Angular Framework   "
7,Graduate Software Developer Telford Hybrid Working 2022,"
                  Capgemini
                ","
                Birmingham, England, United Kingdom
              ",On-site," Graduate Software Developer Hybrid Working 2022  Location :  Telford (West Midlands)   Intakes:  September &amp; November 2022   Your Role  As a Graduate Software Developer, you will gain exposure across all systems as well as the full software development lifecycle. There are many technical challenges and interesting projects to get involved with including design and development of new features and enhancements. You’ll be working with a modern tech stack including:Java, .Net, React, Angular DevOps, Unix, Linux, SQL, Oracle DBs, Pentaho Data Integration (PDI), some SAS, Pentaho Business Analytics (PBA), Business Objects, Microservices, Blue Prism, PowerApps/Platform, Jira, Azure/AWS DevOps, UI Path. From your first meeting with a client through to the finished product, you will be responsible for designing, developing and maintaining cutting-edge applications and the environments they will function in.   You will support live systems and applications, implementing bug fixes and exploring improvements through code changes. You will take responsibility for components of a much larger system, writing code to complement that which is being developed by colleagues. Help to reshape our clients’ core products, and solutions using the latest technologies. Build new software with latest technologies which will involve requirement gathering, designing, and lot of coding. Build new software/change the existing software to scale the application to meet the business growth and reduce the operational cost. Play a large role in the product lifecycle, contributing to design, development &amp; delivery through our automated deployment pipelines.   Your profile   A bachelor’s degree, relevant and practical IT experience, as well as a passion for software. A basic knowledge of the tools and languages used to write code would be beneficial. Outstanding communication skills – our clients need to feel confident that you understand their requirements. The ability to convey complex coding concepts in jargon-free language to a non-technical audience. You’re a problem solver keen to learn and progress your career as a Software Developer Genuine passion for technology Enthusiasm, aptitude, and willingness to learn tonnes of new skills and new technologies, from day one A positive attitude and a growth mindset. You might not have experience with but will have the aptitude and desire to learn and progress your career in software development; you’ll be fully supported to reach your full potential through training and mentoring programmes.   The job on offer  Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. The Group is guided everyday by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of 310,000 team members in nearly 50 countries. With its strong 50-year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, driven by the fast evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. The Group reported in 2020 global revenues of €16 billion.   Why Capgemini is Unique   Build Experiences With Challenge And Impact    We work with a range of clients all with a unique set of business, technological and societal ambitions. Working for Capgemini you get to be at the forefront of designing future experiences, which truly impact our clients and wider society for the better.   Bring your whole self to work in an Inclusive environment  At Capgemini we don’t just believe in Diversity &amp; Inclusion, we actively go out to making it a working reality. Driven by our core values and Active Inclusion Campaign, we build environments where you can bring you whole self to work.   Benefit from Learning for life  Benefit from learning for life with Capgemini’s unique and innovative L&amp;D offering. This is driven by our digital learning platform ‘Next’ and our ‘Learning for all’ mindset.   Get the future you want  Growing clients’ businesses while building a more sustainable, more inclusive future is a tough ask. But when you join Capgemini, you join a thriving company and become part of a diverse collective of free-thinkers, entrepreneurs and industry experts. A powerful source of energy that drives us all to find new ways technology can help us reimagine what’s possible. It’s why, together, we seek out opportunities that will transform the world’s leading businesses. And it’s how you’ll gain the experiences and connections you need to shape your future. By learning from each other every day, sharing knowledge and always pushing yourself to do better, you’ll build the skills you want. And you’ll use them to help our clients leverage technology to grow their business and give innovation that human touch the world needs. So, it might not always be easy, but making the world a better place rarely is. Capgemini. Get The Future You Want.    About Capgemini    Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. The Group is guided everyday by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of 300,000 team members in nearly 50 countries. With its strong 50 year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fuelled by the fast evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. The Group reported in 2020 global revenues of €16 billion. "
8,Future Graduate Programme - Data Engineer,"
                  RemoteWorker UK
                ","
                Bath, England, United Kingdom
              ",On-site," DescriptionAre you a recent graduate who wants to dive into the working world and build your career? Do you want to join a fast paced, progressive and dynamic company where your development will be at the forefront?If so, this might be the opportunity for you.We’re excited to launch the Future Academy which will welcome candidates like you joining our Future Graduate Programme this year.The Future Graduate Programme is delivered across 12 months, and will offer an experience to become ingrained into the organisation that is Future. We’ll support you across the 12 month programme and beyond with a structured learning programme, a friendly network of fellow Graduates who you will go through your journey with, as well as dedicated support from our Talent Development team. On completion of the 12 month graduate programme (or sooner), you’ll move into a role in the department and continue your Future career journey. You’ll be placed straight into the Project Co-ordinator role within our Environmental, Social &amp; Governance (ESG) team.We are the name behind market-leading brands and some of the world’s most popular titles. Together, we connect people to their passions through the high-quality content we create and the innovative technology we pioneer. Watch this video to get a feel for what we do.About the Team:We are the data engineering team. We are responsible for ensuring that data is made available within our data platforms on a timely basis, with a high degree of accuracy and completeness. Our purpose is to ensure that our internal customers are able to produce data analysis, models and reports on a regular basis without interruption.We are busy working to ensure that our data exists within a singular platform on GCP, engineered using modern engineering principles and adopting best practice software engineering approaches.Our future vision involves migrating our legacy batch based data warehousing processes to modern streaming based approaches. Built in a more scalable, robust and distributed way to serve ever greater SLAs.Job Purpose: Our new Graduate Data Engineer will be collaborating on aiding the migration of our legacy data warehouses to GCP, through developing new batch and streaming based pipelines. The engineer will utilise the GCP stack of data engineering tools to integrate data sources in a robust and cost efficient manner, using best practice data engineering principles.The Graduate Engineer will develop their data engineering skills through helping to maintain our existing suite of pipelines, identifying common problems in our business as usual tasks which can be solved with new tooling or even being automated. Eventually, progressing into utilising those skills to develop their own pipelines to solve those problems with the guidance of Senior and Lead data engineers in the team.RequirementsPrimary responsibilitiesResponsible for maintenance of the day to day data pipelinesExpected to identify common themes of issues and novel ideas for preventing them from reoccurring, and resolving BAU workloads in more efficient mannersOpportunity to work on innovative mechanisms to help us run a more cost effective data platform and identify quality issuesDevelop your data engineering skillsets so as to be able to eventually assist in the development of new/current features of the data platform.Required to work within the architectural boundaries of the Future data platform.Development with cost of ownership in mind.Basic qualificationBachelor’s degree in computer science, engineering, mathematics, or a related fieldProficiency in Python or another general purpose languageStrong numerical background and attention to detailStrong written and verbal communication skills including an ability to effectively communicate with both business and technical audiencesCurious, eager to learn and capable of designing pragmatic solutions to complex problemsPreferred QualificationsNumerate or data science related degreeExperience in working and delivering end-to-end projects independentlyExperience of using Python on Google Cloud Platform for Data projects, including any experience utilising BigQuery, DataFlow (Apache Beam), Cloud Functions, Cloud Workflows, Cloud ComposerFamiliarity with using SQL style coding to extract data from data sourcesDemonstrated strength in data modelling, ETL development, and data warehousingKnowledge of data management fundamentals and data storage principlesFamiliarity with statistical models and/or data mining algorithms and practical experience of applying these to business problemsBenefitsAs well as our standard benefits, we have a number of awesome perks available to our staff including:Unlimited paid time off (yes you read that right)A share in our success - every member of staff receives a profit pool bonus at the end of our financial year and access to our unique Value Creation PlanCentral office locations with safe working spaces and flexibility to work remotely as requiredDiscounted digital magazine subscriptions and access to back copies of our print magazines and bookazinesHuge opportunities to learn and develop whether through professional qualifications, exposure to incredible business projects or informal lunch &amp; learns, hosted by your colleagues "
9,Full Stack Software Engineer (JS) Remote - within Europe,"
                  RemoteWorker UK
                ","
                London, England, United Kingdom
              ",Remote," SlashData is the leading research company in the developer economy: We help the world understand developers and developers understand the world. We survey 40,000 developers annually - across mobile, IoT, desktop, cloud, AR/VR, web, games, data science, and machine learning - to help clients such as Microsoft, Facebook, Google and Amazon understand who developers are, what tools they love or hate and where they are going next. We’re now looking for a Full Stack Software Engineer to help drive data and visual insights out of millions of developer data points. You’ll be working based in Europe, working remotely to support our distributed team. Requirements As a Full Stack Software Engineer you will be: Based in Europe Iterating on our in-house survey tool to reach developers everywhere in the world and provide a delightful UX Maintaining and enhancing our developer and client-facing websites. Supporting the rest of the team What skills we are looking for 3 years of experience developing web applications with modern JavaScript (ES6) frameworks Experience with React, Redux, webpack and related technologies Familiarity with testing tools such as Mocha, Chai, Jest Appreciation for good UX &amp; UI design, ability to contribute to a design discussion Backend web API development experience (Node.js) Experience with AWS and other cloud providers Experience with a language other than JavaScript, preferably one with static types Experience working with relational and NoSQL databases (mongoDB) Bonus points for Experience with AWS Lambda or other “serverless” backend architecture Experience with data visualisation (e.g. using D3.js) An appreciation for data and understanding of statistics Key success metrics You will be successful in the role if in the first 6 months you have Implemented a data dashboard MVP web app. Shown ability to maintain and improve our existing codebase and your code is readable, testable, and understandable six months later. Built successful working relationships across the company to support other technology-related activities. Benefits What we offer Opportunity to make a difference as part of the leading research company in the developer economy Part of an entrepreneurial company that's raising the bar, and calling the trends of the developer economy Opportunity to work with some of the biggest tech brands in the world International team, great work atmosphere &amp; flexible working environment Competitive salary bonus twice yearly based on performance You will never work on your birthday Annual training budget to develop your skills and career Home office set up budget Annual allowance to spend on co-working with your colleagues Monthly book allowance from Amazon, on any book you like Spotify Premium subscription or Netflix vouchers "
